time,type,distance
47.127948,L,103.37
47.143853,R,343.65
47.100045,U,147.11
47.144216,R,356.18
47.149767,U,147.16
47.177481,L,103.28
47.227009,L,103.39
47.242554,R,368.74
47.199483,U,147.23
47.242917,R,381.27
47.249280,U,149.61
47.276541,L,103.34
47.292263,R,393.85
47.298997,U,149.70
47.326070,L,103.35
47.341614,R,406.43
47.348648,U,147.21
47.375603,L,103.39
47.390959,R,418.92
47.398363,U,147.14
47.425132,L,103.34
47.440305,R,431.50
47.448109,U,147.14
47.474660,L,103.32
47.489581,R,441.56
47.497833,U,147.09
47.524333,L,108.47
47.539006,R,456.59
47.547552,U,147.12
47.573861,L,108.45
47.623312,L,105.94
47.637338,R,469.19
47.597199,U,144.53
47.637704,R,481.84
47.646995,U,147.05
47.672849,L,105.84
47.722380,L,105.91
47.736041,R,494.38
47.696714,U,147.16
47.785389,R,506.98
47.746427,U,147.05
47.771870,L,103.47
47.785753,R,519.56
47.796145,U,147.04
47.821397,L,103.34
47.870927,L,103.40
47.884094,R,532.24
47.845863,U,147.19
47.881329,R,436.69
47.895653,U,149.59
47.920462,L,103.32
47.930598,R,436.63
47.945368,U,149.61
47.969993,L,103.37
47.978528,R,393.83
47.995082,U,149.70
48.019524,L,103.32
48.069052,L,103.40
48.082185,R,574.68
48.044878,U,152.24
48.118511,L,100.90
48.131709,R,587.45
48.094663,U,154.69
48.131999,R,597.48
48.144380,U,154.73
48.168047,L,100.88
48.176404,R,436.53
48.217579,L,100.88
48.194096,U,154.92
48.230858,R,620.15
48.243848,U,154.80
48.267111,L,100.83
48.274969,R,441.56
48.316666,L,100.86
48.293639,U,157.39
48.329808,R,640.18
48.343355,U,157.28
48.366202,L,100.90
48.372992,R,434.01
48.393073,U,157.39
48.415660,L,98.38
48.422154,R,433.96
48.442820,U,157.47
48.465189,L,98.29
48.520605,R,431.52
48.492559,U,157.37
48.514718,L,98.27
48.520605,R,431.52
48.542276,U,157.39
48.564251,L,98.36
48.569838,R,434.02
48.613776,L,98.32
48.592021,U,157.25
48.667737,R,431.66
48.641739,U,157.39
48.663310,L,98.43
48.667663,R,429.12
48.712834,L,98.31
48.716579,R,426.49
48.741208,U,157.49
48.762395,L,98.29
48.765495,R,423.97
48.741208,U,157.49
48.790857,U,154.85
48.811851,L,95.82
48.814626,R,429.01
48.840570,U,154.81
48.861374,L,95.78
48.863472,R,423.88
48.890289,U,154.92
48.910907,L,95.70
48.960434,L,95.78
48.967881,R,641.11
48.940006,U,154.73
49.010735,R,424.09
48.989648,U,152.27
49.009964,L,95.68
49.010734,R,424.07
49.059491,L,95.80
