time,gyro x,gyro y,gyro z,accel x,accel y,accel z
48.005364,9.426742554,3.745502472,-2.886730194,-0.093234867,0.002838321,1.008335471
48.031311,8.968978882,0.251239777,-2.810436249,-0.093479007,-0.025726132,1.003208518
48.045494,9.899765015,-3.021770477,-3.794628143,-0.089816898,-0.064544491,1.017124534
48.083816,8.320480347,-8.377605438,-4.931407928,-0.082858890,-0.025237851,1.026890159
48.122229,9.869247437,-9.941631317,-4.389720917,-0.098117679,-0.019744687,1.014072776
48.136347,10.136276245,-8.354717255,-4.397350311,-0.100681156,-0.065398984,1.037754416
48.151753,9.045272827,-7.790142059,-5.259471893,-0.100314945,-0.078826718,1.049473166
48.190089,8.190780640,-4.540019989,-7.319408417,-0.107761234,-0.021575741,1.060093284
48.228383,4.215866089,8.033222198,-4.534679413,-0.096530765,-0.038665585,1.108799338
48.242527,2.720504761,8.796161652,-4.374462128,-0.094821781,-0.026824765,1.115635276
48.257943,0.546127319,7.293170929,-4.580455780,-0.091525882,-0.014129452,1.109653831
48.296270,-2.238601685,0.548786163,-5.038219452,-0.091281742,-0.048187070,1.097935081
48.334586,-5.061477661,-11.162334442,-4.527050018,-0.090305179,-0.040984921,1.086948752
48.348910,-4.908889771,-14.832073212,-4.122692108,-0.100681156,-0.038787656,1.075596213
48.364154,-4.382461548,-20.004802704,-5.465465546,-0.115939945,-0.040862851,1.064121604
48.402558,-6.343215942,-21.217876434,-7.441478729,-0.131442875,-0.060760312,1.052036643
48.440878,-6.968826294,-13.924175262,-8.532482147,-0.139499515,-0.031829648,1.012119651
48.455149,-8.365005493,-3.082805634,-8.898693085,-0.124729007,-0.041595273,0.983799338
48.470537,-7.869094849,2.150959015,-8.196788788,-0.107028812,-0.036102109,0.978428245
48.508868,-4.702896118,11.176532745,-5.557018280,-0.079562992,-0.020477109,0.991489768
48.509568,-4.702896118,11.176532745,-5.557018280,-0.079562992,-0.020477109,0.991489768
48.547781,-4.657119751,9.993976593,-4.092174530,-0.066501468,-0.062347226,1.003452659
48.561927,-4.100173950,5.805438995,-3.085094452,-0.070041507,-0.031097226,1.011509299
48.577347,-4.039138794,2.768939972,-3.405529022,-0.064304203,-0.043182187,1.024692893
48.578029,-4.039138794,2.768939972,-3.405529022,-0.064304203,-0.043182187,1.024692893
48.578639,-4.039138794,2.768939972,-3.405529022,-0.064304203,-0.043182187,1.024692893
48.579272,-4.039138794,2.768939972,-3.405529022,-0.064304203,-0.043182187,1.024692893
48.579866,-4.039138794,2.768939972,-3.405529022,-0.064304203,-0.043182187,1.024692893
48.580481,-4.039138794,2.768939972,-3.405529022,-0.064304203,-0.043182187,1.024692893
48.581088,-4.420608521,-0.626140594,-3.107982635,-0.066135257,-0.018646054,1.033604026
48.581712,-4.420608521,-0.626140594,-3.107982635,-0.066135257,-0.018646054,1.033604026
48.582317,-4.420608521,-0.626140594,-3.107982635,-0.066135257,-0.018646054,1.033604026
48.583062,-4.420608521,-0.626140594,-3.107982635,-0.066135257,-0.018646054,1.033604026
48.583665,-4.420608521,-0.626140594,-3.107982635,-0.066135257,-0.018646054,1.033604026
48.584281,-4.420608521,-0.626140594,-3.107982635,-0.066135257,-0.018646054,1.033604026
48.584898,-4.420608521,-0.626140594,-3.107982635,-0.066135257,-0.018646054,1.033604026
48.585505,-4.420608521,-0.626140594,-3.107982635,-0.066135257,-0.018646054,1.033604026
48.586120,-4.420608521,-0.626140594,-3.107982635,-0.066135257,-0.018646054,1.033604026
48.624379,-3.688186646,-10.872417450,-1.849132538,-0.078220218,0.005523868,1.041660666
48.662692,-7.212966919,-9.613567352,1.256031036,-0.088229984,0.005890079,1.055820823
48.676949,-7.769912720,-8.919292450,1.553577423,-0.091525882,0.020294376,1.050205588
48.692358,-7.357925415,-6.073528290,2.034229279,-0.100559086,0.037628360,1.048618674
48.741182,-8.776992798,2.013629913,4.597705841,-0.089084476,0.008453555,1.076084495
48.779653,-12.568801880,0.228351593,2.987903595,-0.082492679,-0.006072812,1.075718284
48.793804,-12.919754028,0.007099152,2.385181427,-0.076022953,0.020172305,1.062900901
48.809222,-12.507766724,-0.343852997,3.666919708,-0.049167480,0.032257266,1.038486838
48.847597,-9.829849243,-6.561809540,4.590076447,-0.023532715,0.016388126,1.026768088
48.885941,-5.580276489,-16.953044891,5.932849884,-0.040988769,-0.017425351,0.988438010
48.900218,-4.199356079,-16.350322723,6.314319611,-0.048679199,-0.036224179,0.976963401
48.926100,-3.062576294,-13.390117645,7.641834259,-0.051486816,-0.021575741,0.978184104
48.964577,-2.047866821,-4.913860321,8.366626740,-0.071628422,-0.033538632,0.981724143
49.002922,-2.978652954,12.443012238,7.191699982,-0.094577640,0.025177188,0.942417502
49.017199,-2.040237427,17.188495636,7.275623322,-0.079562992,0.022369571,0.958286643
49.032636,-4.199356079,21.041339874,7.512134552,-0.050266113,-0.007903866,0.996250510
49.071030,-4.817337036,14.586872101,6.192249298,-0.058200683,-0.054900937,0.978306174
49.109393,-4.428237915,-7.767253876,0.721973419,-0.038059082,-0.048919491,1.027866721
49.123725,-4.153579712,-16.258769989,-0.109630585,-0.042819824,-0.035125546,1.029209495
49.138987,-4.092544556,-28.160625458,-3.397899628,-0.061008301,-0.047698788,1.030918479
49.177442,-6.388992310,-26.375347137,-5.259471893,-0.079685062,-0.013152890,1.006016135
