time,deltaX,deltaY
47.133774,315,590
47.163505,-1,-1
47.201840,-1,-5
47.240109,-1,-2
47.269966,-7,768
47.308201,-12,2
47.346579,-10,4
47.376312,2,5
47.414499,4,3590
47.452880,-2,6
47.482562,-2,3
47.520845,-3,3
47.559177,-4,1
47.588861,-1,-1
47.628390,-1,-1
47.666778,-14,0
47.696497,-6,-1
47.734696,-1,-1
47.773038,4,-4
47.802809,6,-2
47.841138,8,-2
47.886904,2,-6
47.927124,-2,-3
47.965524,-3,-3
48.003912,-2,-3
48.029922,0,0
48.082394,2,-1
48.120790,7,1
48.150381,3,1
48.188705,5,3
48.226983,5,4
48.256569,0,3
48.294891,0,8
48.333184,2,11
48.362964,5,9
48.401143,9,14
48.439488,9,16
48.469184,3,10
48.507481,0,15
48.546377,-3,15
48.576002,-1,10
48.623001,2,20
48.661311,6,18
48.691008,4,16
48.739711,4,23
48.778185,2,21
48.807884,1,14
48.846152,3,23
48.884524,5,21
48.924714,9,21
48.963130,7,19
49.001513,1,19
49.031274,-1,13
49.069625,-6,19
49.107989,-3,19
49.137787,3,14
49.176012,11,22
49.214390,10,23
49.244127,4,15
49.286616,0,27
49.324922,-4,23
49.354575,-3,13
49.392863,-6,21
49.431224,0,20
49.460983,1,14
49.509708,8,28
49.548185,0,17
49.577924,-3,17
49.616219,-2,18
49.654585,-1,14
49.684331,-3,14
49.722614,-6,19
49.761004,-2,20
49.790772,0,14
49.829042,0,20
49.867392,1,20
49.897039,0,13
49.935308,-2,21
49.973650,-6,18
50.013870,-7,17
50.052332,-1,17
50.090688,1,13
50.120410,5,12
50.158727,2,16
50.197066,0,14
50.226785,0,14
50.277123,0,26
50.315601,2,18
50.345264,1,19
50.383620,3,24
50.421913,4,19
50.451660,1,20
50.489945,0,22
50.528258,0,24
50.557988,-2,16
50.596357,-1,22
50.634685,4,20
50.664462,9,14
50.702658,10,20
50.751612,3,25
50.781319,-1,18
50.819552,-4,21
50.857917,-4,18
50.887585,0,19
50.925939,5,23
50.964197,3,20
50.993883,3,19
51.042678,0,27
51.081190,-3,19
51.110948,0,16
51.149134,6,14
51.187493,1,17
51.217251,0,14
51.255424,6,18
51.293790,6,15
51.334003,10,22
51.372465,9,22
51.410711,0,23
51.440362,-2,16
51.478748,-2,24
51.516921,0,23
51.546703,0,20
51.585016,1,19
51.623384,4,25
51.653106,1,19
51.691308,0,17
51.729646,2,19
51.759391,6,14
51.808036,4,19
51.846507,1,17
51.876171,-1,12
51.914405,-7,16
51.952787,-4,16
51.982447,0,11
52.022113,2,16
52.060235,6,17
52.089896,4,12
52.128258,6,15
52.171764,6,14
52.201395,7,12
52.239604,9,10
52.277942,4,10
52.307654,-3,8
52.356922,-6,12
52.395407,-4,11
52.425067,-1,7
52.463409,3,14
52.501685,5,15
52.531359,2,10
52.569738,-3,14
52.618414,-16,16
52.648371,-11,5
52.686598,-14,7
52.724976,-1,13
52.754777,4,9
52.792948,13,13
52.831323,6,12
52.860970,-1,8
52.899209,-5,10
52.937590,-4,7
52.967235,0,6
53.017603,2,12
53.055863,-4,14
53.096060,-11,15
53.134509,-15,15
53.172925,-9,11
53.202572,-6,12
53.240837,-6,12
53.279214,-10,11
53.308858,-4,9
53.348992,-2,11
53.387311,-2,13
53.413349,0,8
53.466055,-4,15
53.504389,-4,8
53.534173,-5,7
53.572457,-5,11
53.610853,0,14
53.640567,0,11
53.680700,0,17
53.719015,-2,16
53.748671,-7,15
53.786957,-5,15
53.825385,-2,18
53.855157,-1,16
53.893342,0,15
53.931725,-3,19
53.961366,-2,16
53.999612,-1,15
54.037987,-2,18
54.067665,-2,16
54.106034,-2,17
54.157201,0,20
54.183289,3,10
54.235858,1,20
54.274212,-7,15
54.303975,-6,11
54.344102,-15,16
54.393089,-12,18
54.422794,-7,10
54.461210,-10,17
54.499530,2,15
54.529261,4,14
54.567604,11,14
54.605942,21,19
54.635703,9,17
54.675799,-2,19
54.714182,-10,20
54.743936,-7,13
54.782142,-8,21
54.820492,-4,22
54.850164,0,16
54.898758,7,27
54.937215,2,24
54.966895,0,21
55.005292,-7,24
55.043584,-13,17
55.073384,-17,21
55.111712,-13,21
55.150087,2,17
55.179763,13,16
55.218029,23,19
55.256408,17,18
55.282457,9,12
55.335034,-2,25
