time,deltaX,deltaY
51.406091,1434,-122
51.436104,10,0
51.474438,17,1
51.512863,9,2
51.542627,-5,0
51.580883,-15,-3
51.619315,-21,-1
51.649150,-16,0
51.687469,-22,4
51.725867,-8,4
51.755609,2,5
51.793901,8,5
51.832306,4,3
51.862124,-1,1
51.900358,-8,2
51.946659,-10,2
51.976421,-3,4
52.014765,0,6
52.053080,2,8
52.082996,2,8
52.121235,-3,11
52.159648,-1,12
52.189507,-3,11
52.227848,0,17
52.279271,4,19
52.305435,1,12
52.358165,1,25
52.396495,-1,20
52.426231,-1,16
52.474302,-10,22
52.512664,-6,17
52.542407,-5,11
52.580723,-1,18
52.619130,1,21
52.649013,6,14
52.687246,5,21
52.725642,2,20
52.755460,0,18
52.793677,-3,15
52.832099,-8,18
52.861852,-5,15
52.900237,-2,15
52.938596,1,20
52.968341,2,16
53.006703,0,19
53.045103,0,18
53.075000,-3,16
53.123676,-12,22
53.172622,-10,25
53.202412,-4,11
53.240651,-1,19
53.279082,1,18
53.308832,-5,12
53.347213,-16,14
53.385429,-11,11
53.415168,-5,8
53.453508,-5,12
53.491947,3,12
53.521802,2,9
53.560138,1,12
53.598606,-2,18
53.628328,-6,14
53.666565,-9,14
53.704956,-2,20
53.734793,7,17
53.773041,11,19
53.811424,1,14
53.841176,-4,14
53.884131,-1,16
53.924513,4,20
53.964722,5,22
54.003224,0,13
54.041598,0,16
54.071525,0,15
54.109809,2,14
54.148209,0,18
54.188503,-2,19
54.226887,-5,18
54.265308,1,15
54.295043,7,11
54.333366,13,16
54.371722,8,17
54.401459,-1,12
54.439843,-1,10
54.478198,1,14
54.508060,-3,12
54.547092,-6,13
54.585442,-8,10
54.615261,-7,10
54.653523,-6,15
54.691944,0,14
54.721781,-1,11
54.760060,0,12
54.810636,-6,18
54.840490,-1,9
54.878853,4,16
54.917199,12,18
54.946918,12,7
54.985265,32,15
55.023595,26,15
55.049829,2,8
55.102409,-5,17
55.140825,-4,12
55.170663,0,13
55.210881,-2,17
55.249283,-1,13
55.279002,-1,10
55.317259,0,13
55.355672,-4,14
55.396020,-4,13
55.434506,-6,12
55.472928,-3,13
55.502747,-5,9
55.542326,-9,13
55.580676,-11,14
55.610484,-9,10
55.659294,-7,15
55.697808,-10,12
55.727592,-9,9
55.765891,-15,11
55.804295,-12,11
55.834143,-10,8
55.873801,-14,12
55.912155,-16,14
55.941947,-10,11
55.980268,-9,15
56.018644,-3,11
56.048509,2,9
56.086827,7,12
56.125200,0,12
56.154999,-4,12
56.193330,-6,18
56.231750,-6,18
56.261596,-5,13
56.299834,-9,22
56.338213,-11,21
56.368102,-8,15
56.406322,-11,20
56.455088,-2,28
56.484947,-3,20
56.523316,-9,25
56.561677,-17,22
56.587753,-11,13
56.640506,-22,31
56.678927,-4,24
56.708795,-1,18
56.747019,-6,22
56.785422,-5,16
56.815329,-3,18
56.853556,-5,23
56.891908,-8,25
56.921658,-7,18
56.959981,-10,27
56.998396,-7,29
57.028146,-1,16
57.066469,0,27
57.104821,5,24
57.134679,1,16
57.172899,-4,21
57.220377,-1,25
57.250189,-1,18
57.298965,6,23
57.337455,2,22
57.367184,1,15
57.405504,1,25
57.443894,-1,24
57.484130,7,25
57.522576,10,24
57.561007,10,25
57.590859,4,18
57.629218,4,26
57.667599,-7,26
57.697309,-4,15
57.735626,0,23
57.774041,0,23
57.803869,-2,18
57.842084,-6,18
57.880441,-1,23
57.910301,0,18
57.948644,6,19
57.987018,1,24
58.016771,-3,21
58.055085,-4,25
58.093450,0,22
58.123315,0,23
58.161489,2,25
58.219904,14,32
58.249926,11,19
58.288153,-1,19
58.326538,-15,21
58.356400,-9,14
58.405220,-6,30
58.443719,0,20
58.473554,3,20
58.511736,1,26
58.550137,0,22
58.579950,0,21
58.618309,0,27
58.656629,0,29
58.682877,-1,20
58.735401,-12,34
58.773813,-6,30
58.803656,0,23
58.842006,4,28
58.880403,0,23
58.910146,-8,21
58.948473,-18,23
58.986861,-17,24
59.016734,-6,16
59.055089,-3,25
59.093481,2,27
59.133785,6,25
59.172252,7,27
59.210669,1,23
59.240542,0,22
59.278762,-10,28
59.317162,-5,27
59.347015,-1,16
59.385376,0,20
59.423752,2,21
59.453624,0,15
59.491954,-4,20
59.530303,-7,22
59.560159,-3,15
59.611508,-6,33
59.650010,-2,24
59.679846,-6,16
59.718195,-10,25
59.756601,-4,25
59.786445,3,22
59.824781,3,20
59.863205,0,24
59.893049,-4,19
59.936474,-9,22
59.985333,-8,28
60.015270,-3,14
60.053621,-3,18
60.092013,0,20
60.121868,2,15
60.160220,2,21
60.198597,0,23
60.228447,-5,15
60.268068,-5,24
60.306420,1,24
60.336276,5,21
60.374622,4,24
60.412999,-1,19
60.442833,-2,18
60.481181,-2,19
60.519595,-2,16
60.549272,-4,18
60.587616,-4,19
60.636502,-8,23
60.666313,0,17
60.704521,3,18
60.742923,10,22
60.772622,5,20
60.810937,1,24
60.849255,0,20
60.875348,-2,19
60.928053,-6,35
60.966393,0,27
60.992522,0,17
61.045041,0,34
61.083434,0,25
61.113220,-2,17
61.151428,-5,23
61.189827,-6,21
61.219540,-2,15
61.263601,-3,28
61.301994,0,23
61.331815,0,16
61.370178,5,24
61.408546,12,24
61.438387,12,21
61.476728,9,19
61.515148,-4,27
61.544930,-12,22
61.583137,-7,20
61.621527,3,24
61.651302,13,19
61.700021,16,25
61.738506,0,19
61.764639,-6,15
61.817404,-14,27
61.855804,-5,21
61.885620,0,16
61.926449,0,24
61.964853,-2,23
61.994651,-3,18
62.032836,-2,20
62.071201,-1,23
62.100925,0,17
62.139148,0,18
62.177542,-2,15
62.207311,-5,14
62.245631,-9,17
62.294695,-4,19
62.324597,2,14
62.362952,6,16
62.401336,0,22
62.431199,-4,18
62.469572,-6,24
62.508002,-1,18
62.537820,3,20
62.576014,2,22
62.614418,0,20
62.654581,-2,26
62.692975,-3,14
62.731408,0,17
62.761176,3,17
62.799524,4,19
62.837847,-1,17
62.867573,-2,16
62.916445,-2,22
62.954926,2,18
62.984741,6,15
63.022932,7,15
63.072174,3,25
63.101848,-1,13
63.140172,-3,18
63.178553,0,19
63.208287,1,13
63.253802,5,21
63.292141,0,17
63.321957,-2,14
63.360339,-4,15
63.411218,-4,19
63.441032,0,11
63.489740,12,15
63.528222,8,13
63.558098,0,11
63.596487,-10,14
63.634808,-12,20
63.664643,-5,16
63.703056,-3,24
63.741477,-9,25
63.771288,-10,19
63.809521,-6,14
63.847902,11,13
