time,deltaX,deltaY
20.884083,0,0
20.913761,0,0
20.952046,0,0
20.990354,0,0
21.019977,0,0
21.058248,0,0
21.096534,0,0
21.126163,0,0
21.164451,0,0
21.202749,0,0
21.232368,0,0
21.270655,0,0
21.308977,0,0
21.338594,0,0
21.376883,0,0
21.415214,0,0
21.444830,0,0
21.495242,0,0
21.533643,0,0
21.563258,0,0
21.601536,0,0
21.639869,0,0
21.669444,0,0
21.707723,0,0
21.746047,0,0
21.775646,0,0
21.813942,0,0
21.852259,0,0
21.881861,0,0
21.920152,0,0
21.958464,0,0
21.988067,0,0
22.026342,0,0
22.064663,0,0
22.094273,0,0
22.144657,0,0
22.196686,0,0
22.226333,0,0
22.264714,0,0
22.303067,0,0
22.332694,0,0
22.371010,0,0
22.409320,0,0
22.438973,0,0
22.477269,0,0
22.515666,0,0
22.545325,0,0
22.583658,0,0
22.621980,0,0
22.651594,0,0
22.689918,0,0
22.728261,0,0
22.757893,0,0
22.809891,0,0
22.848274,0,0
22.878029,0,0
22.916311,0,0
22.954608,0,0
22.984235,0,0
23.022515,0,0
23.060769,0,0
23.090385,0,0
23.128667,0,0
23.166957,0,0
23.196575,0,0
23.234866,0,0
23.273146,0,0
23.302789,0,0
23.341073,0,0
23.379334,0,0
23.422854,0,0
23.461244,0,0
23.514236,0,0
23.544027,0,0
23.582327,0,0
23.620655,0,0
23.650330,0,0
23.688665,0,0
23.726972,0,0
23.756610,0,0
23.794997,0,0
23.833329,0,0
23.863000,0,0
23.901359,0,0
23.939680,0,0
23.969338,0,0
24.007669,0,0
24.045980,0,0
24.076944,0,0
24.129448,0,0
24.167764,0,0
24.197397,0,0
24.235692,0,0
24.274033,0,0
24.303674,0,0
24.341984,0,0
24.380291,0,0
24.409933,0,0
24.448251,0,0
24.486566,0,0
24.516198,0,0
24.554494,0,0
24.592823,0,0
24.622471,0,0
24.660764,0,0
24.714701,0,0
24.744406,0,0
24.782741,0,0
24.836987,0,0
24.866670,0,0
24.904989,0,0
24.943301,0,0
24.972967,0,0
25.011285,0,0
25.049618,0,0
25.079269,0,0
25.117581,0,0
25.155907,0,0
25.185584,0,0
25.223915,0,0
25.262254,0,0
25.291916,0,0
25.330251,0,0
25.384662,0,0
25.414489,0,0
25.452827,0,0
25.491117,0,0
25.520782,0,0
25.559074,0,0
25.597329,0,0
25.626980,0,0
25.665265,0,0
25.703540,0,0
25.733174,0,0
25.771507,0,0
25.809832,0,0
25.839482,0,0
25.877785,0,0
25.916086,0,0
25.945713,0,0
25.984024,0,0
26.037052,5,-7
26.066797,9,-4
26.105130,2,2
26.155171,3,-4
26.184882,9,-7
26.223239,3,-10
26.261673,6,-12
26.291412,6,-14
26.329742,6,-8
26.368073,12,-3
26.397782,7,1
26.436094,10,3
26.474456,9,0
26.504108,7,-6
26.542461,5,-17
26.580807,2,-20
26.622440,1,-31
26.660845,-1,-22
26.699231,-3,-15
26.728883,-2,-11
26.767224,-3,-11
26.805559,-2,-12
26.835224,0,-12
26.873549,6,-16
26.911901,11,-15
26.941580,13,-9
26.979917,25,-11
27.018250,31,-6
27.047912,22,0
27.086252,31,18
