time,deltaX,deltaY
21.826252,-6,-2
21.855865,0,0
21.894127,0,0
21.932453,0,0
21.962056,0,0
22.000319,0,0
22.038645,0,0
22.068267,0,0
22.106541,0,0
22.144868,0,0
22.174493,0,0
22.212793,0,0
22.251096,0,0
22.280764,0,0
22.319042,0,0
22.357324,0,0
22.386899,0,0
22.437237,0,0
22.475634,0,0
22.50522,0,0
22.543481,0,0
22.581774,0,0
22.611377,0,0
22.649662,0,0
22.687987,0,0
22.717602,0,0
22.755899,0,0
22.79423,0,0
22.82384,0,0
22.862122,0,0
22.900455,0,0
22.930041,0,0
22.968323,0,0
23.006658,0,0
23.048301,0,0
23.086666,0,0
23.138507,0,0
23.168216,0,0
23.206538,0,0
23.244885,0,0
23.274574,0,0
23.312893,0,0
23.351214,0,0
23.380872,0,0
23.41918,0,0
23.457493,0,0
23.487192,0,0
23.525496,0,0
23.563817,0,0
23.593469,0,0
23.631779,0,0
23.670093,0,0
23.699207,0,0
23.751734,0,0
23.790064,24,16
23.819776,22,12
23.85809,19,8
23.896449,21,18
23.926106,14,23
23.964451,11,27
24.00277,6,26
24.032446,3,25
24.070762,4,23
24.109077,1,7
24.138732,1,1
24.177047,3,0
24.215367,1,0
24.245022,0,13
24.283328,3,24
24.321666,4,35
24.350925,1,19
24.450076,8,50
24.488483,2,-7
24.518178,6,-14
24.556512,6,-30
24.594878,5,-27
24.624584,0,-12
24.662933,1,-8
24.701268,-1,3
24.730981,-3,12
24.769299,0,21
24.807661,-5,21
24.837384,-1,12
24.875701,-1,11
24.914051,-3,12
24.943698,4,-2
24.982032,1,0
25.020337,12,0
25.050014,6,1
25.10348,16,2
25.141878,12,2
25.171598,8,5
25.209916,8,2
25.248251,9,2
25.277877,1,0
25.316189,7,-6
25.354504,4,-9
25.384126,2,-2
25.422456,1,-6
25.460763,1,-2
25.490433,1,1
25.528746,0,0
25.56707,2,-2
25.596716,0,-4
25.63505,5,-10
25.673374,16,-12
25.703055,10,-10
25.756808,29,-17
25.810869,34,-9
25.840573,17,-3
25.878894,24,-8
25.917234,22,-11
25.946903,13,-11
25.985249,24,-20
26.023573,21,-22
26.053257,17,-8
26.09157,20,-5
26.129902,21,8
26.159585,11,13
26.197926,7,30
26.236271,7,16
26.265983,4,11
26.304291,11,-8
26.342639,15,-19
26.372306,11,-17
26.410648,8,-18
26.46486,25,-15
26.494568,16,2
26.532885,21,15
26.57125,19,24
26.600933,15,18
26.639248,17,29
26.67758,23,11
26.707263,14,7
26.745578,21,3
26.783928,24,-2
26.813615,15,-3
26.85193,19,-7
26.890281,12,3
26.919992,13,0
26.958285,7,6
26.996621,8,-1
27.026298,1,-2
27.064622,0,-9
27.114184,0,-18
27.143936,1,-7
27.196851,-5,-14
27.235271,-3,0
27.26498,-3,1
27.303268,-21,20
27.341651,-22,30
27.371372,-17,20
27.409676,-22,21
27.44805,-17,-1
27.477767,-8,-16
27.516073,-3,-36
27.554444,-2,-50
27.584115,0,-38
27.622439,7,-25
27.66079,4,-7
27.690451,0,15
27.728752,-5,23
27.767089,-4,26
27.796768,2,24
27.835069,-3,8
27.873404,-3,-17
27.914749,0,-34
27.953107,0,-46
27.99148,2,-51
