time,deltaX,deltaY
57.689816,464,486
57.710423,-1,1
57.739940,0,-1
57.759973,1,0
57.785421,0,-1
57.805453,1,0
57.830407,2,-4
57.850771,0,-6
57.876594,0,-1
57.896747,1,-1
57.922161,0,2
57.942489,1,3
57.969442,1,2
57.989762,0,5
58.016176,0,7
58.036611,0,2
58.066329,1,9
58.086533,1,0
58.114621,0,-3
58.135154,0,-1
58.163543,-1,-1
58.183593,0,-1
58.212512,0,1
58.232966,0,0
58.261003,-1,3
58.281261,-2,3
58.309904,0,2
58.330243,0,1
58.355225,0,0
58.375540,0,0
58.400108,0,0
58.420470,0,0
58.445859,-1,-1
58.465935,0,0
58.490718,-1,2
58.510991,0,0
58.537217,-1,0
58.557761,0,0
58.584077,0,0
58.604246,-1,0
58.630911,0,0
58.650945,0,1
58.678252,0,0
58.698375,0,0
58.727163,-1,1
58.747422,0,0
58.775851,-2,0
58.796168,0,0
58.824870,0,0
58.845108,0,0
58.873538,2,0
58.894118,0,3
58.918318,0,6
58.938710,0,0
58.962999,0,0
58.983172,0,0
59.008384,1,0
59.028458,0,0
59.053808,1,0
59.073973,0,-1
59.100761,0,0
59.121154,0,0
59.148323,0,-2
59.168380,0,-1
59.194856,0,1
59.215167,0,2
59.243151,0,0
59.263499,0,0
59.291836,0,-1
59.312185,-1,0
59.341260,0,6
59.361520,1,0
59.390094,1,0
59.410427,1,0
59.439852,0,0
59.460016,1,0
59.484915,0,0
59.505047,0,0
59.529925,0,0
59.550448,1,1
59.575323,1,0
59.595392,0,0
59.621118,0,0
59.641252,0,0
59.668152,0,0
59.688541,0,0
59.715589,0,0
59.735967,0,0
59.763162,0,0
59.783407,0,0
59.810905,0,-3
59.831280,1,-1
59.860297,1,3
59.880768,0,4
59.909893,2,17
59.930326,2,11
59.959808,0,12
59.979808,0,4
60.009458,0,0
60.029772,0,0
60.054759,0,0
60.074797,0,0
60.100204,0,0
60.120593,0,0
60.145396,0,0
60.165540,0,0
60.191134,0,0
60.211632,0,0
60.238122,0,0
60.258732,0,0
60.285855,0,0
60.305961,0,0
60.333759,0,0
60.354109,0,0
60.382116,0,0
60.402448,0,0
60.431469,0,0
60.452000,0,0
60.481050,0,0
60.501571,0,0
60.530829,0,0
60.551434,0,0
60.580864,0,0
60.600887,0,0
60.626702,0,0
60.647217,0,0
60.671857,0,0
60.692087,3,-4
60.717446,4,-8
60.737928,3,-3
60.763573,2,0
60.783970,4,0
60.810826,5,0
60.831362,4,3
60.857873,0,1
60.878474,2,1
