time,deltaX,deltaY
28.462255,122,6
28.491957,0,0
28.530259,0,0
28.568567,0,0
28.598190,0,0
28.636473,0,0
28.674791,0,0
28.704417,0,0
28.742701,0,0
28.781042,0,0
28.810668,0,0
28.848973,0,0
28.887283,0,0
28.916918,0,0
28.955242,0,0
28.993550,0,0
29.023173,0,0
29.075347,0,0
29.113738,0,0
29.143369,0,0
29.181667,0,0
29.219989,0,0
29.249590,0,0
29.287878,0,0
29.326201,0,0
29.355793,0,0
29.394082,0,0
29.432390,0,0
29.461998,0,0
29.500287,0,0
29.538601,0,0
29.568208,0,0
29.606491,0,0
29.658898,0,0
29.688598,0,0
29.726912,0,0
29.780071,0,0
29.809781,0,0
29.848092,0,0
29.886435,0,0
29.916100,2,1
29.954457,12,17
29.992798,18,-1
30.022446,12,0
30.060754,22,8
30.099052,17,0
30.128724,3,-1
30.167063,0,0
30.205347,0,0
30.235010,0,0
30.273319,0,0
30.327330,0,28
30.357003,1,5
30.395307,3,-2
30.433652,3,-5
30.463312,6,-4
30.501645,10,-4
30.539980,2,-1
30.569631,0,0
30.607947,1,0
30.646266,17,17
30.675972,5,13
30.714271,8,8
30.752590,15,12
30.782222,7,8
30.820514,12,4
30.858858,13,7
30.888470,7,2
30.926759,14,5
30.980893,22,9
31.010601,12,3
31.048937,13,5
31.103297,21,1
31.133007,10,-5
31.171321,15,-7
31.209663,17,-6
31.239372,15,-6
31.277677,14,-3
31.316027,14,-4
31.345668,11,-2
31.384002,10,1
31.422314,11,-1
31.452002,10,-6
31.490312,1,0
31.528654,0,0
31.558321,0,0
31.596641,0,0
31.634959,0,0
31.664598,0,0
31.719197,0,0
31.757577,0,0
31.787268,0,0
31.825549,0,0
31.863875,0,0
31.893507,0,0
31.931810,0,0
31.970124,0,0
31.999777,0,0
32.038053,0,0
32.076352,0,0
32.105990,0,0
32.144251,0,0
32.182563,0,0
32.212209,0,0
32.250486,0,0
32.288843,0,0
32.318473,0,0
32.356747,0,0
32.406789,0,0
32.436521,0,0
32.474836,0,0
32.525041,0,0
32.554760,0,0
32.593039,0,0
32.631343,0,0
32.660990,0,0
32.699260,0,0
32.737564,0,0
32.767217,0,0
32.805494,0,0
32.843843,0,0
32.873498,0,0
32.911812,0,0
32.950124,0,0
32.979779,0,0
33.018053,0,0
33.056365,0,0
33.086027,0,0
33.124296,0,0
33.162647,0,0
33.192289,0,0
33.230576,0,0
33.268896,0,0
33.298581,0,0
33.349000,0,0
33.387400,0,0
33.417098,0,0
33.455409,0,0
33.493732,0,0
33.523403,0,0
33.561683,0,0
33.600002,0,0
33.629666,0,0
33.667952,0,0
33.718540,0,0
33.748280,0,0
33.786585,0,0
33.824925,0,0
33.854609,0,0
33.892909,0,0
33.931255,0,0
33.960930,0,0
33.999231,0,0
34.037549,0,0
34.067229,0,0
34.105516,0,0
34.160754,0,0
34.190482,0,0
34.228787,0,0
34.267090,0,0
34.296777,1,0
34.335048,9,0
34.373360,-2,3
34.403027,-3,2
34.441296,-6,1
34.479640,-6,0
34.509312,0,-7
34.547615,-2,-6
34.585956,0,0
34.615625,0,0
34.653914,0,0
34.692252,0,0
34.721922,0,0
34.760217,0,0
34.798529,0,0
34.828180,0,0
34.866446,0,0
34.904759,4,-18
34.934091,5,-26
35.000712,0,-4
35.039077,0,0
35.068731,0,0
35.107021,0,0
35.145328,0,0
35.174999,0,0
35.213271,0,0
