time,type,distance
105.130790,L,60.32
105.165021,R,99.86
105.122074,U,73.28
105.180315,L,60.22
105.171800,U,73.08
105.229849,L,60.20
105.214018,R,99.67
105.221520,U,73.20
105.263015,R,99.65
105.271244,U,73.20
105.279383,L,60.12
105.328913,L,60.20
105.312013,R,99.71
105.320966,U,73.18
105.378443,L,60.20
105.361005,R,99.67
105.370687,U,73.18
105.410000,R,99.74
105.427976,L,60.19
105.420487,U,75.64
105.477507,L,60.22
105.459001,R,99.64
105.470133,U,73.18
105.507995,R,99.74
105.527039,L,60.19
105.519857,U,73.28
105.576567,L,60.20
105.556994,R,99.88
105.569650,U,75.67
105.605991,R,99.69
105.619296,U,73.11
105.626100,L,60.26
105.654989,R,99.74
105.669019,U,73.16
105.675632,L,60.22
105.703986,R,99.78
105.725234,L,62.73
105.718743,U,73.06
105.774689,L,60.19
105.753013,R,99.74
105.768461,U,73.22
105.802011,R,99.67
105.824220,L,60.12
105.818181,U,73.25
105.873750,L,60.20
105.900029,R,99.78
105.867856,U,70.62
105.923354,L,62.71
105.917577,U,70.52
105.949025,R,99.86
105.972882,L,62.73
105.967293,U,70.59
105.997977,R,97.17
106.022341,L,60.20
106.046975,R,97.27
106.017018,U,70.78
106.071870,L,60.19
106.066740,U,70.55
106.095976,R,97.15
106.116460,U,70.55
106.121476,L,62.85
106.144969,R,97.25
106.171004,L,62.74
106.166185,U,70.55
106.220537,L,62.73
106.193967,R,97.29
106.215977,U,73.18
106.242964,R,97.13
106.270066,L,62.71
106.265703,U,73.23
106.291955,R,97.24
106.319593,L,62.74
106.315453,U,73.11
106.369127,L,62.80
106.340950,R,97.11
106.365169,U,73.20
106.389976,R,97.25
106.418655,L,62.74
106.438966,R,97.27
106.414965,U,75.64
106.468257,L,65.23
106.464687,U,75.62
106.487966,R,97.15
106.517710,L,62.76
106.535504,R,47.00
106.514408,U,75.60
106.567169,L,60.24
106.584714,R,54.52
106.564131,U,75.60
106.613853,U,75.69
106.666300,L,62.80
106.634947,R,97.22
106.663577,U,75.72
106.666228,L,60.32
106.683939,R,97.25
106.715824,L,62.73
106.713327,U,75.64
106.765283,L,60.24
106.732942,R,97.39
106.763121,U,78.26
106.781426,R,79.56
106.814297,L,42.30
106.812845,U,78.28
106.830931,R,97.18
106.864339,L,60.20
106.862569,U,78.18
106.913868,L,60.20
106.879929,R,97.37
106.912288,U,78.35
106.929000,R,99.67
106.963259,L,55.12
106.977990,R,99.78
106.962011,U,78.16
107.012347,L,39.87
107.026988,R,99.72
107.011737,U,78.21
107.062394,L,57.65
107.061459,U,78.16
107.075983,R,99.65
107.111924,L,57.65
107.124978,R,99.78
107.111180,U,78.21
107.161014,L,42.35
107.160903,U,78.16
107.210689,L,47.52
