time,type,distance,
105.13079,L,60.32,FALSE
105.165021,R,99.86,FALSE
105.122074,U,73.28,FALSE
105.180315,L,60.22,FALSE
105.1718,U,73.08,FALSE
105.229849,L,60.2,FALSE
105.214018,R,99.67,FALSE
105.22152,U,73.2,FALSE
105.263015,R,99.65,FALSE
105.271244,U,73.2,FALSE
105.279383,L,60.12,FALSE
105.328913,L,60.2,FALSE
105.312013,R,99.71,FALSE
105.320966,U,73.18,FALSE
105.378443,L,60.2,FALSE
105.361005,R,99.67,FALSE
105.370687,U,73.18,FALSE
105.41,R,99.74,FALSE
105.427976,L,60.19,FALSE
105.420487,U,75.64,FALSE
105.477507,L,60.22,FALSE
105.459001,R,99.64,FALSE
105.470133,U,73.18,FALSE
105.507995,R,99.74,FALSE
105.527039,L,60.19,FALSE
105.519857,U,73.28,FALSE
105.576567,L,60.2,FALSE
105.556994,R,99.88,FALSE
105.56965,U,75.67,FALSE
105.605991,R,99.69,FALSE
105.619296,U,73.11,FALSE
105.6261,L,60.26,FALSE
105.654989,R,99.74,FALSE
105.669019,U,73.16,FALSE
105.675632,L,60.22,FALSE
105.703986,R,99.78,FALSE
105.725234,L,62.73,FALSE
105.718743,U,73.06,FALSE
105.774689,L,60.19,FALSE
105.753013,R,99.74,FALSE
105.768461,U,73.22,FALSE
105.802011,R,99.67,FALSE
105.82422,L,60.12,FALSE
105.818181,U,73.25,FALSE
105.87375,L,60.2,FALSE
105.900029,R,99.78,FALSE
105.867856,U,70.62,FALSE
105.923354,L,62.71,FALSE
105.917577,U,70.52,FALSE
105.949025,R,99.86,FALSE
105.972882,L,62.73,FALSE
105.967293,U,70.59,FALSE
105.997977,R,97.17,FALSE
106.022341,L,60.2,FALSE
106.046975,R,97.27,FALSE
106.017018,U,70.78,FALSE
106.07187,L,60.19,FALSE
106.06674,U,70.55,FALSE
106.095976,R,97.15,FALSE
106.11646,U,70.55,FALSE
106.121476,L,62.85,FALSE
106.144969,R,97.25,FALSE
106.171004,L,62.74,FALSE
106.166185,U,70.55,FALSE
106.220537,L,62.73,FALSE
106.193967,R,97.29,FALSE
106.215977,U,73.18,FALSE
106.242964,R,97.13,FALSE
106.270066,L,62.71,FALSE
106.265703,U,73.23,FALSE
106.291955,R,97.24,FALSE
106.319593,L,62.74,FALSE
106.315453,U,73.11,FALSE
106.369127,L,62.8,FALSE
106.34095,R,97.11,FALSE
106.365169,U,73.2,FALSE
106.389976,R,97.25,FALSE
106.418655,L,62.74,FALSE
106.438966,R,97.27,FALSE
106.414965,U,75.64,FALSE
106.468257,L,65.23,FALSE
106.464687,U,75.62,FALSE
106.487966,R,97.15,FALSE
106.51771,L,62.76,FALSE
106.535504,R,47,TRUE
106.514408,U,75.6,FALSE
106.567169,L,60.24,FALSE
106.584714,R,54.52,FALSE
106.564131,U,75.6,FALSE
106.613853,U,75.69,FALSE
106.6663,L,62.8,FALSE
106.634947,R,97.22,FALSE
106.663577,U,75.72,FALSE
106.666228,L,60.32,FALSE
106.683939,R,97.25,FALSE
106.715824,L,62.73,FALSE
106.713327,U,75.64,FALSE
106.765283,L,60.24,FALSE
106.732942,R,97.39,FALSE
106.763121,U,78.26,FALSE
106.781426,R,79.56,FALSE
106.814297,L,42.3,TRUE
106.812845,U,78.28,FALSE
106.830931,R,97.18,FALSE
106.864339,L,60.2,FALSE
106.862569,U,78.18,FALSE
106.913868,L,60.2,FALSE
106.879929,R,97.37,FALSE
106.912288,U,78.35,FALSE
106.929,R,99.67,FALSE
106.963259,L,55.12,FALSE
106.97799,R,99.78,FALSE
106.962011,U,78.16,FALSE
107.012347,L,39.87,TRUE
