time,gyro x,gyro y,gyro z,accel x,accel y,accel z
105.129222,6.648242950,21.163715363,-6.787620544,-0.050857972,-0.115533389,0.899535656
105.168022,4.054248810,26.733173370,-4.857383728,-0.040726136,-0.088922061,0.959472179
105.182357,0.926197052,26.237262726,4.168190002,-0.012649964,-0.097222842,1.021117687
105.197724,0.086963654,19.523395538,4.259742737,0.000045349,-0.157159358,1.035766125
105.236282,4.527271271,4.081501007,-7.466636658,0.052657653,-0.096856631,1.092284679
105.274730,5.717456818,-8.964763641,6.266273499,-0.078690000,-0.001641788,0.983642101
105.289028,14.315784454,-7.759319305,-1.515708923,-0.115433164,-0.012017764,0.983764172
105.304362,7.624805450,5.836261749,5.472816467,-0.053055238,-0.160089046,1.056273937
105.342886,5.953968048,5.393756866,5.335487366,-0.070633359,-0.108819522,1.016356945
105.343628,5.953968048,5.393756866,5.335487366,-0.070633359,-0.108819522,1.016356945
105.344257,5.953968048,5.393756866,5.335487366,-0.070633359,-0.108819522,1.016356945
105.344917,5.953968048,5.393756866,5.335487366,-0.070633359,-0.108819522,1.016356945
105.345536,5.953968048,5.393756866,5.335487366,-0.070633359,-0.108819522,1.016356945
105.383951,-2.163707733,0.137104034,1.124061584,-0.076492734,-0.172051936,1.095946789
105.398124,-8.229076385,-0.549541473,2.375282288,-0.090042539,-0.183648616,1.076659679
105.413614,-7.534801483,-8.506999969,-4.445396423,-0.094437070,-0.037286319,1.002807140
105.452043,-6.718456268,5.805744171,-0.424705505,-0.065384336,0.003485166,1.059447765
105.490499,-8.061229706,8.567584991,5.831398010,-0.110184141,-0.027764834,0.975707531
105.504669,2.619922638,7.980121613,-3.789268494,-0.121658750,-0.030206241,0.960448742
105.520159,-2.514659882,30.303730011,-0.424705505,-0.158890203,-0.091363467,0.948241711
105.558601,1.391590118,51.048053741,9.775794983,-0.121414609,-0.198419124,1.070678234
105.597071,-5.146800995,22.216571808,-5.673728943,-0.121902891,-0.145074397,1.101562023
105.611345,-12.844860077,12.779010773,-5.940757751,-0.062332582,-0.101129092,1.066649914
105.626870,-11.769115448,10.970844269,-4.811607361,-0.088089414,-0.032281436,1.054198742
105.665359,-2.941905975,0.396503448,-4.933677673,-0.042190980,0.009710751,1.031859875
105.666091,-2.941905975,0.396503448,-4.933677673,-0.042190980,0.009710751,1.031859875
105.666685,-2.941905975,0.396503448,-4.933677673,-0.042190980,0.009710751,1.031859875
105.667324,-2.941905975,0.396503448,-4.933677673,-0.042190980,0.009710751,1.031859875
105.667931,-2.941905975,0.396503448,-4.933677673,-0.042190980,0.009710751,1.031859875
105.668551,-2.941905975,0.396503448,-4.933677673,-0.042190980,0.009710751,1.031859875
105.669148,-3.086864471,-3.608928680,-2.461753845,-0.044510316,-0.032403506,1.031981945
105.669771,-3.086864471,-3.608928680,-2.461753845,-0.044510316,-0.032403506,1.031981945
105.670364,-3.086864471,-3.608928680,-2.461753845,-0.044510316,-0.032403506,1.031981945
105.670981,-3.086864471,-3.608928680,-2.461753845,-0.044510316,-0.032403506,1.031981945
105.671667,-3.086864471,-3.608928680,-2.461753845,-0.044510316,-0.032403506,1.031981945
105.672274,-3.086864471,-3.608928680,-2.461753845,-0.044510316,-0.032403506,1.031981945
105.672867,-3.086864471,-3.608928680,-2.461753845,-0.044510316,-0.032403506,1.031981945
105.673497,-3.086864471,-3.608928680,-2.461753845,-0.044510316,-0.032403506,1.031981945
105.674085,-3.086864471,-3.608928680,-2.461753845,-0.044510316,-0.032403506,1.031981945
105.674714,-3.086864471,-3.608928680,-2.461753845,-0.044510316,-0.032403506,1.031981945
105.675315,-3.086864471,-3.608928680,-2.461753845,-0.044510316,-0.032403506,1.031981945
105.713628,-3.971874237,-14.549480438,2.535499573,-0.118362851,-0.146295100,1.022216320
105.727964,-4.048168182,-19.493328094,1.169837952,-0.122757383,-0.157769710,1.018188000
105.743291,-1.225292206,-24.292217255,-1.469932556,-0.128616765,-0.136041194,1.023559093
105.781805,-5.467235565,-18.150554657,-2.164207458,-0.122024961,-0.122247256,1.002074718
105.820186,-5.299388885,-11.100994110,-2.415977478,-0.152664617,-0.118951358,0.988646984
105.834492,-5.535900116,-6.881938934,-3.156028748,-0.141800359,-0.153497249,0.986815929
105.849809,-8.091747284,0.770343781,-4.193626404,-0.206131414,-0.171075374,1.015746593
105.909164,-9.541332245,22.788776398,-6.612144470,-0.167068914,-0.180596858,0.971313000
105.947642,2.459705353,-24.673686981,-9.946189880,0.025680114,-0.121392764,0.878051281
105.961933,3.176868439,-33.653484344,-9.869895935,0.044601012,-0.209405452,0.906981945
105.977439,1.048267365,-44.845806122,-7.008872986,0.005538513,-0.191339046,0.888793468
106.015863,7.830799103,-52.017436981,-7.115684509,-0.007645081,-0.133721858,0.831420422
106.054349,9.761035919,-37.155376434,-2.324424744,-0.045853090,-0.185967952,0.865478039
106.068512,7.586658478,-22.308574677,-3.560386658,-0.056106996,-0.268121272,0.874511242
106.084006,6.564319611,-15.342937469,-3.712974548,-0.060257386,-0.275933772,0.870604992
106.122500,5.831897736,11.100543976,-8.794151306,-0.025467347,-0.213433772,0.911376476
106.160935,4.298389435,15.289081573,-12.044273376,0.049117614,-0.257745296,0.974364758
106.175279,3.337085724,9.727252960,-13.554893494,0.065108828,-0.198419124,0.978759289
106.190608,4.191577911,0.404132843,-8.115135193,0.078292422,-0.126763850,0.964232922
106.229114,11.332691193,-13.832317352,-5.803428650,0.049239684,-0.118829288,0.970824718
106.267503,2.940357208,-3.563152313,4.625953674,0.051436950,-0.178033382,1.032592297
106.281837,1.536548615,-3.669963837,4.892982483,0.049727965,-0.205132991,1.011840343
106.297285,7.838428497,-14.755474091,-3.796897888,0.038619567,-0.181573421,0.996093273
106.335761,8.204639435,-10.208354950,-2.667747498,0.045455504,-0.099420108,1.050170422
106.374222,-0.851451874,-6.416545868,2.161659241,0.066451602,-0.169122249,1.060302258
106.388397,7.212818146,-10.101543427,-3.072105408,0.097823672,-0.206231624,1.112548351
106.403845,-0.653087616,-6.721721649,5.304969788,0.094893984,-0.299493343,1.126464367
106.442325,-4.803478241,3.715290070,7.120765686,0.052901793,-0.347833186,1.018065929
106.480751,-1.866161346,6.789936066,-5.017601013,0.039596129,-0.290338069,1.023070812
106.495039,-10.998546600,26.794208527,3.588356018,0.054244567,-0.212823421,0.980346203
