time,type,distance
132.422864,L,77.97
132.407243,R,72.04
132.420820,U,73.18
132.471731,L,55.12
132.456230,R,72.01
132.470612,U,75.74
132.505291,R,74.60
132.521336,L,57.66
132.520331,U,75.65
132.570354,L,39.87
132.554283,R,74.72
132.570123,U,78.30
132.603273,R,74.53
132.620617,L,65.28
132.652261,R,74.60
132.619850,U,78.30
132.670221,L,67.82
132.669566,U,78.14
132.701256,R,74.53
132.719822,L,70.36
132.719281,U,78.18
132.750247,R,74.53
132.769424,L,72.87
132.799234,R,74.63
132.768999,U,78.31
132.819102,L,78.00
132.818723,U,78.28
132.868628,L,77.99
132.848228,R,74.58
132.868537,U,80.77
132.918155,L,77.97
132.897224,R,74.56
132.918182,U,78.28
132.946218,R,74.65
132.967689,L,77.93
132.995201,R,74.62
132.967898,U,78.28
133.017217,L,77.86
133.044263,R,77.16
133.017570,U,75.72
133.066749,L,77.88
133.067213,U,73.18
133.093258,R,77.07
133.116308,L,78.09
133.142248,R,77.16
133.116933,U,73.20
133.165836,L,77.88
133.166505,U,68.08
133.215364,L,78.00
133.191272,R,77.03
133.216446,U,75.74
133.240191,R,74.53
133.264897,L,77.86
133.265721,U,60.39
133.289184,R,74.56
133.314425,L,77.92
133.315367,U,57.87
133.363981,L,77.99
133.338178,R,74.51
133.365012,U,55.33
133.387315,R,79.51
133.413512,L,77.92
133.436374,R,82.17
133.414658,U,52.76
133.463043,L,77.90
133.464227,U,47.66
133.485442,R,84.78
133.512572,L,77.90
133.513873,U,45.14
133.534577,R,89.72
133.562099,L,77.88
133.583561,R,89.70
133.563446,U,40.00
133.611549,L,75.39
133.613164,U,40.00
133.632480,R,87.09
133.710605,L,75.46
133.681469,R,87.06
133.662716,U,33.94
133.710605,L,75.46
133.712286,U,28.82
133.729151,R,41.87
133.760138,L,75.34
133.761930,U,26.42
133.809590,L,72.90
133.779306,R,82.27
133.811646,U,26.39
133.828297,R,82.06
133.859122,L,72.82
133.877215,R,79.64
133.862794,U,75.74
133.908656,L,72.80
133.912512,U,75.72
133.926212,R,79.57
133.958217,L,72.82
133.974860,R,67.08
133.962229,U,75.72
134.007673,L,70.26
134.024286,R,82.17
134.011948,U,75.72
134.057199,L,70.31
134.073354,R,84.67
134.061670,U,75.72
134.106730,L,70.31
134.122349,R,84.64
134.111310,U,73.22
134.156337,L,72.80
134.171341,R,84.67
134.161029,U,73.28
134.205936,L,75.34
134.210746,U,73.16
134.220263,R,82.13
134.255535,L,78.11
134.260464,U,73.18
134.269259,R,82.25
134.305210,L,82.96
134.318249,R,82.24
134.310112,U,70.62
134.354815,L,85.54
134.367243,R,82.18
134.359832,U,70.62
134.404201,L,80.51
134.416240,R,82.17
134.409554,U,70.62
134.453657,L,77.88
134.465237,R,82.17
134.459278,U,70.64
134.503037,L,72.84
134.514232,R,82.17
134.509005,U,70.71
134.552496,L,70.26
134.563253,R,82.18
134.558726,U,70.62
134.602023,L,70.31
134.612247,R,82.18
134.608449,U,70.62
134.651511,L,67.81
134.659833,R,33.56
134.658173,U,70.55
134.701041,L,67.72
134.710237,R,82.12
134.707895,U,70.57
134.750569,L,67.74
134.757459,R,20.98
134.757616,U,70.69
134.800096,L,67.74
134.806847,R,28.49
134.807338,U,70.62
134.849625,L,67.77
134.856084,R,36.94
134.857057,U,70.61
134.899154,L,67.74
134.905227,R,41.92
134.906705,U,68.08
134.948681,L,67.74
134.954582,R,54.52
134.956057,U,55.33
134.998211,L,67.74
135.003797,R,62.07
135.005477,U,45.12
135.047739,L,67.77
135.053154,R,74.63
135.055939,U,70.64
135.097267,L,67.74
135.102296,R,79.66
135.105734,U,73.15
135.146870,L,70.35
135.151293,R,79.66
135.155456,U,73.16
135.196396,L,70.24
135.200361,R,82.18
135.205103,U,70.64
135.245925,L,70.26
135.249360,R,82.18
135.254829,U,70.78
135.295456,L,70.23
135.298360,R,82.18
135.304571,U,70.62
135.344982,L,70.24
135.347433,R,84.64
135.354319,U,70.64
135.394508,L,70.24
135.396428,R,84.69
135.404038,U,70.64
135.444037,L,70.26
135.445454,R,84.69
135.453758,U,70.64
135.493589,L,70.31
135.494376,R,82.22
135.543115,L,70.36
135.543371,R,82.15
135.503553,U,73.11
135.553273,U,73.11
135.592644,L,70.35
135.592442,R,84.59
135.602994,U,73.28
135.642172,L,70.36
135.641508,R,87.11
135.652709,U,73.20
135.690576,R,89.63
135.691703,L,70.40
135.702429,U,73.08
135.741156,L,67.81
135.739645,R,92.12
135.752144,U,73.18
135.790687,L,67.82
135.788786,R,97.13
135.801863,U,73.18
135.840217,L,67.88
135.837781,R,97.25
135.851579,U,73.18
135.889773,L,67.82
135.886734,R,94.64
135.901293,U,73.18
135.939304,L,67.82
135.935661,R,92.12
135.951017,U,73.04
135.988908,L,70.28
135.984584,R,89.74
136.000762,U,73.18
136.033435,R,84.60
136.038433,L,70.43
136.050481,U,73.18
136.087668,L,60.19
136.082435,R,84.69
136.100203,U,73.08
136.136977,L,52.57
136.131356,R,82.20
136.149922,U,73.11
136.186283,L,44.95
136.180349,R,82.06
136.199638,U,73.18
136.235667,L,39.85
136.229418,R,84.59
136.249360,U,73.32
136.286077,L,70.38
136.278416,R,84.69
136.299076,U,73.22
136.335606,L,70.36
136.327409,R,84.60
136.348794,U,73.20
136.376334,R,82.03
136.385134,L,70.28
136.425255,R,79.66
136.398439,U,70.59
136.434667,L,70.45
136.448158,U,70.62
136.484196,L,70.36
136.474257,R,79.76
136.497880,U,70.54
136.533725,L,70.36
136.523327,R,82.06
136.572251,R,79.66
136.547671,U,73.06
136.582449,L,42.37
136.597314,U,70.54
136.632785,L,70.36
136.621250,R,79.57
136.682315,L,70.36
136.670249,R,79.54
136.647104,U,73.27
136.696825,U,73.06
136.731845,L,70.35
136.719243,R,79.63
136.746539,U,73.18
136.781376,L,70.33
136.768239,R,79.57
136.796187,U,70.55
136.817236,R,79.63
136.830904,L,70.31
136.845979,U,73.16
136.880357,L,67.81
136.866307,R,82.27
136.895697,U,73.18
136.915303,R,82.29
136.929888,L,67.95
136.979265,L,62.74
136.964295,R,82.18
136.945418,U,73.25
137.013290,R,82.17
136.995137,U,73.06
137.028944,L,67.86
137.044860,U,73.13
137.078475,L,67.81
137.062292,R,82.25
137.094573,U,73.18
137.127194,L,39.87
137.111288,R,82.06
137.144296,U,73.06
137.160286,R,82.10
137.177537,L,67.70
137.194010,U,73.16
137.227060,L,67.82
137.209285,R,82.17
137.243730,U,73.27
137.258351,R,84.71
137.276594,L,67.84
137.307348,R,84.66
137.293478,U,73.16
137.326121,L,67.82
137.356345,R,84.71
137.343196,U,73.18
137.375650,L,67.76
137.425173,L,67.81
137.405342,R,84.69
137.392920,U,73.25
137.454336,R,84.69
137.442639,U,73.08
137.474701,L,67.72
137.492359,U,73.08
137.524229,L,67.81
137.503332,R,84.59
137.552324,R,84.69
137.542154,U,75.64
137.573755,L,67.86
137.601392,R,87.21
137.591875,U,75.70
137.623288,L,67.72
137.641592,U,75.81
137.672815,L,67.82
137.699411,R,87.23
137.691310,U,75.70
137.699414,R,87.35
137.722347,L,67.77
137.748403,R,87.20
137.741057,U,75.64
137.771879,L,67.77
137.797326,R,84.69
137.790773,U,75.72
137.821410,L,67.81
137.870935,L,67.88
137.846319,R,84.69
137.840498,U,75.62
137.895530,R,92.22
137.890220,U,75.65
137.920464,L,67.70
137.939871,U,73.16
137.969992,L,67.77
137.942998,R,39.47
137.993450,R,89.72
137.989590,U,73.06
138.019521,L,67.91
138.041064,R,41.97
138.039305,U,73.09
138.069050,L,67.76
138.118578,L,67.81
138.090352,R,51.98
138.089100,U,75.86
138.139709,R,64.61
138.138820,U,75.62
138.168110,L,67.72
138.189067,R,77.14
138.188539,U,75.72
138.217744,L,70.28
138.238501,R,92.12
138.238260,U,75.72
138.267272,L,70.28
138.316798,L,70.35
138.287425,R,89.63
138.287980,U,75.72
138.336276,R,84.62
138.337110,U,55.30
138.366330,L,70.31
138.385267,R,84.62
138.386535,U,45.10
138.415858,L,70.28
138.465386,L,70.35
138.433462,R,56.94
138.437136,U,75.70
138.481948,R,39.43
138.486854,U,75.74
138.514916,L,70.26
138.531231,R,49.49
138.564517,L,72.90
138.536576,U,75.86
138.580959,R,74.55
138.586288,U,75.74
138.614047,L,72.80
138.629660,R,64.58
138.636007,U,75.74
138.663572,L,72.80
138.679092,R,79.66
138.685732,U,75.62
138.713096,L,72.99
138.728085,R,79.68
138.735523,U,78.30
138.762625,L,72.71
138.777078,R,79.66
138.785245,U,78.31
138.812145,L,72.84
138.826074,R,79.54
138.834963,U,78.28
138.861671,L,72.84
138.875068,R,79.66
138.884679,U,78.30
138.911201,L,72.90
138.960722,L,72.90
138.973059,R,79.76
138.934393,U,78.30
138.973059,R,79.78
138.984112,U,78.30
139.010253,L,72.87
139.022052,R,79.59
139.033833,U,78.23
139.059778,L,72.78
139.070970,R,77.16
139.109300,L,72.89
139.083553,U,78.24
139.119967,R,77.21
139.133344,U,80.91
139.158858,L,72.80
139.168739,R,69.60
139.183065,U,80.80
139.208381,L,72.80
139.217950,R,77.16
139.232786,U,80.72
139.257906,L,72.90
139.266945,R,77.14
139.282499,U,80.85
139.307430,L,72.87
139.315941,R,77.09
139.332220,U,80.85
139.356960,L,72.78
139.363459,R,26.06
139.406557,L,75.44
139.412755,R,31.04
139.381941,U,80.73
139.431579,U,78.18
139.456086,L,75.55
139.462063,R,41.96
139.481293,U,78.21
139.505616,L,75.34
139.511352,R,52.01
139.555144,L,75.44
139.560563,R,59.56
139.531010,U,78.19
139.580727,U,78.21
139.604678,L,75.46
139.609995,R,74.63
139.630445,U,78.26
139.654133,L,72.84
139.658993,R,74.63
139.680240,U,80.91
139.703663,L,72.84
139.707918,R,72.18
139.729879,U,78.24
139.753198,L,72.84
139.756839,R,69.60
139.779666,U,80.84
139.802760,L,72.85
139.805760,R,67.10
139.829386,U,80.72
139.852365,L,75.48
139.854758,R,67.17
139.879099,U,80.84
139.901827,L,72.80
139.903749,R,67.10
139.951428,L,75.46
139.952889,R,72.11
139.928821,U,80.68
139.978536,U,80.70
140.000886,L,72.94
140.001890,R,72.02
140.050492,L,75.41
140.050957,R,74.63
140.028254,U,80.91
140.099943,L,72.90
140.100026,R,77.14
140.077974,U,80.70
140.127689,U,80.75
140.149329,L,67.82
140.149094,R,79.61
140.177406,U,80.85
140.198863,L,67.82
140.198162,R,82.05
140.227127,U,80.75
140.248544,L,72.82
140.247227,R,84.74
140.276867,U,80.77
140.298068,L,72.90
140.296295,R,87.30
140.326579,U,80.82
140.347525,L,70.38
140.345366,R,89.75
140.397058,L,70.35
140.394358,R,89.72
140.376324,U,80.82
140.446593,L,70.40
140.443280,R,87.20
140.426037,U,80.72
140.475680,U,78.12
140.496199,L,72.87
140.492132,R,82.10
140.525393,U,78.28
140.545655,L,70.36
140.541053,R,79.59
140.575110,U,78.16
140.595336,L,75.44
140.589979,R,77.05
140.624749,U,75.60
140.644356,L,57.68
140.638906,R,74.75
140.674462,U,75.72
140.687905,R,74.53
140.693667,L,50.01
140.742903,L,39.87
140.736973,R,77.16
140.724101,U,73.08
140.773818,U,73.04
140.792217,L,32.42
140.785969,R,77.24
140.841494,L,23.76
140.834960,R,77.16
140.823533,U,73.04
140.883954,R,77.14
140.873246,U,73.06
140.892677,L,75.55
140.942132,L,72.92
140.932948,R,77.10
140.922963,U,73.23
140.991665,L,72.90
140.981941,R,77.12
140.972603,U,70.54
141.030935,R,77.17
141.022324,U,70.66
141.041275,L,75.32
141.072034,U,70.62
141.090803,L,75.44
141.079930,R,77.07
141.121681,U,67.98
141.140334,L,75.46
141.128924,R,77.17
141.177922,R,77.14
141.170959,U,52.65
141.188915,L,42.30
141.226992,R,79.66
141.220605,U,50.35
141.239404,L,75.39
141.275987,R,79.66
141.270322,U,50.13
141.288935,L,75.55
141.324983,R,79.66
141.320113,U,52.76
141.338464,L,75.36
141.387994,L,75.46
141.373978,R,79.66
141.370348,U,70.49
141.422975,R,79.66
141.420063,U,70.52
141.437527,L,75.34
141.487133,L,77.93
141.471026,R,46.92
141.469805,U,70.57
141.536666,L,77.99
141.520380,R,59.50
141.519550,U,70.54
141.569734,R,72.06
141.569268,U,70.64
141.635656,L,75.53
141.618945,R,79.66
141.618984,U,70.62
141.635731,L,78.11
141.667941,R,79.70
141.668480,U,62.95
141.685262,L,77.99
141.734785,L,77.99
141.716937,R,79.57
141.717827,U,50.20
141.765885,R,77.05
141.767248,U,40.02
141.783288,L,42.30
141.833847,L,77.99
141.814876,R,77.02
141.817854,U,70.66
141.883376,L,77.99
141.863867,R,77.05
141.867570,U,70.64
141.912935,R,79.61
141.917290,U,70.62
141.932910,L,77.90
141.962005,R,82.18
141.967035,U,70.64
141.982442,L,77.88
142.011004,R,82.25
142.016754,U,70.64
142.031972,L,77.92
142.060000,R,82.08
142.066474,U,70.62
142.081504,L,77.88
142.109016,R,82.17
142.116195,U,70.76
142.131105,L,80.59
142.180637,L,80.54
142.158014,R,82.06
142.165912,U,70.64
142.207010,R,82.08
142.215633,U,70.64
142.230174,L,80.44
142.279701,L,80.53
142.256032,R,82.13
142.265427,U,73.18
142.329232,L,80.54
142.304955,R,79.56
