time,type,distance
105.011483,L,67.88
105.017351,R,74.53
105.060931,L,65.28
105.066567,R,82.18
105.043450,U,103.89
105.110530,L,67.81
105.115783,R,89.72
105.093172,U,103.73
105.142966,U,106.29
105.160056,L,67.82
105.164777,R,89.72
105.192687,U,106.34
105.209583,L,67.70
105.213847,R,92.24
105.242409,U,106.24
105.259179,L,70.28
105.262768,R,89.72
105.308629,L,67.81
105.311762,R,89.74
105.292134,U,106.24
105.341853,U,106.22
105.358153,L,67.70
105.360763,R,89.70
105.407745,L,70.24
105.409757,R,89.72
105.391572,U,106.26
105.457266,L,70.36
105.458756,R,89.72
105.441364,U,108.78
105.491013,U,106.31
105.506792,L,70.24
105.507678,R,87.16
105.556388,L,72.90
105.556674,R,87.20
105.540739,U,106.50
105.590464,U,106.32
105.605912,L,72.96
105.605672,R,87.25
105.640181,U,106.36
105.655463,L,72.90
105.654598,R,84.57
105.689904,U,106.26
105.705062,L,75.38
105.703592,R,84.66
105.739625,U,106.26
105.754584,L,75.43
105.752591,R,84.79
105.801585,R,84.69
105.789376,U,106.46
105.804109,L,75.46
105.853708,L,77.99
105.850579,R,84.69
105.839096,U,106.29
105.888824,U,106.26
105.903234,L,77.88
105.899505,R,82.18
105.952680,L,75.44
105.948500,R,82.18
105.938542,U,106.27
106.002278,L,77.99
105.997423,R,79.66
105.988293,U,106.22
106.038016,U,106.22
106.051729,L,75.41
106.046422,R,79.70
106.101029,L,67.81
106.095419,R,79.63
106.087767,U,106.50
106.150258,L,57.65
106.144414,R,79.64
106.137492,U,106.32
106.187212,U,106.26
106.200370,L,77.97
106.193414,R,79.78
106.242407,R,79.66
106.236938,U,106.26
106.248866,L,42.35
106.291404,R,79.66
106.286689,U,106.26
106.299492,L,80.59
106.348936,L,77.99
106.340399,R,79.68
106.336415,U,106.32
106.398534,L,80.53
106.389396,R,79.64
106.386137,U,106.26
106.438393,R,79.66
106.435862,U,106.20
106.447989,L,78.05
106.497510,L,77.97
106.487463,R,82.18
106.485657,U,108.88
106.547036,L,77.97
106.536383,R,79.64
106.535384,U,108.71
106.585160,R,72.09
106.585135,U,108.83
106.596558,L,77.99
106.646078,L,77.99
106.634377,R,79.70
106.634933,U,111.42
106.695600,L,77.99
106.683370,R,79.66
106.683920,U,85.95
106.745119,L,77.99
106.732362,R,79.57
106.734452,U,114.01
106.781357,R,79.56
106.782624,U,60.43
106.794644,L,77.92
106.844160,L,77.99
106.830352,R,79.56
106.832049,U,50.22
106.879348,R,79.56
106.883615,U,114.00
106.893684,L,78.00
106.943205,L,78.02
106.928293,R,77.09
106.933343,U,113.96
106.992652,L,75.43
106.977362,R,79.57
106.983137,U,116.55
107.026358,R,79.61
107.041956,L,67.77
107.032862,U,116.66
107.091694,L,75.43
107.075359,R,79.61
107.082579,U,116.55
107.124357,R,79.68
107.132298,U,116.55
107.141219,L,75.41
107.173349,R,79.61
107.182018,U,116.55
107.190742,L,75.43
107.222346,R,79.66
107.231744,U,116.49
107.240263,L,75.53
107.289785,L,75.44
107.271343,R,79.57
107.281463,U,116.55
107.339308,L,75.41
107.320343,R,79.54
107.331188,U,116.55
107.369407,R,82.10
107.388759,L,72.89
107.418401,R,82.18
107.430634,U,116.43
107.438286,L,72.85
107.467399,R,82.18
