time,type,distance
74.010057,R,82.10
74.048260,L,75.44
74.059057,R,82.18
74.039099,U,111.61
74.088820,U,111.34
74.097791,L,75.34
74.108060,R,82.29
74.138536,U,111.46
74.147318,L,75.48
74.196842,L,75.44
74.157059,R,82.12
74.188256,U,111.40
74.206058,R,82.05
74.246296,L,72.89
74.253357,R,23.50
74.238053,U,113.84
74.295822,L,72.99
74.302819,R,26.04
74.287770,U,113.91
74.345375,L,72.90
74.352205,R,39.43
74.337419,U,111.49
74.394900,L,72.90
74.401274,R,41.96
74.387137,U,111.35
74.436856,U,111.40
74.444429,L,72.90
74.450564,R,52.01
74.493953,L,72.96
74.499855,R,62.09
74.536375,U,114.00
74.543478,L,72.89
74.536379,U,114.12
74.549076,R,69.69
74.593003,L,72.87
74.598365,R,79.68
74.586102,U,113.95
74.635823,U,113.89
74.642532,L,73.04
74.647506,R,84.69
74.692053,L,72.90
74.696506,R,84.69
74.685544,U,113.88
74.741504,L,70.36
74.735194,U,111.27
74.745578,R,87.28
74.791031,L,70.36
74.794572,R,87.21
74.784909,U,111.37
74.840556,L,70.38
74.843572,R,87.23
74.834635,U,111.32
74.890085,L,70.36
74.892644,R,89.72
74.884384,U,111.51
74.939612,L,70.35
74.941643,R,89.72
74.934109,U,111.34
74.983830,U,111.40
74.989141,L,70.38
74.990647,R,89.79
75.038742,L,72.90
75.039640,R,89.72
75.033558,U,111.32
75.088195,L,70.36
75.088566,R,87.13
75.083277,U,111.37
75.133024,U,111.37
75.136915,L,42.49
75.186640,R,89.75
75.182742,U,111.42
75.187244,L,70.38
75.186643,R,89.87
75.236773,L,70.36
75.234691,R,57.02
75.232468,U,111.34
75.286294,L,70.36
75.284568,R,87.18
75.282187,U,111.34
75.335455,L,57.72
75.332767,R,59.60
75.331984,U,113.95
75.385349,L,70.36
75.382132,R,72.13
75.381710,U,113.86
75.434067,L,42.41
75.431499,R,84.71
75.431430,U,113.95
75.484334,L,67.72
75.480576,R,87.23
75.480858,U,103.85
75.533931,L,70.36
75.529578,R,87.13
75.530207,U,91.07
75.583456,L,70.35
75.578575,R,87.11
75.580593,U,113.98
75.632982,L,70.36
75.627523,R,84.67
75.628911,U,65.46
75.682213,L,60.19
75.676526,R,84.60
75.680036,U,114.00
75.725527,R,84.57
75.731522,L,52.65
75.729758,U,114.00
75.780751,L,42.41
75.774523,R,84.59
75.779556,U,116.57
75.831081,L,70.35
75.823524,R,84.64
75.829276,U,116.55
75.880605,L,70.35
75.921545,R,84.69
75.878995,U,116.55
75.930133,L,70.35
75.928746,U,116.47
75.970543,R,84.64
75.979661,L,70.35
75.978465,U,116.57
76.028380,L,42.39
76.019542,R,84.59
76.028214,U,116.61
76.078720,L,70.36
76.068537,R,84.72
76.077935,U,116.57
76.127440,L,42.41
76.117536,R,84.59
76.127510,U,111.46
76.166535,R,84.60
76.177856,L,72.90
76.177161,U,108.93
76.226797,L,52.57
76.215535,R,84.71
76.226738,U,103.82
76.276398,L,55.11
76.264529,R,84.62
76.276391,U,101.26
76.313526,R,84.64
76.326005,L,57.65
76.326043,U,98.69
76.375683,L,62.78
76.362524,R,84.78
76.375691,U,96.15
76.411451,R,82.10
76.425286,L,65.27
76.425272,U,90.96
76.460449,R,82.10
76.474888,L,67.81
76.474922,U,88.39
76.509452,R,82.13
76.524567,L,72.89
76.524492,U,83.34
76.573948,L,67.82
76.558450,R,82.15
76.574139,U,80.84
76.623623,L,72.90
76.607454,R,82.12
76.623783,U,78.28
76.656454,R,82.06
76.673151,L,72.80
76.673432,U,75.74
76.722675,L,72.90
76.705480,R,82.03
76.723078,U,73.20
76.754477,R,82.12
76.772209,L,72.80
76.803475,R,82.22
76.772651,U,68.08
76.821739,L,72.73
76.822302,U,65.53
76.852473,R,82.31
76.871264,L,72.80
76.871950,U,63.06
76.901472,R,82.06
76.920797,L,73.08
76.950470,R,82.18
76.921526,U,57.92
76.970321,L,72.82
76.971175,U,55.31
77.019844,L,72.90
76.999475,R,82.05
77.020825,U,52.77
77.048474,R,82.06
77.069378,L,72.78
77.070474,U,50.20
77.118905,L,72.90
77.097477,R,82.25
77.120045,U,45.12
77.168435,L,72.94
77.146473,R,82.05
77.169697,U,42.58
77.195465,R,82.13
77.218040,L,75.41
77.244463,R,82.18
77.219345,U,40.02
77.267569,L,75.29
77.293462,R,82.18
77.269070,U,40.00
77.317098,L,75.34
77.320046,U,83.27
77.366625,L,75.44
77.342393,R,79.59
77.391392,R,79.66
77.370872,U,121.81
77.416153,L,75.36
77.420591,U,121.72
77.465679,L,75.44
77.440393,R,79.64
77.469568,U,96.16
77.489394,R,79.56
77.515207,L,75.44
77.519222,U,93.49
77.538393,R,79.56
77.564739,L,75.34
77.569754,U,121.65
77.614266,L,75.43
77.587392,R,79.54
77.618515,U,88.51
77.636394,R,79.59
77.663800,L,75.38
77.685383,R,79.66
77.669270,U,124.21
77.713328,L,75.31
77.718991,U,124.19
77.734382,R,79.56
77.762857,L,75.34
77.783448,R,82.18
77.768783,U,126.75
77.812310,L,72.80
77.817103,U,78.26
77.832452,R,82.32
77.861835,L,72.87
77.911358,L,72.89
77.881444,R,82.18
77.917953,U,126.72
77.930439,R,82.10
77.916333,U,70.73
77.960888,L,72.78
77.978273,R,41.92
77.967682,U,126.82
78.010414,L,72.82
78.017329,U,124.19
78.028431,R,82.18
78.059937,L,72.84
78.077428,R,82.18
78.067054,U,124.21
78.109465,L,72.90
78.126422,R,82.18
78.116779,U,124.17
78.158991,L,72.84
78.175422,R,82.17
78.164360,U,50.23
78.208446,L,70.30
78.224422,R,82.18
78.216154,U,121.76
78.257981,L,70.26
78.273423,R,82.18
78.265871,U,121.63
78.307535,L,70.35
78.315516,U,119.11
78.357136,L,72.89
78.322424,R,82.25
78.371424,R,82.22
78.365242,U,119.11
78.406665,L,72.84
78.420428,R,82.12
78.414963,U,119.13
78.456335,L,77.92
78.464681,U,119.09
78.505859,L,77.95
78.469427,R,82.22
78.518425,R,82.18
78.514332,U,116.43
78.555461,L,80.44
78.567420,R,82.18
78.564050,U,116.55
78.605063,L,82.98
78.616419,R,82.18
78.613773,U,116.54
78.654667,L,85.59
78.665419,R,82.18
78.663498,U,116.47
78.704197,L,85.48
78.713616,R,54.52
78.713220,U,116.55
78.753651,L,83.01
