time,deltaX,deltaY
44.073602,-5,4
44.111885,-8,5
44.150213,-15,5
44.180007,-10,2
44.218308,-17,1
44.256723,-13,1
44.286571,-5,2
44.324813,1,4
44.363143,9,6
44.392874,7,4
44.431161,2,6
44.489754,-9,8
44.519557,-7,5
44.557930,-6,6
44.596205,0,7
44.625976,5,7
44.664261,8,9
44.702612,2,6
44.732913,-1,9
44.785557,-6,17
44.823908,-3,14
44.853560,0,10
44.891812,2,16
44.930191,2,15
44.959888,0,9
44.998214,-2,16
45.036480,0,17
45.066187,0,11
45.104528,4,16
45.142848,3,18
45.172776,1,14
45.210947,2,20
45.249301,7,21
45.279028,6,17
45.317206,5,19
45.371260,2,32
45.401166,-5,20
45.439454,-12,24
45.477798,-12,25
45.507564,-5,14
45.545854,5,25
45.584191,15,24
45.613969,10,15
45.652136,9,21
45.690493,8,20
45.720244,-4,11
45.758524,-17,16
45.796866,-23,17
45.826499,-15,11
45.864788,-15,18
45.903101,-7,18
45.932883,0,14
45.971136,-7,18
46.009439,-16,18
46.041089,-18,14
46.093603,-12,22
46.131997,0,14
46.161661,5,15
46.199912,16,19
46.238262,14,17
46.267990,0,11
46.306282,-17,18
46.360678,-31,27
46.390598,-17,18
46.428983,-5,20
46.467253,8,25
46.497047,11,20
46.535205,14,21
46.573583,8,26
46.603280,0,20
46.641453,-2,20
46.679828,3,19
46.709471,2,19
46.747712,2,21
46.786023,8,16
46.815832,6,18
46.859075,3,24
46.897436,-7,24
46.927187,-14,20
46.965515,-12,25
47.003785,-1,19
47.033442,3,23
47.071794,8,24
47.126402,1,31
47.156283,-1,13
47.194489,-5,21
47.232883,-12,22
47.262600,-4,15
47.300799,1,22
47.339189,16,18
47.366669,13,13
47.394073,13,16
47.432524,14,20
47.470905,7,22
47.500662,0,15
47.538865,-9,23
47.577249,-12,20
47.607004,-10,20
47.645210,-3,19
47.691511,1,25
47.721317,4,17
47.759612,3,24
47.797983,0,18
47.827761,-3,20
47.866062,-4,24
47.904383,-8,28
47.934158,-2,17
47.972518,-5,26
48.024814,0,39
48.054681,0,21
48.093030,1,29
48.131385,1,31
48.161018,0,18
48.211754,-5,35
48.250241,-6,26
48.279949,-2,20
48.318317,0,26
48.356588,0,25
48.386376,0,15
48.435004,0,36
48.473328,0,27
48.503027,-1,19
48.541353,-2,28
48.579709,0,30
48.609479,1,18
48.647725,0,29
48.686097,-3,26
48.715765,-1,16
48.754017,0,21
48.792411,1,25
48.822040,2,15
48.874136,0,30
48.912618,-5,23
48.942440,-3,15
48.994536,-4,33
49.032998,-3,26
49.062701,-2,22
49.101015,-3,23
49.139389,2,25
49.169186,1,23
49.207629,2,23
49.246001,0,21
49.275793,-6,17
49.314168,-12,23
49.352549,-11,17
49.382260,-10,18
49.429850,-15,22
49.468238,-11,19
49.497883,-2,15
49.536108,4,22
49.574499,10,24
49.604166,10,21
49.642442,5,19
49.680794,-1,22
49.710481,-9,20
49.762939,-7,31
49.816215,6,27
49.845904,6,12
49.884214,4,17
49.922589,0,16
49.952270,-1,14
49.990490,-1,21
50.028903,-5,24
50.058599,-7,15
50.096900,-5,23
50.135268,0,23
50.164922,1,16
50.203312,1,24
50.248566,1,27
50.278235,2,16
50.316445,2,23
50.354832,-2,22
50.384568,-7,18
50.424683,-10,24
50.463072,-6,18
50.492759,-1,18
50.530970,0,19
50.607568,2,35
50.637368,4,15
50.675619,4,19
50.713990,2,13
50.743782,1,12
50.781973,0,16
50.825194,8,17
50.854831,12,14
50.893215,12,12
50.931386,8,13
50.977482,-2,20
51.015818,-5,17
51.054192,-3,19
51.083860,-1,13
51.122128,-2,24
51.160480,-6,21
51.190111,-6,14
51.228421,-5,20
51.266785,5,20
51.296579,8,14
51.336902,12,24
51.391374,-4,25
51.421424,-7,11
51.459650,-12,16
51.498003,1,17
51.527810,8,11
51.566098,15,15
51.616225,7,20
51.646080,-2,9
51.684388,-9,15
51.732769,-7,17
51.762439,-1,12
51.800735,1,14
51.839107,0,14
51.868791,-3,11
51.916479,-4,18
51.954811,1,11
51.984561,0,8
52.022728,-2,9
52.073616,-6,14
52.103456,-4,7
52.154008,-12,14
52.192508,-3,11
52.222263,1,9
52.260423,6,13
52.309267,-2,22
52.338874,-6,9
52.377135,-5,15
52.415478,0,12
52.445142,0,8
52.483515,-1,14
52.521684,-3,12
52.551356,-7,8
52.589727,-14,12
52.628005,-7,13
52.657792,2,8
52.696143,11,11
52.734528,6,9
52.764193,-3,4
52.802364,-13,9
52.840726,-11,8
52.882729,0,8
52.934754,8,13
52.973193,-3,11
53.002973,-6,9
53.041338,-5,8
53.079708,-3,10
53.109484,0,9
53.147726,2,9
53.186087,8,8
53.215779,0,7
53.253957,0,6
53.299058,0,10
53.328690,-6,7
53.366895,-9,7
53.405244,-3,8
53.434899,1,5
53.473159,4,6
53.525478,0,7
53.555314,-4,4
53.593500,0,7
53.631857,2,5
53.661557,2,2
53.713790,-3,5
53.752268,-7,5
53.781916,-4,3
53.820203,-5,6
53.858520,-1,7
53.888158,-3,3
53.941335,0,9
53.979801,7,7
54.009515,7,8
54.047692,1,5
54.086056,-5,7
54.115708,-6,4
54.154494,-8,5
54.192842,-4,6
54.222466,1,9
54.260642,7,11
54.299032,6,9
54.328819,4,7
54.367114,3,8
54.405485,0,5
54.435206,0,5
54.473505,6,3
54.511792,7,6
54.541453,2,6
54.595610,-2,11
54.649836,-3,9
54.679710,-2,6
54.717901,-4,6
54.756280,-3,9
54.785947,0,6
54.824252,-2,9
54.866214,-6,5
54.896013,-4,3
54.934280,-1,6
