time,type,distance
44.063035,L,75.31
44.113019,R,406.36
44.089120,U,134.42
44.112559,L,75.51
44.161997,R,406.32
44.138843,U,134.42
44.162113,L,75.38
44.162001,R,406.46
44.211711,L,77.95
44.188569,U,134.30
44.259963,R,406.48
44.238289,U,134.42
44.261240,L,77.86
44.259962,R,406.45
44.310761,L,77.97
44.308944,R,406.34
44.288017,U,134.42
44.360282,L,77.99
44.337737,U,134.32
44.357929,R,406.43
44.387534,U,136.88
44.409810,L,77.93
44.406909,R,406.27
44.459335,L,77.99
44.455891,R,406.34
44.487051,U,139.55
44.508935,L,80.42
44.504876,R,406.24
44.536769,U,139.43
44.558460,L,80.54
44.602908,R,408.86
44.586490,U,139.49
44.607982,L,80.44
44.602911,R,408.97
44.657508,L,80.49
44.651898,R,408.88
44.636285,U,141.97
44.686005,U,141.96
44.707104,L,83.00
44.700886,R,408.90
44.735798,U,144.62
44.756629,L,82.96
44.749949,R,411.34
44.806154,L,83.07
44.795879,R,305.86
44.785520,U,144.72
44.835313,U,147.05
44.855759,L,85.64
44.896993,R,411.35
44.885026,U,147.16
44.905284,L,85.52
44.894450,R,323.47
44.934817,U,149.73
44.954806,L,85.54
44.943876,R,325.82
44.984540,U,149.61
45.004436,L,87.97
45.044589,R,416.45
45.034261,U,149.78
45.053960,L,88.16
45.042482,R,343.63
45.085426,R,122.36
45.084053,U,152.17
45.103487,L,88.15
45.133773,U,152.20
45.153013,L,88.09
45.141180,R,356.19
45.202610,L,90.69
45.190381,R,363.63
45.183520,U,152.20
45.239658,R,373.68
45.233243,U,152.20
45.252136,L,90.72
45.301731,L,93.19
45.288863,R,381.15
45.282988,U,152.32
45.352503,L,136.44
45.338138,R,391.17
45.332704,U,152.24
45.382425,U,152.24
45.381598,R,200.19
45.409163,L,382.89
45.432071,U,149.68
45.458683,L,382.82
45.485601,R,408.95
45.481795,U,149.84
45.485891,R,418.97
45.557797,L,385.40
45.531513,U,149.68
45.557872,L,387.97
45.584082,R,426.59
45.581233,U,149.78
45.578918,R,248.13
45.657067,L,393.17
45.628267,R,260.64
45.630877,U,147.14
45.656918,L,388.01
45.680596,U,147.14
45.682930,R,456.78
45.706514,L,390.55
45.727111,R,283.27
45.730322,U,147.05
45.805544,L,390.44
45.776553,R,290.76
45.780116,U,149.71
45.805622,L,393.12
45.830991,R,469.26
45.829839,U,149.75
45.904811,L,398.15
45.875472,R,313.32
45.879556,U,149.68
45.904810,L,398.12
45.929278,U,149.65
45.954259,L,395.44
45.974037,R,320.93
45.974329,R,331.04
45.979001,U,149.65
46.053515,L,403.23
46.023768,R,340.97
46.028794,U,152.27
46.102367,L,380.32
46.073122,R,353.53
46.078512,U,152.24
46.102074,L,370.17
46.122477,R,366.13
46.128160,U,149.68
46.151371,L,362.47
46.171827,R,378.62
46.177880,U,149.61
46.201992,L,400.66
46.221177,R,391.29
46.227629,U,149.68
46.249894,L,344.76
46.270529,R,403.80
46.277352,U,149.63
46.350841,L,408.35
46.368861,R,416.40
46.327144,U,152.24
46.350694,L,403.27
46.369227,R,429.03
46.376865,U,152.22
46.399915,L,393.05
46.449364,L,390.48
46.467633,R,444.10
46.426581,U,152.31
46.467925,R,454.19
46.476302,U,152.10
46.499179,L,400.60
46.517351,R,469.14
46.526016,U,152.24
46.548330,L,387.92
46.566697,R,481.84
46.575761,U,152.32
46.647227,L,382.93
46.615973,R,491.83
46.625478,U,152.22
46.647151,L,380.32
46.665401,R,506.86
46.675125,U,149.68
46.696674,L,380.25
46.763665,R,516.93
46.724844,U,149.61
46.795198,L,362.62
46.764104,R,532.09
46.774559,U,149.68
46.795126,L,360.13
46.844646,L,360.03
46.862085,R,532.21
46.824279,U,149.65
46.911001,R,529.62
46.873997,U,149.61
46.894096,L,357.56
46.911000,R,529.57
46.923715,U,149.63
46.943615,L,357.37
46.986596,L,131.19
47.008974,R,529.58
46.973436,U,149.63
47.008978,R,529.70
