time,deltaX,deltaY
48.030358,0,0
48.059959,0,0
48.098285,0,0
48.136551,0,0
48.166281,0,0
48.204590,0,0
48.242906,0,0
48.272564,0,0
48.310832,0,0
48.349177,0,0
48.378924,0,0
48.417065,0,0
48.455414,0,0
48.485131,0,0
48.544098,0,0
48.582577,0,0
48.612363,0,0
48.650676,0,0
48.688994,0,0
48.718701,0,0
48.756958,0,0
48.795318,0,0
48.824995,0,0
48.863131,0,0
48.901489,0,9
48.931108,1,9
48.969268,7,14
49.007636,4,14
49.039401,0,11
49.091980,-11,16
49.130312,-12,12
49.160113,-4,7
49.198279,-4,12
49.236639,0,11
49.266308,0,9
49.304488,1,15
49.342872,0,15
49.372505,2,10
49.410676,0,15
49.460677,0,19
49.490409,-2,10
49.528777,-4,13
49.567000,-3,13
49.596646,-2,9
49.634984,-3,15
49.673302,1,13
49.703065,4,8
49.741400,2,5
49.779781,0,0
49.809423,0,0
49.854306,0,0
49.892702,0,0
49.922349,0,0
49.960511,0,0
49.998904,0,0
50.028553,0,0
50.078626,0,0
50.117115,0,0
50.146885,0,0
50.186469,0,0
50.224830,0,0
50.252292,0,0
50.304783,0,0
50.343118,0,0
50.372759,0,0
50.410979,0,0
50.449295,0,0
50.478956,0,0
50.517794,0,0
50.556109,0,0
50.585872,0,0
50.636520,0,0
50.674943,0,0
50.704598,0,0
50.742763,0,2
50.781143,0,21
50.810803,-1,14
50.849655,-3,19
50.887996,-3,18
50.917658,3,11
50.955927,7,15
50.994296,6,15
51.024077,2,11
51.062277,1,9
51.114142,1,19
51.144045,2,13
51.182305,4,12
51.220703,8,15
51.250457,7,12
51.302437,3,20
51.340937,-4,12
51.370670,-4,13
51.408873,-4,15
51.447243,-3,13
51.476975,-2,7
51.515238,-4,13
51.553593,-7,15
51.583254,-4,10
51.621578,-1,13
51.668111,6,12
51.697792,7,7
51.736102,10,10
51.774496,2,10
51.804198,-2,9
51.844889,-6,12
51.897254,-3,14
51.927025,3,7
51.965338,5,11
52.003681,0,15
52.033347,-3,8
52.071703,-9,12
52.110026,-1,10
52.139767,6,7
52.192320,22,12
52.230788,6,10
52.260529,-1,6
52.298722,-4,6
52.337089,-1,9
52.366725,0,7
52.405010,3,9
52.443342,6,9
52.472995,4,8
52.511313,-1,9
52.549628,-11,11
52.579278,-11,8
52.617653,-14,8
52.672288,-2,12
52.702204,2,8
52.740415,2,9
52.778770,5,8
52.808407,5,4
52.846613,8,8
52.884994,9,5
52.914656,7,3
52.952956,5,4
52.991279,0,6
53.020957,0,5
53.059319,2,4
53.097571,2,9
53.127355,2,5
53.171197,5,6
53.225319,8,9
53.255035,-6,1
53.293257,-14,0
53.331681,-11,0
53.361342,-4,1
53.418631,-7,-4
53.457126,-9,-2
53.486919,-15,-3
53.525120,-10,-6
53.563504,4,-2
53.593193,6,0
53.631344,1,-1
53.669691,-5,0
53.699323,-3,0
53.737487,-3,4
53.775885,-3,3
53.805547,0,3
53.843787,5,12
53.891278,5,8
53.921017,5,8
53.959355,4,2
53.997610,3,1
54.027334,10,2
54.065689,14,0
54.120230,27,-1
54.149992,12,0
54.188282,15,1
54.226629,14,1
54.256322,9,0
54.306021,7,1
54.356282,-2,-2
54.386078,-6,-3
54.424290,-5,-1
54.468133,-4,1
54.497780,0,2
54.535954,5,5
54.574317,8,7
54.603988,3,6
54.642187,5,9
54.680567,5,4
54.710298,4,0
54.748463,-2,0
54.808174,1,-2
54.838106,0,0
54.876362,-4,1
54.914683,-8,0
54.944281,-6,0
54.982506,-14,-2
55.020921,-12,-1
55.050661,-7,-1
55.088813,-5,0
55.127163,0,2
55.156907,-1,0
55.195066,-9,2
55.233426,2,1
55.263155,2,0
55.301410,0,-3
55.351917,4,-14
55.381805,-2,-4
55.420073,-9,-5
55.458481,-5,-7
55.488252,-2,-8
55.526510,-4,-4
55.564876,-6,-2
55.594615,-3,0
55.632879,-3,0
55.671218,-4,3
55.700850,-6,2
55.740904,-8,6
55.797711,1,6
55.827624,8,7
55.865784,0,3
55.904110,-4,1
55.933868,-2,5
55.972159,-6,5
56.010492,-8,4
56.040148,-4,1
56.078402,-6,5
56.116711,-6,6
56.146358,-2,7
56.184607,0,1
56.222985,0,0
56.252721,0,0
56.304648,3,6
56.343088,1,2
56.372852,0,0
56.411020,0,0
56.449382,0,2
56.479121,3,2
56.517372,-1,5
56.555696,0,10
56.585344,0,4
56.623587,0,0
56.661897,0,0
56.691682,0,0
56.736268,0,0
56.774579,0,0
56.804084,0,0
56.856671,0,0
56.895039,0,0
56.924744,0,0
56.963015,0,0
57.001329,0,0
57.030957,0,0
57.069212,0,0
57.107584,0,0
57.137322,0,0
57.175581,0,0
57.228069,-8,11
57.259041,-12,13
57.311530,-15,25
57.349884,-3,17
57.379541,1,15
57.417893,-2,21
57.456275,-11,19
57.485997,-1,11
57.524297,5,21
57.562684,6,18
57.592397,0,11
57.630585,0,18
57.695090,10,24
57.724973,7,9
57.763330,1,3
57.801676,0,0
57.831398,0,0
57.869705,0,0
57.908075,0,0
57.953820,0,0
57.992134,0,0
58.030477,0,0
58.076438,0,0
58.114920,0,0
58.153298,0,0
58.183007,0,0
58.229236,0,0
58.267591,0,0
58.297206,0,0
58.335507,0,0
58.373881,0,0
58.403540,0,0
58.441807,0,0
58.480161,0,0
58.509902,0,0
58.548318,0,0
58.586578,0,0
58.616359,0,0
58.654659,0,0
58.704594,0,0
58.734344,0,0
58.772537,0,0
58.810926,0,1
58.852429,-6,16
58.890903,-5,18
58.929208,-2,21
58.959005,-2,13
58.997344,-2,18
59.035690,0,19
59.065456,-1,13
59.103708,-9,15
59.142074,-2,15
59.171812,0,10
59.210036,-4,15
59.248457,-1,17
59.278090,4,12
59.316301,12,18
59.354697,10,17
59.384351,7,16
59.422707,2,7
59.460983,0,0
59.490590,0,0
59.528921,0,0
59.574081,0,0
59.603745,0,0
59.656089,0,0
59.694543,0,0
59.722350,0,0
59.774905,0,0
59.813169,0,0
59.842927,0,0
59.886707,0,0
59.925025,0,0
59.954719,0,0
59.992997,0,0
60.031361,0,0
60.061017,0,0
60.099201,0,0
60.137536,0,0
60.167262,0,0
60.205449,0,0
60.243773,0,0
60.273386,0,0
60.311629,0,0
60.349950,0,0
60.379710,0,0
60.417918,0,0
60.469850,0,0
60.499732,0,1
60.538010,0,5
60.576371,1,7
60.606066,1,5
60.644222,5,9
