time,type,distance
48.003192,L,60.19
48.017682,R,59.53
48.052721,L,60.19
48.046887,U,106.32
48.066891,R,67.05
48.102254,L,60.13
48.115518,R,54.43
48.096610,U,106.45
48.146331,U,106.29
48.151781,L,60.27
48.164794,R,64.58
48.201382,L,62.74
48.196059,U,106.29
48.213788,R,64.51
48.250912,L,62.73
48.245413,U,93.66
48.262774,R,64.51
48.300440,L,62.71
48.295061,U,90.96
48.311762,R,64.64
48.344708,U,88.51
48.349965,L,62.78
48.360748,R,64.58
48.399495,L,62.71
48.409738,R,64.58
48.394360,U,85.83
48.449024,L,62.59
48.444086,U,85.88
48.458732,R,64.61
48.498546,L,62.71
48.507718,R,64.61
48.543462,U,83.38
48.548077,L,62.67
48.556706,R,64.56
48.543463,U,83.41
48.593187,U,83.32
48.597606,L,62.78
48.605622,R,62.04
48.647131,L,62.74
48.642840,U,80.77
48.654611,R,61.93
48.696658,L,62.66
48.692564,U,80.84
48.703525,R,59.65
48.746186,L,62.73
48.752510,R,59.55
48.742361,U,83.34
48.792081,U,83.29
48.795717,L,62.81
48.800992,R,41.96
48.845244,L,62.73
48.849978,R,41.96
48.841805,U,83.27
48.894773,L,62.80
48.899401,R,57.02
48.891603,U,85.99
48.944300,L,62.71
48.948389,R,57.01
48.941324,U,85.88
48.993609,L,55.12
48.997409,R,57.02
48.991078,U,85.88
49.043212,L,57.58
49.046325,R,54.47
49.040880,U,88.42
49.090599,U,88.39
49.092810,L,60.19
49.095312,R,54.43
49.142485,L,65.28
49.144296,R,54.57
49.140763,U,103.72
49.191035,L,31.33
49.192921,R,41.85
49.190489,U,103.72
49.241622,L,67.77
49.242199,R,51.96
49.240210,U,103.75
49.291152,L,67.81
49.291187,R,51.96
49.289937,U,103.72
49.339875,L,39.83
49.340174,R,52.00
49.339440,U,96.08
49.389481,L,42.37
49.388801,R,39.40
49.388793,U,83.31
49.439084,L,44.96
49.438151,R,52.00
49.438149,U,70.55
49.488763,L,50.01
49.487141,R,51.93
49.487504,U,57.84
49.538367,L,52.57
49.536131,R,51.93
49.536858,U,45.10
49.587974,L,55.07
49.585122,R,51.93
49.587983,U,93.55
49.634114,R,52.00
49.637575,L,57.66
49.637118,U,73.22
49.683105,R,51.93
49.687254,L,62.83
49.687211,U,86.04
49.736488,L,52.67
49.732095,R,51.93
49.735821,U,47.66
49.785719,L,42.42
49.781087,R,52.00
49.786356,U,75.67
49.835913,L,65.25
49.830068,R,51.93
49.835999,U,73.18
49.884459,L,31.42
49.879059,R,51.91
49.885644,U,70.71
49.934974,L,65.25
49.928049,R,51.93
49.935362,U,70.64
49.984503,L,65.28
49.977035,R,51.94
49.985007,U,68.08
50.026023,R,51.93
50.033888,L,60.10
50.075007,R,51.96
