time,type,distance
92.143324,L,329.53
92.119458,R,99.81
92.145099,U,134.37
92.168442,R,99.62
92.191307,L,276.08
92.217504,R,102.26
92.194819,U,134.23
92.241061,L,273.51
92.244604,U,136.91
92.266497,R,102.44
92.340175,L,276.07
92.315482,R,102.26
92.294323,U,137.08
92.340252,L,278.73
92.364400,R,99.76
92.344040,U,136.77
92.389929,L,283.69
92.393781,U,136.79
92.413395,R,99.62
92.439601,L,288.89
92.462385,R,99.76
92.443426,U,134.54
92.489206,L,291.31
92.493141,U,134.51
92.511377,R,99.88
92.542853,U,134.40
92.588281,L,291.50
92.560370,R,99.62
92.585265,L,187.25
92.592603,U,134.23
92.609359,R,99.62
92.634795,L,187.13
92.642313,U,134.39
92.687629,L,301.56
92.658378,R,99.69
92.692028,U,134.39
92.707366,R,99.64
92.737225,L,304.11
92.756349,R,99.76
92.741748,U,134.27
92.786900,L,309.11
92.791490,U,134.39
92.805345,R,99.90
92.886017,L,311.61
92.854334,R,99.74
92.890915,U,134.28
92.935615,L,314.31
92.903328,R,99.86
92.890923,U,134.54
92.935689,L,316.85
92.952318,R,99.74
92.940636,U,134.39
92.985438,L,324.38
92.990419,U,136.93
93.001313,R,99.65
93.034883,L,321.93
93.040143,U,136.75
93.050306,R,99.83
93.084408,L,321.86
93.099295,R,99.78
93.089855,U,136.93
93.133859,L,319.39
93.148288,R,99.74
93.139567,U,136.96
93.232908,L,319.28
93.197280,R,99.74
93.189381,U,139.47
93.232911,L,319.39
93.246296,R,99.76
93.239100,U,139.40
93.282439,L,319.32
93.288814,U,139.42
93.295294,R,99.81
93.331889,L,316.73
93.344280,R,99.74
93.338602,U,142.13
93.381411,L,316.85
93.388311,U,141.92
93.393274,R,99.86
93.430865,L,314.24
93.442264,R,99.74
93.438020,U,142.04
93.480391,L,314.22
93.491259,R,99.62
93.487737,U,142.03
93.529916,L,314.24
93.538577,R,41.92
93.537478,U,142.01
93.579368,L,311.68
93.589243,R,99.76
93.587194,U,142.03
93.678345,L,309.18
93.686648,R,79.68
93.686582,U,139.49
93.726329,L,255.75
93.736006,R,92.19
93.736006,U,129.29
93.775857,L,255.80
93.785217,R,99.83
93.785357,U,116.42
93.823837,L,202.38
93.834206,R,99.76
93.834704,U,103.85
93.873359,L,202.49
93.883198,R,99.84
93.885522,U,142.03
93.922880,L,202.57
93.932186,R,99.76
93.935167,U,139.57
93.972407,L,202.45
93.981177,R,99.74
93.982736,U,65.49
94.021932,L,202.38
94.030165,R,99.74
94.034669,U,141.89
94.071530,L,205.05
94.079165,R,99.72
94.084384,U,142.03
94.121058,L,204.89
94.128175,R,99.74
94.134102,U,142.11
94.170583,L,204.87
94.177164,R,99.72
94.183821,U,142.18
94.220105,L,204.92
94.226158,R,99.74
94.233532,U,142.06
94.272422,L,301.50
94.275151,R,99.74
94.283279,U,142.06
94.321945,L,301.49
94.324146,R,99.64
94.333075,U,144.62
94.371397,L,298.93
94.373135,R,99.76
94.382793,U,144.62
94.420919,L,298.98
94.422131,R,99.83
94.432515,U,144.60
94.470145,L,288.80
94.471120,R,99.65
94.482234,U,144.62
94.520109,R,99.74
94.519890,L,296.41
94.531958,U,144.51
94.569413,L,296.42
94.569101,R,99.74
94.581679,U,144.55
94.617689,L,253.22
94.618089,R,99.74
94.631479,U,147.23
94.667285,L,255.76
94.667080,R,99.64
94.681196,U,147.14
94.711445,L,70.26
94.716066,R,99.74
94.730919,U,147.17
94.761041,L,72.82
94.765058,R,99.76
94.780643,U,147.07
94.810713,L,77.92
94.814049,R,99.69
94.830364,U,147.17
94.865309,L,253.26
94.862963,R,97.34
94.911942,R,97.24
94.880093,U,147.19
94.914834,L,253.43
94.929813,U,147.14
94.960929,R,97.24
94.965531,L,293.92
94.979532,U,147.12
95.009168,L,90.60
95.009919,R,97.24
95.058906,R,97.22
95.029323,U,149.65
95.064503,L,291.55
95.079042,U,149.77
95.108438,L,98.32
95.107927,R,97.13
95.128762,U,149.78
95.162447,L,253.33
95.156913,R,97.13
95.178483,U,149.70
95.207709,L,105.93
95.205901,R,97.17
95.228277,U,152.17
95.257309,L,108.43
95.254887,R,97.24
95.277991,U,152.26
95.306980,L,113.55
95.303877,R,97.22
95.352935,R,99.72
95.327787,U,154.73
95.356581,L,116.17
95.377504,U,154.80
95.406253,L,121.19
95.401852,R,97.15
95.450912,R,99.74
95.427152,U,152.24
95.509051,L,250.82
95.499828,R,97.25
95.476865,U,152.26
95.505450,L,126.37
95.526663,U,154.74
95.555119,L,131.21
95.548889,R,99.72
95.576235,U,149.73
95.604712,L,133.87
95.597880,R,99.64
95.625957,U,149.77
95.646872,R,99.67
95.654311,L,136.48
