time,type,distance
68.960299,L,18.66
68.998116,R,72.23
68.980848,U,142.06
69.009825,L,18.68
69.030567,U,141.97
69.047175,R,74.56
69.059348,L,18.63
69.080273,U,142.06
69.096164,R,74.55
69.108870,L,18.75
69.129986,U,142.13
69.145157,R,74.55
69.158392,L,18.70
69.179695,U,142.01
69.207918,L,18.71
69.194151,R,74.58
69.229409,U,141.99
69.243143,R,74.63
69.257445,L,18.63
69.279121,U,142.01
69.292134,R,74.56
69.306967,L,18.65
69.328764,U,139.52
69.341128,R,74.56
69.356492,L,18.70
69.378480,U,139.49
69.390122,R,74.56
69.406015,L,18.66
69.428189,U,139.47
69.439116,R,74.56
69.455539,L,18.63
69.477905,U,139.49
69.488110,R,74.56
69.505061,L,18.65
69.527617,U,139.52
69.537102,R,74.53
69.554585,L,18.59
69.577332,U,139.50
69.586094,R,74.55
69.604109,L,18.68
69.627045,U,139.52
69.635088,R,74.56
69.653632,L,18.70
69.676788,U,139.49
69.684085,R,74.65
69.703150,L,18.65
69.726500,U,139.50
69.733080,R,74.70
69.752674,L,18.58
69.776216,U,139.54
69.782075,R,74.65
69.802194,L,18.68
69.825932,U,139.54
69.831069,R,74.63
69.851717,L,18.63
69.880060,R,74.56
69.875644,U,139.38
69.901245,L,18.73
69.929050,R,74.55
69.925355,U,139.45
69.950764,L,18.70
69.978043,R,74.60
69.975096,U,139.40
70.000286,L,18.66
70.027037,R,74.62
70.024812,U,139.45
70.049813,L,18.71
70.076033,R,74.58
70.074527,U,139.40
70.099332,L,18.61
70.124078,R,41.92
70.124021,U,131.76
70.148854,L,18.65
70.174015,R,74.60
70.173958,U,139.40
70.198377,L,18.70
70.223007,R,74.58
70.223676,U,139.43
70.247898,L,18.65
70.272002,R,74.60
70.273394,U,139.40
70.297416,L,18.61
70.321000,R,74.56
70.321411,U,80.80
70.346937,L,18.65
70.369995,R,74.55
70.372897,U,142.04
70.396464,L,18.63
70.419067,R,77.12
70.422615,U,142.01
70.445983,L,18.61
70.468059,R,77.05
70.472329,U,141.97
70.495505,L,18.63
70.517049,R,77.05
70.522039,U,142.06
70.545025,L,18.59
70.566046,R,77.03
70.571781,U,142.11
70.594545,L,18.68
70.615036,R,77.03
70.621497,U,142.15
70.644066,L,18.58
70.664028,R,77.03
70.671214,U,142.16
70.693584,L,18.59
70.713024,R,77.03
70.720924,U,142.13
70.743107,L,18.70
70.762018,R,77.03
70.770642,U,142.15
70.792630,L,18.70
70.811011,R,77.03
70.820361,U,142.18
70.842157,L,18.63
70.860003,R,77.03
70.870076,U,142.16
70.891678,L,18.73
70.908997,R,77.03
70.919792,U,142.16
70.941202,L,18.70
70.957988,R,77.05
70.969530,U,142.13
70.990725,L,18.61
71.006980,R,77.05
71.019269,U,142.04
71.040251,L,18.61
71.055972,R,77.09
71.068985,U,142.03
71.089771,L,18.66
71.104963,R,77.17
71.118726,U,142.08
71.139291,L,18.59
71.153960,R,77.12
71.168441,U,142.06
71.188813,L,18.59
71.202950,R,77.10
71.218159,U,142.06
71.238336,L,18.59
71.251947,R,77.21
71.267974,U,144.62
71.287861,L,18.59
71.300937,R,77.14
71.317693,U,144.60
71.337384,L,18.58
71.349931,R,77.19
71.367438,U,144.62
71.386907,L,18.59
71.398922,R,77.17
71.417184,U,144.57
71.436428,L,18.58
71.447917,R,77.07
71.466902,U,144.53
71.485950,L,18.58
71.496910,R,77.10
71.516543,U,142.09
71.535473,L,18.59
71.545900,R,77.12
71.566258,U,142.06
71.584998,L,18.65
71.594898,R,77.14
71.616052,U,144.50
71.634521,L,18.70
71.643965,R,79.70
71.665767,U,144.63
71.684042,L,18.65
71.692956,R,79.71
71.715484,U,144.53
71.733569,L,18.65
71.741949,R,79.64
71.765202,U,144.51
71.783093,L,18.71
71.790867,R,77.12
71.814924,U,144.60
71.832616,L,18.65
71.839860,R,77.17
71.864713,U,147.14
71.882138,L,18.71
71.888855,R,77.10
71.914432,U,147.14
71.931665,L,18.65
71.937849,R,77.14
71.964147,U,147.14
71.981187,L,18.70
71.986839,R,77.19
72.013866,U,147.17
72.030709,L,18.58
72.035830,R,77.14
72.063576,U,147.02
72.080232,L,18.66
72.084823,R,77.14
72.113291,U,147.07
72.129751,L,18.68
72.133811,R,77.21
72.163009,U,147.12
72.179274,L,18.65
72.182797,R,77.16
72.212798,U,149.71
72.228797,L,18.59
72.231786,R,77.16
72.262512,U,149.71
72.278314,L,18.61
72.280777,R,77.10
72.312157,U,147.12
72.327836,L,18.59
72.329763,R,77.09
72.361875,U,147.12
72.377357,L,18.63
72.378820,R,79.66
72.411598,U,147.19
72.426878,L,18.63
72.427807,R,79.63
72.461317,U,147.11
72.476394,L,18.59
72.476796,R,79.63
72.510963,U,144.62
72.525913,L,18.66
72.525784,R,79.66
72.560679,U,144.58
72.575432,L,18.59
72.574844,R,82.10
72.610392,U,144.55
72.624949,L,18.61
72.623830,R,82.13
72.660033,U,141.97
72.674466,L,18.59
72.672819,R,82.13
72.709755,U,142.13
72.723987,L,18.56
72.721837,R,82.08
72.759471,U,142.03
72.770901,R,84.67
72.773506,L,18.66
72.809264,U,144.62
72.819888,R,84.62
72.823029,L,18.68
72.858982,U,144.58
72.868872,R,84.60
72.872552,L,18.70
72.908701,U,144.57
72.917861,R,84.62
72.922074,L,18.66
72.958492,U,147.11
72.966853,R,84.69
72.971596,L,18.70
73.008205,U,147.14
73.015838,R,84.67
73.021115,L,18.65
73.057994,U,149.70
73.064752,R,82.20
73.070635,L,18.71
73.107714,U,149.71
73.113742,R,82.15
73.120153,L,18.68
73.157503,U,152.24
73.162732,R,82.10
73.169675,L,18.61
73.207218,U,152.24
