time,deltaX,deltaY
36.074663,100,14
36.104322,0,1
36.142571,0,1
36.180874,0,2
36.210471,0,1
36.248706,0,0
36.287001,0,0
36.319054,0,-2
36.357333,1,-3
36.395632,1,-2
36.425227,0,0
36.463439,0,0
36.531009,1,-3
36.560726,1,-1
36.598977,-1,0
36.637261,0,0
36.666830,0,-3
36.705076,0,-2
36.743415,0,0
36.772988,0,2
36.822998,0,4
36.861415,0,8
36.891005,0,5
36.939618,0,3
36.977887,-1,-1
37.007476,0,-5
37.045735,0,-7
37.084043,0,-11
37.113620,0,-7
37.151884,0,-8
37.172224,0,-2
37.215016,0,0
37.244566,0,1
37.282791,0,2
37.321064,0,4
37.350616,0,3
37.388848,0,1
37.427112,0,0
37.456656,0,0
37.494862,0,0
37.533116,0,-2
37.574869,0,0
37.613214,0,2
37.651514,0,0
37.681056,0,0
37.743631,0,0
37.782030,0,-2
37.811581,0,0
37.849838,0,0
37.903773,0,0
37.933339,0,1
37.971588,0,0
38.009896,0,0
38.039480,0,0
38.077682,0,0
38.115971,0,0
38.145501,0,0
38.183756,0,1
38.222035,0,1
38.251585,0,0
38.289839,0,-1
38.328121,1,-2
38.357227,0,0
38.389473,0,0
38.427782,0,0
38.466046,0,0
38.497991,0,-1
38.536214,0,-1
38.592685,0,0
38.622278,0,0
38.660499,0,0
38.698819,0,-1
38.728554,0,0
38.780903,0,0
38.819259,0,0
38.848855,0,0
38.887189,0,0
38.925498,0,-1
38.955065,0,0
38.975631,0,0
39.034555,0,0
39.072931,0,0
39.102536,0,0
39.140779,0,0
39.182553,0,0
39.213668,0,0
39.266169,0,0
39.304469,0,0
39.333981,0,0
39.372188,0,0
39.410476,0,0
39.439990,0,0
39.478193,0,0
39.516458,0,0
39.546026,0,0
39.584248,0,0
39.622512,0,0
39.652052,0,0
39.717016,0,0
39.755418,0,0
39.784937,0,0
39.823176,0,0
39.872234,0,-1
39.901751,0,0
39.939968,0,0
39.994323,0,0
40.023938,0,0
40.062162,0,0
40.100416,0,0
40.129982,0,0
40.168201,0,0
40.206481,0,-1
40.236000,0,0
40.274204,0,0
40.312486,0,0
40.342051,0,0
40.380246,0,-1
40.418502,0,0
40.448075,0,0
40.468608,0,0
40.508745,0,0
40.547008,0,0
40.576539,0,0
40.614773,0,0
40.659664,0,0
40.689167,0,0
40.727362,0,0
40.777341,0,0
40.806969,0,0
40.845190,0,0
40.883469,0,-1
40.913009,0,0
40.951206,0,0
40.989445,0,0
41.020395,0,0
41.072890,0,0
41.111184,0,0
41.140735,0,0
41.161124,0,0
41.202856,0,0
41.241117,0,0
41.270645,0,0
41.321080,0,0
41.359456,0,0
41.389040,0,0
41.427248,0,0
41.465520,0,0
41.495076,0,0
41.533336,0,0
41.585042,0,0
41.614717,0,0
41.652971,0,0
41.691227,0,0
41.722433,0,0
41.760695,0,0
41.798995,0,0
41.828532,0,0
41.866781,0,0
41.905027,0,0
41.934532,0,0
41.999256,0,1
42.038189,0,0
42.067752,0,1
42.106079,0,0
42.144412,0,0
42.173954,0,0
42.212187,0,1
42.250474,0,0
42.279981,0,0
42.318181,0,0
42.370525,0,0
42.400242,0,0
42.438446,0,0
42.476699,0,0
42.506240,0,0
42.544441,0,0
42.582711,0,0
42.604151,0,0
42.656524,0,0
42.694817,0,0
42.724369,0,0
42.746776,0,0
42.788783,0,0
42.827035,0,0
42.856539,0,0
42.894779,0,0
42.933018,0,0
42.962538,0,0
43.000781,0,0
43.039023,0,0
43.068563,0,0
43.106780,0,0
43.160501,0,-1
43.190192,0,-1
43.228442,0,0
43.266723,0,0
43.296268,0,0
43.334484,0,0
43.372779,0,0
43.402339,0,0
43.440568,0,0
43.478822,0,0
43.500345,0,0
43.552657,0,0
43.574521,0,0
43.612939,0,0
43.642443,0,0
43.681382,0,0
43.719628,0,-1
43.749198,0,0
43.787444,0,0
43.825677,0,0
43.855358,0,0
43.911760,0,0
43.950148,0,0
43.979689,0,0
44.017901,0,0
44.056195,0,0
44.085801,0,0
44.124051,0,0
44.162304,0,-1
44.191886,0,0
44.230119,0,0
44.268409,0,0
44.297969,0,0
44.336203,0,0
44.401184,0,0
44.430979,0,0
44.469224,0,0
44.507495,0,0
44.537018,0,0
44.575194,0,0
44.613440,0,0
44.643028,0,0
44.694752,0,0
44.733112,0,0
44.762731,0,0
44.800971,0,0
44.839222,0,0
44.868778,0,0
44.906997,0,0
44.945265,0,0
44.974784,0,0
45.012980,0,0
45.051230,0,0
45.080783,0,0
45.118980,0,-1
45.157231,0,0
45.186813,0,0
45.225041,0,0
45.248384,0,0
45.286787,0,0
45.316383,0,0
45.354616,0,0
45.392874,0,0
45.439405,0,0
45.477758,0,0
45.516090,0,0
45.545662,0,0
45.583895,0,0
45.622168,0,0
45.651737,0,0
45.689978,0,0
45.728254,0,0
45.757776,0,0
45.795975,0,0
45.834230,0,0
45.863786,0,0
45.901979,0,0
45.940232,0,0
45.969801,0,0
46.008026,0,0
46.030618,0,0
46.073275,0,0
46.102840,0,0
46.141081,0,0
46.179333,0,0
46.222312,0,0
46.260628,0,0
46.298960,0,0
46.328525,0,0
46.366781,0,0
46.405062,0,0
46.434641,0,0
46.472886,0,0
46.511202,0,0
46.540782,0,0
46.578990,0,0
46.617252,0,0
46.646828,0,0
46.698786,0,0
46.737116,0,0
46.766655,0,0
46.804859,0,0
46.863905,0,0
46.893530,0,0
46.931785,0,0
46.970094,0,0
46.999628,0,0
47.053352,0,0
47.091647,0,0
47.121219,0,0
47.159448,0,0
47.197729,0,0
47.227319,0,0
47.265575,0,0
47.303873,0,0
47.333381,0,0
47.371591,0,0
47.409893,0,0
47.439476,0,0
47.477678,0,0
47.515966,0,0
47.545525,0,0
47.583753,0,0
47.648555,0,0
47.678348,0,0
47.716600,0,0
47.754881,0,0
47.786065,0,0
47.806658,0,0
47.846744,0,0
47.885024,0,0
47.914566,0,0
47.952795,0,0
47.991084,0,0
48.020611,0,0
48.058846,0,0
48.097143,0,0
48.126679,0,0
48.164915,0,0
48.203212,0,0
48.232758,0,0
48.270978,0,0
48.309247,0,0
48.338789,0,0
48.377009,0,0
48.436784,0,0
48.466426,0,0
48.504654,0,0
48.559137,0,0
48.588807,0,0
48.627055,0,0
48.665326,0,0
48.694840,0,0
48.738927,0,0
48.777208,0,0
48.806752,0,0
48.844975,0,-1
48.883233,0,0
48.912779,0,0
48.950997,0,0
48.989235,0,0
49.018755,0,0
49.056983,0,0
49.095382,0,0
49.124934,0,0
49.163153,0,0
49.183604,0,0
49.223867,0,0
49.253373,0,0
49.291565,0,-1
49.341648,0,0
49.371340,0,0
49.409578,0,0
49.447830,0,0
49.469331,0,0
49.489647,0,0
49.532128,0,0
49.570411,0,0
49.599985,0,0
49.638209,0,0
49.676493,0,-1
49.703944,0,0
49.756400,0,0
49.794696,0,0
49.824220,0,0
49.862425,0,0
49.913265,0,0
49.942811,0,0
49.981043,0,0
50.019319,0,1
50.048884,0,0
50.087083,0,0
50.137612,0,0
50.167392,0,0
50.205679,0,0
50.243982,0,0
50.290688,0,0
50.329016,0,0
50.367325,0,0
50.396870,0,0
50.435070,0,-1
50.473346,0,0
50.502937,0,0
50.541183,0,0
50.561264,0,0
50.601995,0,0
50.631558,0,0
50.683588,0,0
50.721929,0,0
50.751523,0,0
50.789781,0,0
50.828047,0,0
50.857588,0,0
50.877728,0,0
50.920819,0,0
50.987256,0,-1
51.016872,0,0
51.055123,0,0
51.094632,0,0
51.124148,0,0
51.162357,0,0
51.200623,0,0
51.230179,0,0
51.268383,0,0
51.306626,0,0
51.336329,0,0
51.374598,0,0
51.412890,0,0
51.442509,0,-1
51.480785,0,0
51.519079,0,1
51.548776,0,1
51.616199,0,0
51.654553,0,0
51.684123,0,0
51.722375,0,0
51.742448,0,0
51.799467,0,0
51.829165,0,0
51.867412,0,0
51.905689,0,0
51.935232,0,0
51.989415,0,0
52.027793,0,-1
52.057394,0,0
52.110604,0,0
52.148861,0,0
52.178529,0,0
52.216801,0,0
52.280442,0,0
52.310125,0,1
52.348384,0,0
52.386649,0,0
52.416207,0,0
52.454439,0,0
52.492708,0,0
52.522241,0,0
52.560468,0,0
52.610317,0,0
52.639945,0,1
52.678189,0,0
52.716445,0,0
52.746002,0,0
52.813181,0,0
52.851554,0,0
52.881143,0,0
52.919374,0,0
52.965253,0,0
52.994825,0,0
53.033046,0,0
53.071299,0,0
53.100847,0,0
53.139068,0,0
53.177361,0,0
53.206879,0,0
53.245065,0,0
53.283325,0,0
53.312888,0,0
53.363082,0,0
53.401428,0,0
53.431036,0,0
53.469250,0,0
53.507514,0,0
53.537049,0,0
53.557562,0,0
53.598361,0,0
53.636624,0,0
53.666181,0,0
53.704379,0,0
53.752029,0,0
53.781600,0,0
53.819821,0,1
53.858103,0,0
53.887671,0,-1
53.925901,0,0
53.964178,0,0
53.993742,0,0
54.031967,0,0
54.070229,0,0
54.099771,0,0
54.151456,0,0
54.189820,0,0
54.219371,0,0
54.271379,0,0
54.309731,0,0
54.339350,0,0
54.391439,0,0
54.441248,0,0
54.470769,0,0
54.523258,0,0
54.561560,0,0
54.591178,0,0
54.629428,0,0
54.667707,0,0
54.697308,0,0
54.735574,0,0
54.773846,0,0
54.803387,0,0
54.841619,0,0
54.879924,0,0
54.909465,0,0
54.961848,0,0
55.000211,0,0
55.029831,0,0
55.068046,0,0
55.137041,0,0
55.166698,0,0
55.204927,0,0
55.243191,0,0
55.272755,0,0
55.310995,0,0
55.349273,0,0
55.378802,0,0
55.417015,0,0
55.455416,0,0
55.485037,0,0
55.523242,0,0
55.561509,0,0
55.591113,0,0
55.629379,0,0
55.667662,0,1
55.697249,0,0
55.751903,0,0
55.790249,0,0
55.819874,0,0
55.858118,0,0
55.924659,0,0
55.954337,0,0
55.992587,0,0
56.030893,0,0
56.060485,0,0
56.098741,0,0
56.137036,0,0
56.166584,0,0
56.204809,0,0
56.243199,0,0
56.272792,0,0
56.311001,0,0
56.349271,0,0
56.378972,0,0
56.417207,0,0
56.455455,0,0
56.501165,0,0
56.539474,0,0
56.577817,0,0
56.607393,0,0
56.633036,0,0
56.672610,0,0
56.710911,0,0
56.740446,0,0
56.778683,0,0
56.816955,0,0
56.847073,0,0
56.885295,0,0
56.923583,0,0
56.953172,0,0
56.991490,0,0
57.029822,0,0
57.059354,0,0
57.097587,0,0
57.135881,0,0
57.165414,0,0
57.203603,0,0
57.241863,0,0
57.283264,0,0
57.321586,0,0
57.359917,0,0
57.389477,0,0
57.427704,0,0
57.466005,0,0
57.493489,0,0
57.545882,0,-1
57.603190,0,0
57.632817,0,0
57.671051,0,0
57.709306,0,0
57.741865,0,0
57.780083,0,0
57.818333,0,0
57.847918,0,0
57.886171,0,0
57.924440,0,0
57.953989,0,0
57.992211,0,0
58.030482,0,0
58.059433,0,0
58.111901,0,0
58.150201,0,0
58.179759,0,0
58.217978,0,0
58.244938,0,0
58.283381,0,0
58.312945,0,0
58.351184,0,0
58.389448,0,0
58.419018,0,0
58.457807,0,0
58.496074,0,0
58.525618,0,0
58.563872,0,0
58.602130,0,0
58.631680,0,0
58.669917,0,0
58.708171,0,0
58.738268,0,0
58.776519,0,0
58.814787,0,0
58.844153,0,0
58.896626,0,0
58.934933,0,0
58.964454,0,0
59.002667,0,0
59.040938,0,0
59.070481,0,0
