time,deltaX,deltaY
74.615774,0,-1
74.654058,0,0
74.683613,0,2
74.726729,0,3
74.764994,0,1
74.808337,0,2
74.846711,0,1
74.884993,0,4
74.914561,0,1
74.952853,0,0
74.991107,1,0
75.020678,2,0
75.058975,4,0
75.097223,4,0
75.126724,3,0
75.179230,7,-3
75.217509,8,2
75.247066,5,1
75.285346,11,0
75.323610,11,-1
75.353205,6,0
75.391471,11,1
75.429777,12,-2
75.459353,8,-2
75.497637,12,-3
75.535926,12,-2
75.565518,8,-2
75.603827,13,0
75.642095,12,0
75.671674,11,-1
75.716602,14,-5
75.754878,16,-2
75.784472,13,-2
75.822748,15,0
75.875868,24,1
75.907068,16,4
75.959578,25,4
75.997856,20,3
76.027403,12,1
76.065676,14,0
76.119666,18,0
76.149312,11,4
76.187617,11,4
76.225912,10,2
76.255523,10,-1
76.294394,14,2
76.332669,12,2
76.362235,9,1
76.400519,15,-1
76.438812,15,-2
76.468405,11,-3
76.506697,15,-5
76.544989,19,-1
76.574565,13,1
76.624636,29,2
76.686610,37,-2
76.726706,22,4
76.779229,29,9
76.817530,18,2
76.847101,12,-2
76.885409,15,-9
76.923697,16,-12
76.953273,11,-6
76.991575,12,-2
77.029870,14,0
77.059477,12,2
77.097757,13,0
77.136025,14,-1
77.165577,10,-3
77.203846,10,2
77.242130,13,4
77.271681,9,4
77.309968,11,0
77.348217,10,-2
77.377786,9,-2
77.416078,11,-4
77.469614,19,6
77.499345,11,6
77.537642,20,8
77.575933,21,5
77.605531,15,3
77.643825,23,-1
77.682118,24,-6
77.711737,15,-7
77.750033,20,-6
77.788337,20,0
77.817938,15,2
77.871133,25,12
77.909535,20,11
77.939173,16,6
77.977465,15,-1
78.015784,12,-8
78.045405,13,-11
78.083711,12,-8
78.122002,9,-2
78.151583,11,3
78.192366,13,6
78.242679,19,12
78.272380,11,7
78.310666,16,10
78.348976,14,1
78.378530,12,0
78.416821,16,-1
78.455102,15,-1
78.484692,12,0
78.522982,17,-1
78.561261,18,0
78.590858,14,4
78.629133,21,10
78.667421,19,8
78.697014,20,6
78.735288,15,4
78.773594,19,1
78.803179,13,-3
78.858637,21,-9
78.897011,19,-5
78.926622,15,0
78.978507,25,15
79.016884,19,14
79.046527,14,7
79.084824,19,8
79.123123,21,6
79.152731,13,5
79.191019,12,5
79.229291,13,3
79.258879,5,2
79.297158,7,1
79.335425,1,0
79.365015,-1,0
79.403295,-4,-1
79.441596,-2,1
79.471189,0,1
79.512432,-2,2
79.550685,0,-2
79.580233,0,-2
79.618524,0,-4
79.656817,1,-10
79.686392,0,-4
79.738462,7,-12
79.776865,1,-2
79.806464,2,0
79.844729,1,0
79.883001,10,5
79.912574,1,1
79.950850,3,2
79.989133,0,1
80.032700,1,0
80.071090,8,1
80.109392,1,0
80.138981,2,4
80.177261,0,1
80.215538,2,0
80.245115,1,3
80.283417,1,5
80.321695,4,0
80.351286,8,0
80.389610,8,3
80.442630,13,2
80.472344,2,-2
80.510643,7,-12
80.548948,0,-13
80.578545,0,-8
80.616833,-1,-8
80.655103,-2,-3
80.684669,-2,-1
80.722957,-1,0
80.761231,0,0
80.790809,0,2
80.833237,0,2
80.871503,-3,4
80.901068,-1,2
80.939352,-8,1
80.977635,-2,-7
81.007225,-1,-6
81.045498,0,-10
81.083818,1,-10
81.129237,2,0
81.183282,1,8
81.221609,1,2
81.251182,1,3
81.289461,3,-2
81.327746,-3,-11
81.357370,0,-8
81.395655,0,-16
81.433984,-3,0
81.463567,-1,0
81.501886,-6,3
81.540199,-5,1
81.569815,-4,2
81.608114,-4,4
81.646419,-6,9
81.676052,0,12
81.714364,-6,13
81.752666,-6,20
81.782281,-5,15
81.839120,0,20
81.877506,-8,2
81.907127,-3,-4
81.945424,-6,-15
81.983759,-11,-21
82.013378,-10,-16
82.051667,-7,-11
82.089995,-6,-1
82.119580,-3,7
82.157893,0,16
82.196207,0,10
82.225794,0,5
82.264056,1,0
82.302357,0,-5
82.348297,-3,-10
82.386708,-4,-9
82.425021,-4,-14
82.454614,-2,-6
82.504658,-4,-13
82.543074,-1,-3
82.572715,-1,0
82.611012,-5,11
82.649320,-7,6
82.678919,-8,0
82.717217,-10,-5
82.755532,-11,-6
82.785118,-6,-1
82.823412,-11,-2
82.861706,-8,-4
82.891266,-6,-3
82.929555,-4,2
82.967869,-6,4
82.997476,-3,7
83.035774,0,4
83.074060,-3,5
83.103663,0,2
83.143191,-1,-1
83.193378,-4,-7
83.223113,-7,-10
83.261435,-7,-17
83.299773,-7,-10
83.329359,-2,-2
83.367646,-3,7
83.405960,-3,9
83.435544,-5,4
83.473839,-7,0
83.512156,-9,-2
83.541753,-5,1
83.580040,-5,0
83.630405,-6,6
83.660132,-2,8
83.698433,-1,13
83.736746,0,9
83.766342,0,8
83.804630,1,4
83.842905,-2,-2
83.870578,-3,-3
83.923095,-7,-1
83.961399,-5,-2
83.990951,-3,0
84.029230,-4,5
84.067519,-3,1
84.097070,-2,-1
84.135378,-3,-6
84.173662,-4,-2
84.203225,-1,0
84.241498,-4,6
84.279812,-4,3
84.309379,-2,2
84.347653,-4,-4
84.385957,-6,-6
84.415539,-5,-5
84.477426,-16,-6
84.515825,-8,-4
84.545422,-5,-5
84.597488,-10,-9
84.635892,-8,-1
84.665519,-4,2
84.703831,-9,10
84.742143,-8,11
84.771747,-5,5
84.810033,-9,1
84.848320,-7,0
84.877920,-4,0
84.916220,-6,4
84.954503,-8,6
84.984070,-4,3
