time,deltaX,deltaY
22.307639,0,0
22.337272,0,0
22.375581,0,0
22.413894,0,0
22.443503,0,0
22.486172,0,0
22.524465,0,0
22.554034,0,0
22.592287,0,0
22.630619,0,0
22.660230,0,0
22.698495,0,0
22.736820,0,0
22.766415,0,0
22.815582,0,0
22.853888,0,0
22.883481,0,0
22.945329,0,0
22.983720,0,0
23.013344,0,0
23.051613,0,0
23.089927,0,0
23.119529,0,0
23.157811,0,0
23.196122,0,0
23.225722,0,0
23.263993,0,0
23.302287,0,0
23.331848,0,0
23.370104,0,0
23.408414,0,0
23.437981,0,0
23.476222,0,0
23.514511,0,0
23.544103,0,0
23.594508,0,0
23.632907,0,0
23.662513,0,0
23.700804,0,0
23.739113,0,0
23.768680,0,0
23.806929,0,0
23.845228,0,0
23.874794,0,0
23.913035,0,0
23.951319,0,0
23.980892,0,0
24.019155,0,0
24.057447,0,0
24.086999,0,0
24.140544,0,0
24.178947,0,0
24.222209,0,0
24.260595,0,0
24.298948,0,0
24.328522,0,0
24.366801,0,0
24.405095,0,0
24.434622,0,0
24.472894,0,0
24.511206,0,0
24.540753,0,0
24.579011,0,0
24.617297,0,0
24.646825,0,0
24.685080,0,0
24.723394,0,0
24.752945,0,0
24.796575,0,0
24.834830,0,0
24.867177,0,0
24.919740,0,0
24.958042,0,0
24.987584,0,0
25.025852,0,0
25.064164,0,0
25.093730,0,0
25.132004,0,0
25.170286,0,0
25.199860,0,0
25.252210,0,0
25.290623,0,0
25.320148,0,0
25.358405,0,0
25.396683,0,0
25.426234,0,0
25.464490,0,0
25.502787,0,0
25.533005,0,0
25.585554,0,0
25.623858,0,0
25.653384,0,0
25.691629,0,0
25.729938,0,0
25.759522,0,0
25.797798,0,0
25.836090,0,0
25.865653,0,0
25.903901,0,0
25.942197,0,0
25.971744,0,0
26.010005,0,0
26.048288,0,0
26.077882,0,0
26.117382,0,0
26.171342,0,0
26.201022,0,0
26.239285,0,0
26.277616,0,0
26.307180,0,0
26.345434,0,0
26.383731,0,0
26.413273,0,0
26.451517,0,0
26.489831,0,0
26.521157,0,0
26.573661,0,0
26.611952,0,0
26.641526,0,0
26.679810,0,0
26.718123,0,0
26.747736,0,0
26.786012,0,0
26.840396,0,0
26.870116,0,0
26.908399,0,0
26.946708,0,0
26.976277,0,0
27.024649,0,0
27.062939,0,0
27.092531,0,0
27.130808,0,0
27.169111,0,0
27.198694,0,0
27.236954,0,0
27.275255,0,0
27.304829,0,0
27.343092,0,0
27.397689,0,0
27.427376,0,0
27.465633,0,0
27.515695,0,0
27.545384,0,0
27.583661,0,0
27.621979,0,0
27.651548,0,0
27.689807,0,0
27.728100,0,0
27.757680,0,0
27.795954,0,0
27.834256,0,0
27.863831,0,0
27.902093,0,0
27.940417,0,0
27.970008,0,0
28.015592,0,0
28.053914,0,0
28.083503,0,0
28.121803,0,0
28.171986,0,0
28.201720,0,0
28.240001,0,0
28.278313,0,0
28.307884,0,0
28.346170,0,0
28.396633,0,0
28.426331,0,0
28.464613,0,0
28.502931,0,0
28.532528,0,0
28.570815,0,0
28.609115,0,0
28.638675,0,0
28.676957,0,0
28.715239,0,0
28.744797,0,0
28.795320,0,0
28.833700,0,0
28.863271,0,0
28.901515,0,0
28.939830,0,0
28.969378,0,0
29.007628,0,0
29.045935,0,0
29.075494,0,0
29.113776,0,0
29.152047,0,0
29.181586,0,0
29.219848,0,0
29.258135,0,0
29.287693,0,0
29.347474,0,0
29.385887,0,0
29.415468,0,0
29.474551,0,0
29.512941,0,0
29.542514,0,0
29.580808,0,0
29.619101,0,0
29.648678,0,0
29.686952,0,0
29.725236,0,0
29.754798,0,0
29.793045,0,0
29.831324,0,0
29.860907,0,0
29.899187,0,0
29.937470,0,0
29.967023,0,0
30.005274,0,0
30.043572,0,0
30.073134,0,0
30.125486,0,0
30.163900,0,0
30.193501,0,0
30.231803,0,0
30.270103,0,0
30.299676,0,0
30.337954,0,0
30.376256,0,0
30.405803,0,0
30.444045,0,0
30.482330,0,0
30.511897,0,0
30.550172,0,0
30.588474,0,0
30.618029,0,0
30.671215,0,0
30.709639,0,0
30.740729,0,0
30.793205,0,0
30.831489,0,0
30.861055,0,0
30.904082,0,0
30.942408,0,0
30.971955,0,0
31.010207,0,0
31.048505,0,0
31.078083,0,0
31.116344,0,0
31.154642,0,0
31.184198,0,0
31.233933,0,0
31.288043,0,0
31.317721,0,0
31.356003,0,0
31.394299,0,0
31.425800,0,0
31.478337,0,0
31.516642,0,0
31.546165,0,0
31.584413,0,0
31.622682,0,0
31.652230,0,0
31.690488,0,0
31.728810,0,0
31.758382,0,0
31.796625,0,0
31.834922,0,0
31.864500,0,0
31.902788,0,0
31.941071,0,0
31.970641,0,0
32.008903,0,0
32.047219,0,0
32.078916,0,0
32.131420,0,0
32.169706,0,0
32.199260,0,0
32.237502,0,0
32.275829,0,0
32.305397,0,0
32.343652,0,0
32.381944,0,0
32.411533,0,0
32.449809,0,0
32.488105,0,0
32.517682,0,0
32.555942,0,0
32.605957,0,0
32.635622,0,0
32.673898,0,0
32.712224,0,0
32.739575,0,0
32.792101,0,0
32.830416,0,0
32.859963,0,0
32.898216,0,0
32.936508,0,0
32.966062,0,0
33.004299,0,0
33.042621,0,0
33.072173,0,0
33.122656,0,0
33.161012,0,0
33.190577,0,0
33.228850,0,0
33.267162,0,0
33.296740,0,0
33.335007,0,0
33.385758,0,0
33.415426,0,0
33.453677,0,0
33.492010,0,0
33.521556,0,0
33.559812,0,0
33.598109,0,0
33.627679,0,0
33.665940,0,0
33.704244,0,0
33.733799,0,0
33.772029,0,0
33.810318,0,0
33.839879,0,0
33.878130,0,0
33.930118,0,0
33.959794,0,0
33.998064,0,0
34.054264,0,0
34.083944,0,0
34.122209,0,0
34.160509,0,0
34.190074,0,0
34.228345,0,0
34.266639,0,0
34.296213,0,0
