time,deltaX,deltaY
64.965635,1,0
64.995204,0,0
65.033452,3,1
65.071744,2,0
65.101320,6,-1
65.139604,3,0
65.177922,4,0
65.209291,4,-2
65.261805,7,0
65.300112,6,0
65.329676,7,2
65.367955,8,3
65.406248,10,4
65.435822,9,-1
65.474098,7,-1
65.512440,11,-2
65.542016,10,-1
65.580292,10,1
65.618621,11,0
65.648186,9,-1
65.686453,11,-2
65.724773,10,0
65.754334,11,1
65.809403,18,3
65.859358,19,3
65.888998,13,1
65.927273,18,0
65.965622,20,6
65.995170,13,2
66.045398,30,2
66.083787,21,1
66.113377,16,2
66.151659,23,5
66.189996,23,3
66.219571,15,0
66.257879,23,-5
66.296223,19,-2
66.325792,12,-1
66.370788,21,-2
66.409100,19,-1
66.450686,19,-2
66.489096,21,0
66.527440,21,0
66.556999,13,0
66.595256,21,-3
66.633604,21,-7
66.663201,15,-5
66.701490,22,-7
66.739833,25,-4
66.769408,20,0
66.807669,22,0
66.846005,30,2
66.873660,20,3
66.926189,33,1
66.964485,26,-5
66.994115,21,-8
67.032426,20,-6
67.084240,28,-2
67.113944,19,2
67.152225,16,4
67.190541,22,4
67.220125,19,4
67.258416,24,5
67.296719,18,8
67.326327,18,6
67.364625,20,8
67.402941,18,6
67.432532,16,6
67.470832,19,7
67.509132,19,0
67.538743,14,0
67.577022,23,1
67.615318,24,3
67.644902,16,3
67.704714,37,14
67.743125,25,10
67.772750,18,6
67.811035,24,6
67.864630,31,-3
67.894353,18,-5
67.932668,21,-5
67.971016,19,-3
68.000593,20,1
68.038891,23,2
68.077218,22,2
68.106796,14,0
68.145062,21,-4
68.183387,20,-8
68.213013,13,-5
68.251314,20,-9
68.289635,19,-8
68.322579,17,-5
68.375096,30,-4
68.413416,21,-1
68.442985,21,1
68.481248,26,1
68.519579,28,0
68.549157,20,1
68.597791,33,7
68.636086,24,9
68.665659,20,4
68.719429,29,-7
68.757859,18,-11
68.787501,13,-5
68.825831,16,4
68.864137,17,10
68.893744,10,7
68.932034,16,7
68.992457,22,-1
69.022159,14,-2
69.060461,13,0
69.098803,17,5
69.128366,15,3
69.175579,20,0
69.213881,18,-4
69.243493,13,-2
69.281817,20,0
69.320118,22,5
69.349693,14,3
69.387970,20,4
69.426255,23,1
69.455807,14,-2
69.513639,25,-8
69.552053,16,-2
69.581732,10,0
69.636117,25,5
69.674508,14,5
69.704104,13,0
69.742394,15,-2
69.780716,12,-3
69.810326,12,-2
69.848622,15,0
69.886936,12,1
69.916529,13,3
69.954816,15,2
69.993121,15,3
70.022727,9,2
70.061006,12,4
70.099304,13,4
70.128909,10,1
70.167202,15,0
70.205490,17,-1
70.235077,10,-1
70.284899,23,-2
70.323299,22,-3
70.352932,13,-1
70.391226,21,2
70.429548,19,9
70.459151,12,5
70.497430,18,1
70.535736,18,-3
70.565338,11,-3
70.603629,12,-5
70.641976,11,-4
70.671589,8,-4
70.709896,12,-5
70.748227,12,1
70.777821,8,4
70.827899,15,6
70.866302,12,3
70.894922,8,0
70.947413,17,0
70.985717,12,-2
71.015285,8,-2
71.053564,14,0
71.091892,9,-1
71.121470,7,-2
71.159742,11,-7
71.198062,5,-7
71.227637,6,-3
71.265910,6,0
71.304224,2,1
71.333812,1,-2
71.372092,8,-7
71.410424,8,-4
71.440003,9,0
71.485416,6,1
71.535928,10,0
71.565625,4,-1
71.603936,6,0
71.642250,9,0
71.671814,6,5
71.710093,8,6
71.748421,4,11
71.777981,3,4
71.829731,2,6
71.868139,3,2
71.897737,2,2
71.936033,2,0
71.974325,0,3
72.003934,2,2
72.042227,-1,11
72.080566,3,4
72.110139,2,0
72.162183,6,-11
72.200607,5,-14
72.230243,4,-9
72.268527,2,-12
72.306842,2,-10
72.336432,1,-7
72.374702,2,-14
72.413028,0,-11
72.442576,3,-2
72.480859,5,0
72.519181,10,12
72.548778,10,11
72.587040,11,16
72.625374,15,13
72.654949,6,4
72.693218,9,-5
72.731528,5,-14
72.775063,6,-13
72.813462,2,-2
72.851823,5,5
72.881413,3,11
72.919698,2,13
72.958024,0,9
72.987583,0,2
73.025883,0,-3
73.064224,-1,-9
73.093834,-2,-12
73.146277,0,-16
73.184691,0,-6
73.214281,1,0
73.252584,2,2
73.290899,0,6
73.320525,1,6
73.358825,0,0
73.412562,0,-5
73.442253,-2,-4
73.480585,-5,-7
73.518916,-2,-9
73.548516,-3,-4
73.586817,-3,-3
73.625125,-2,3
73.654731,-1,9
73.693017,-5,5
73.731312,-1,0
73.760929,-1,-5
73.799217,-1,-7
73.837529,0,-9
73.867129,0,-6
73.905417,0,-4
73.943732,0,-4
73.973320,3,0
74.027351,2,7
74.065775,1,5
74.095384,1,5
74.133651,1,6
74.171973,1,9
74.201561,3,6
74.239839,4,10
74.278151,1,6
74.307735,2,-1
74.346022,1,-2
74.384314,1,0
74.413917,1,3
74.468137,0,6
74.506542,0,3
74.536124,0,0
74.574415,0,0
74.612712,0,4
74.644305,-1,8
74.696867,-4,10
74.735207,-2,-3
74.764794,-3,-10
74.803090,-3,-11
74.841426,-3,-9
74.870985,-1,0
74.909246,-4,2
74.947536,-5,0
74.977129,-1,5
75.015419,-4,0
75.053721,-7,-6
75.083281,-5,-8
75.121576,-6,-3
75.159883,-5,3
75.189469,-5,5
75.227732,-5,6
75.277481,-2,7
75.307201,-3,6
75.345506,-3,5
75.383835,-7,7
75.413386,-5,1
75.451663,-6,1
75.489944,-6,1
75.519530,-4,2
75.557834,-3,5
75.596126,-4,2
75.625681,-5,0
75.663981,-5,-5
75.702281,-7,-8
75.731896,-4,-7
75.781915,-8,-7
75.820305,-5,-3
75.849932,-5,-1
75.900138,-7,1
75.938507,-7,2
75.966159,-7,0
76.018614,-9,-5
76.056937,-9,-9
76.086557,-6,-5
76.124866,-10,-2
76.163210,-7,3
76.192794,-6,2
76.231090,-9,8
76.269423,-9,3
76.299038,-7,5
76.337320,-7,0
76.375633,-11,-7
76.405245,-6,-5
76.443556,-6,0
76.481892,-5,14
76.511530,-3,15
76.563267,-8,17
76.601682,-6,0
76.631321,-5,-8
76.669626,-8,-12
