time,type,distance
64.967249,U,1673
64.981443,D,554
64.996797,L,666
65.035068,R,1114
65.073365,U,1669
65.087542,D,563
65.102922,L,668
65.141223,R,1096
65.17954,U,1668
65.21097,D,562
65.225196,L,675
65.263429,R,1090
65.301726,U,1677
65.315925,D,564
65.331272,L,664
65.369568,R,1113
65.407871,U,1676
65.422047,D,562
65.437427,L,675
65.475718,R,1084
65.514066,U,1672
65.528251,D,563
65.543622,L,666
65.581911,R,1084
65.620238,U,1696
65.63443,D,565
65.649785,L,668
65.688071,R,1098
65.726388,U,1667
65.740553,D,559
65.772735,L,677
65.811096,R,1088
65.861029,U,1680
65.875245,D,555
65.890613,L,683
65.928917,R,1102
65.967249,U,1691
65.981428,D,554
66.008675,L,693
66.047088,R,1073
66.085438,U,1695
66.099621,D,560
66.115,L,717
66.153291,R,1049
66.191625,U,1681
66.205812,D,561
66.221196,L,699
66.259524,R,1051
66.297858,U,1711
66.312031,D,559
66.334199,L,715
66.372424,R,1046
66.410729,U,1688
66.424926,D,566
66.452393,L,701
66.490759,R,1062
66.529072,U,1713
66.543244,D,562
66.558591,L,705
66.596891,R,1064
66.635235,U,1703
66.649433,D,566
66.664813,L,690
66.703122,R,1038
66.741468,U,1734
66.755651,D,554
66.771005,L,679
66.809295,R,968
66.859823,U,1723
66.875335,D,551
66.889542,L,679
66.927797,R,977
66.966107,U,1726
66.980327,D,552
66.995724,L,671
67.034057,R,971
67.085936,U,1730
67.100184,D,548
67.115561,L,677
67.153863,R,956
67.19216,U,1721
67.206346,D,551
67.221716,L,679
67.260036,R,960
67.298338,U,1735
67.312534,D,553
67.327932,L,680
67.366241,R,949
67.404546,U,1685
67.41874,D,561
67.434129,L,674
67.47245,R,937
67.510748,U,1715
67.524956,D,565
67.540344,L,700
67.578636,R,930
67.616932,U,1690
67.631128,D,566
67.654366,L,726
67.706422,R,928
67.74479,U,1700
67.758986,D,571
67.77436,L,735
67.827919,R,920
67.86633,U,1694
67.880571,D,569
67.895988,L,722
67.934302,R,908
67.972643,U,1684
67.986832,D,562
68.002196,L,736
68.040507,R,906
68.078838,U,1724
68.093022,D,561
68.108398,L,721
68.146676,R,907
68.18503,U,1722
68.199232,D,563
68.214635,L,722
68.252941,R,935
68.291254,U,1715
68.324266,D,567
68.338503,L,696
68.376714,R,940
68.415057,U,1687
68.429234,D,574
68.444572,L,705
68.482882,R,947
68.521206,U,1701
68.535394,D,578
68.561216,L,684
68.599404,R,941
68.637711,U,1695
68.651907,D,589
68.68271,L,686
68.721128,R,966
68.759498,U,1671
68.773715,D,589
68.789124,L,685
68.82746,R,953
68.865753,U,1709
68.879965,D,593
68.895358,L,685
68.933645,R,950
68.994155,U,1688
69.008406,D,591
69.023796,L,686
69.062098,R,938
69.100433,U,1689
69.114612,D,582
69.13901,L,702
69.177194,R,935
69.215518,U,1692
69.229718,D,587
69.245104,L,694
69.283446,R,929
69.321731,U,1667
69.33593,D,593
69.351285,L,695
69.389586,R,924
69.427876,U,1671
69.442045,D,600
69.476964,L,710
69.515339,R,945
69.5537,U,1649
69.567934,D,589
69.583355,L,699
