time,deltaX,deltaY
23.410211,0,0
23.439829,0,0
23.478097,0,0
23.516411,0,0
23.545993,0,0
23.584233,0,0
23.622508,0,0
23.652100,0,0
23.690383,0,0
23.728677,0,0
23.758288,0,0
23.801533,0,0
23.839840,0,0
23.869426,0,0
23.907677,0,0
23.946005,0,0
23.975607,0,0
24.027955,0,0
24.066385,0,0
24.096005,0,0
24.134249,0,0
24.172562,0,0
24.202148,0,0
24.240399,0,0
24.278697,0,0
24.308281,0,0
24.346551,0,0
24.384853,0,0
24.414435,0,0
24.468144,0,0
24.506539,0,0
24.536152,0,0
24.574410,0,0
24.612704,0,0
24.642302,0,0
24.696212,0,0
24.734619,0,0
24.764222,0,0
24.802467,0,0
24.840789,0,0
24.870370,0,0
24.908611,0,0
24.946909,0,0
24.976409,0,0
25.014623,0,0
25.052931,0,0
25.082521,0,0
25.121354,0,0
25.159636,0,0
25.189176,0,0
25.227398,0,0
25.265685,0,0
25.295234,0,0
25.349414,0,0
25.387832,0,0
25.417419,0,0
25.455656,0,0
25.493936,0,0
25.523524,0,0
25.561798,0,0
25.600094,0,0
25.629681,0,0
25.667936,0,0
25.706224,0,0
25.757345,0,0
25.795709,0,0
25.834038,0,0
25.863610,0,0
25.901888,0,0
25.940214,0,0
25.969747,0,0
26.022759,0,0
26.061180,0,0
26.090775,0,0
26.129014,0,0
26.167300,0,0
26.196873,0,0
26.235125,0,0
26.273427,0,0
26.302980,0,0
26.341219,0,0
26.379512,0,0
26.409070,0,0
26.447337,0,0
26.485640,0,0
26.515212,0,0
26.553459,0,0
26.591749,0,0
26.621325,0,0
26.671405,0,0
26.709817,0,0
26.739390,0,0
26.777634,0,0
26.815933,0,0
26.845525,0,0
26.883790,0,0
26.922056,0,0
26.951621,0,0
26.989892,0,0
27.028215,0,0
27.080186,0,0
27.118583,0,0
27.156918,0,0
27.186502,0,0
27.224807,0,0
27.263109,0,0
27.292703,0,0
27.343186,0,0
27.381602,0,0
27.411208,0,0
27.449462,0,0
27.487750,0,0
27.517334,0,0
27.555601,0,0
27.593908,0,0
27.623478,0,0
27.661726,0,0
27.700027,0,0
27.729580,0,0
27.767829,0,0
27.806124,0,0
27.835704,0,0
27.873984,0,0
27.912273,0,0
27.955332,0,0
27.993694,0,0
28.032025,0,0
28.061580,0,0
28.099843,0,0
28.138172,0,0
28.167748,0,0
28.206010,0,0
28.244308,0,0
28.273888,0,0
28.312162,0,0
28.350456,0,0
28.393818,0,0
28.432206,0,0
28.470530,0,0
28.500061,0,0
28.538308,0,0
28.576636,0,0
28.620173,0,0
28.658577,0,0
28.696922,0,0
28.726502,0,0
28.764791,0,0
28.803102,0,0
28.832675,0,0
28.870946,0,0
28.909247,0,0
28.938811,0,0
28.977063,0,0
29.015412,0,0
29.044934,0,0
29.083196,0,0
29.121485,0,0
29.151037,0,0
29.189275,0,0
29.227599,0,0
29.271315,0,0
29.309671,0,0
29.348008,0,0
29.377564,0,0
29.415827,0,0
29.454124,0,0
29.483679,0,0
29.521951,0,0
29.560236,0,0
29.589799,0,0
29.628058,0,0
29.666343,0,0
29.711394,0,0
29.749801,0,0
29.788111,0,0
29.817673,0,0
29.855941,0,0
29.894233,0,0
29.939516,0,0
29.977894,0,0
30.016215,0,0
30.045770,0,0
30.084012,0,0
30.122295,0,0
30.151869,0,0
30.190128,0,0
30.228434,0,0
30.257983,0,0
30.296230,0,0
30.334520,0,0
30.364066,0,0
30.402341,0,0
30.440635,0,0
30.470181,0,0
30.508430,0,0
30.546710,0,0
30.578072,0,0
30.630586,0,0
30.668899,0,0
30.698466,0,0
30.736713,0,0
30.775019,0,0
30.804576,0,0
30.842838,0,0
30.881130,0,0
30.910732,0,0
30.948999,0,0
30.987287,0,0
31.033039,0,0
31.071421,0,0
31.109740,0,0
31.139330,0,0
31.177612,0,0
31.215936,0,0
31.242840,0,0
31.295362,0,0
31.333656,0,0
31.363212,0,0
31.401460,0,0
31.439751,0,0
31.469323,0,0
31.507598,0,0
31.545907,0,0
31.575464,0,0
31.613705,0,0
31.652019,0,0
31.681568,0,0
31.720379,0,0
31.758655,0,0
31.788219,0,0
31.826469,0,0
31.864791,0,0
31.892135,0,0
31.944636,0,0
31.982945,0,0
32.012517,0,0
32.050803,0,0
32.089100,0,0
32.118671,0,0
32.156952,0,0
32.195252,0,0
32.224810,0,0
32.263064,0,0
32.301395,0,0
32.328862,0,0
32.381388,0,0
32.419677,0,0
32.449233,0,0
32.487489,0,0
32.525827,0,0
32.556561,0,0
32.609057,0,0
32.647381,0,0
32.676924,0,0
32.715190,0,0
32.753481,0,0
32.783025,0,0
32.821265,0,0
32.859574,0,0
32.889133,0,0
32.927393,0,0
32.965689,0,0
32.995246,0,0
33.039973,0,0
33.078226,0,0
33.107751,0,0
33.146001,0,0
33.184280,0,0
33.213346,0,0
33.265860,0,0
33.304182,0,0
33.347557,0,0
33.385963,0,0
33.424279,0,0
33.453870,0,0
33.492135,0,0
33.530446,0,0
33.560018,0,0
33.598248,0,0
33.636534,0,0
33.666113,0,0
33.704399,0,0
33.742707,0,0
33.772278,0,0
33.810560,0,0
33.862837,0,0
33.892535,0,0
33.930811,0,0
33.969119,0,0
33.998668,0,0
34.036924,0,0
34.075237,0,0
34.104795,0,0
34.157257,0,0
34.195615,0,0
34.225203,0,0
34.263463,0,0
34.301783,0,0
34.331372,0,0
34.369626,0,0
34.407941,0,0
34.437528,0,0
34.475801,0,0
34.529558,0,0
34.559228,0,0
34.597489,0,0
34.635828,0,0
34.681141,0,0
34.719493,0,0
34.757836,0,0
34.787391,0,0
34.825636,0,0
34.863951,0,0
34.893534,0,0
34.937134,0,0
34.975443,0,0
35.005010,0,0
35.043271,0,0
35.081597,0,0
35.111163,0,0
35.149414,0,0
35.203629,0,0
35.233318,0,0
35.271591,0,0
35.309909,0,0
35.339465,0,0
35.377702,0,0
35.416019,0,0
35.445559,0,0
35.483814,0,0
35.522106,0,0
35.551671,0,0
35.609027,0,0
35.647421,0,0
35.677006,0,0
35.715256,0,0
35.753536,0,0
35.783120,0,0
35.821398,0,0
35.871222,0,0
35.900909,0,0
35.939184,0,0
35.977500,0,0
36.007063,0,0
36.045304,0,0
36.083624,0,0
36.113179,0,0
36.151424,0,0
36.189724,0,0
36.219291,0,0
36.257562,0,0
36.295873,0,0
36.325416,0,0
36.363659,0,0
36.401979,0,0
36.431527,0,0
36.469795,0,0
36.519922,0,0
36.549611,0,0
36.587893,0,0
36.626214,0,0
36.655779,0,0
36.694023,0,0
36.732308,0,0
36.761876,0,0
36.800130,0,0
36.838431,0,0
36.867984,0,0
36.919028,0,0
36.957433,0,0
36.987001,0,0
37.025251,0,0
37.063566,0,0
37.093135,0,0
37.131397,0,0
37.181895,0,0
37.211551,0,0
37.249816,0,0
37.288118,0,0
37.317662,0,0
37.355907,0,0
37.394223,0,0
37.423784,0,0
37.462015,0,0
37.500295,0,0
37.529863,0,0
37.576956,0,0
37.615235,0,0
37.644782,0,0
37.683021,0,0
37.721310,0,0
37.750874,0,0
37.789128,0,0
37.854636,0,0
37.884324,0,0
37.922603,0,0
37.960916,0,0
37.990492,0,0
38.028772,0,0
38.067056,0,0
38.096623,0,0
38.134893,0,0
38.173223,0,0
38.202787,0,0
38.241032,0,0
38.279318,0,0
38.308924,0,0
38.347194,0,0
38.385495,0,0
38.415070,0,0
38.453354,0,0
38.505605,0,0
38.535318,0,0
38.573602,0,0
38.611914,0,0
38.641476,0,0
38.679717,0,0
38.718028,0,0
38.747575,0,0
38.785842,0,0
38.824168,0,0
38.853733,0,0
38.896772,0,0
38.949243,0,0
38.978938,0,0
39.017201,0,0
39.055497,0,0
39.085079,0,0
39.123354,0,0
39.177135,0,0
39.206827,0,0
39.245093,0,0
39.283418,0,0
39.312976,0,0
39.351211,0,0
39.389513,0,0
39.419076,0,0
39.457351,0,0
39.495647,0,0
39.525214,0,0
39.563465,0,0
39.601788,0,0
39.631357,0,0
39.669613,0,0
39.707938,0,0
39.737521,0,0
39.775802,0,0
39.829855,0,0
39.859548,0,0
39.897829,0,0
39.936125,0,0
39.965675,0,0
40.003949,0,0
40.042239,0,0
40.071794,0,0
40.110061,0,0
40.148389,0,0
40.177942,0,0
40.232736,0,0
40.271124,0,0
40.300712,0,0
40.338993,0,0
40.377283,0,0
40.406873,0,0
40.445143,0,0
40.499585,0,0
40.529291,0,0
40.567586,0,0
40.605901,0,0
40.635463,0,0
40.673705,0,0
40.712017,0,0
40.741562,0,0
40.779820,0,0
40.818125,0,0
40.847677,0,0
40.885949,0,0
40.924237,0,0
40.953792,0,0
40.992046,0,0
41.030330,0,0
41.059912,0,0
41.098191,0,0
41.148006,0,0
41.177718,0,0
41.215996,0,0
41.254278,0,0
41.283846,0,0
41.322090,0,0
41.360397,0,0
41.389957,0,0
41.428216,0,0
41.466491,0,0
41.496049,0,0
41.546104,0,0
41.584495,0,0
41.614077,0,0
41.652350,0,0
41.690649,0,0
41.720242,0,0
41.758487,0,0
41.808826,0,0
41.838523,0,0
41.876803,0,0
41.915113,0,0
41.944672,0,0
41.982936,0,0
42.021238,0,0
42.050814,0,0
42.089057,0,0
42.127349,0,0
42.156935,0,0
42.196392,0,0
42.234669,0,0
42.264237,0,0
42.302499,0,0
42.340821,0,0
42.370401,0,0
42.408651,0,0
42.459119,0,0
42.488823,0,0
42.527089,0,0
42.565419,0,0
42.595010,0,0
42.633251,0,0
42.671534,0,0
42.701133,0,0
42.739395,0,0
42.777688,0,0
42.806625,0,0
42.859177,0,0
42.897473,0,0
42.927042,0,0
42.965293,0,0
43.003625,0,0
43.033207,0,0
43.071466,0,0
43.123534,0,0
43.153223,0,0
43.191480,0,0
43.229811,0,0
43.259372,0,0
43.297619,0,0
43.335934,0,0
43.365533,0,0
43.403804,0,0
43.442100,0,0
43.471661,0,0
43.516475,0,0
43.554746,0,0
43.584324,0,0
43.622600,0,0
43.660904,0,0
43.690496,0,0
43.728786,0,0
43.787520,0,0
43.817159,0,0
43.869593,0,0
43.907889,0,0
43.937488,0,0
43.975790,0,0
44.014110,0,0
44.043741,0,0
44.082012,0,0
44.120309,0,0
44.149940,0,0
44.188213,0,0
44.226516,0,0
44.256092,0,0
44.294392,0,0
44.332699,0,0
44.362314,0,0
44.400606,0,0
44.438915,0,0
44.469829,0,0
44.522376,0,0
44.560676,0,0
44.590258,0,0
44.628515,0,0
44.666831,0,0
44.696388,0,0
44.734630,0,0
44.772945,0,0
44.802529,0,0
44.840801,0,0
44.879103,0,0
44.910340,0,0
44.962841,0,0
45.001172,0,0
45.030785,0,0
45.069051,0,0
45.107394,0,0
45.156660,0,0
45.209187,0,0
45.247498,0,0
45.277122,0,0
45.315398,0,0
45.353702,0,0
45.383328,0,0
45.421607,0,0
45.459938,0,0
45.489528,0,0
45.527802,0,0
45.566104,0,0
45.595680,0,0
45.633960,0,0
45.672248,0,0
45.701818,0,0
45.744309,0,0
45.782623,0,0
45.809584,0,0
45.862166,0,0
45.900459,0,0
45.930035,0,0
45.968279,0,0
46.006617,0,0
46.036212,0,0
46.074468,0,0
46.112759,0,0
46.142350,0,0
46.180620,0,0
46.218949,0,0
46.260363,0,0
46.298769,0,0
46.337106,0,0
46.366731,0,0
46.405016,0,0
46.443320,0,0
46.472936,0,0
46.523298,0,0
46.561688,0,0
46.591320,0,0
46.629606,0,0
46.667910,0,0
46.697480,0,0
46.735722,0,0
46.774024,0,0
46.803617,0,0
46.841901,0,0
46.880222,0,0
46.909832,0,0
46.948102,0,0
46.986427,0,0
47.016023,0,0
47.064200,0,0
47.102499,0,0
47.130176,0,0
47.200978,0,0
47.239394,0,0
47.268977,0,0
47.307234,0,0
47.345524,0,0
47.375120,0,0
47.413398,0,0
47.451695,0,0
47.481275,0,0
47.519555,0,0
47.557866,0,0
47.587457,0,0
47.625729,0,0
47.664034,0,0
47.693616,0,0
47.731895,0,0
47.770211,0,0
47.799793,0,0
47.838062,0,0
47.890149,0,0
47.919823,0,0
47.958074,0,0
47.996376,0,0
48.025926,0,0
48.064194,0,0
48.102496,0,0
48.132058,0,0
48.170309,0,0
48.208622,0,0
48.238214,0,0
48.276475,0,0
48.314783,0,0
48.344347,0,0
48.398040,0,0
48.436442,0,0
48.466026,0,0
48.504279,0,0
48.542613,0,0
48.572182,0,0
48.624596,0,0
48.663003,0,0
48.692598,0,0
48.730875,0,0
48.769197,0,0
48.798774,0,0
48.837013,0,0
48.875304,0,0
48.904877,0,0
48.943153,0,0
48.981439,0,0
49.010974,0,0
49.049218,0,0
49.087498,0,0
