time,type,distance
71.215102,L,72.85
71.173592,R,84.69
71.257920,U,90.89
71.300239,R,84.62
71.341832,L,72.80
71.384698,U,90.98
71.427103,R,87.11
71.468695,L,75.32
71.511484,U,91.08
71.553888,R,87.13
71.595450,L,75.34
71.638309,U,93.47
71.680541,R,84.57
71.722179,L,75.32
71.765006,U,93.54
71.807238,R,84.60
71.848881,L,75.31
71.891761,U,93.55
71.933969,R,84.72
71.975649,L,77.81
72.018430,U,93.52
72.060637,R,84.60
72.102316,L,77.85
72.145173,U,96.15
72.187339,R,84.60
72.229044,L,77.83
72.271870,U,96.16
72.314003,R,82.05
72.355793,L,77.81
72.398648,U,96.09
72.440737,R,82.08
72.482622,L,80.37
72.525369,U,96.25
72.567465,R,82.08
72.609272,L,80.39
72.652137,U,98.65
72.694141,R,82.24
72.736081,L,83.00
72.778967,U,101.19
72.820898,R,82.15
72.862848,L,82.94
72.905736,U,103.66
72.947601,R,82.06
72.989633,L,85.48
73.032536,U,106.39
73.074300,R,82.18
73.116250,L,82.91
73.159343,U,108.80
73.201112,R,82.10
73.243119,L,85.45
73.286277,U,113.91
73.327843,R,82.17
73.369781,L,82.94
73.413236,U,121.76
73.454706,R,84.62
73.496501,L,80.47
73.540145,U,126.75
73.581400,R,84.57
73.623141,L,77.83
73.667064,U,134.34
73.708161,R,84.71
73.749795,L,75.46
73.793864,U,134.32
73.834920,R,84.60
73.876448,L,72.78
73.920581,U,134.42
73.961678,R,84.74
74.003136,L,70.21
74.047343,U,134.28
74.088380,R,84.64
74.129793,L,67.67
74.174014,U,134.32
74.215127,R,87.14
74.256366,L,65.20
74.300688,U,134.30
74.341733,R,84.57
74.383059,L,65.06
74.427278,U,131.80
74.468450,R,87.18
74.509683,L,65.22
74.595093,R,87.14
74.553744,U,126.70
74.636382,L,65.16
74.680297,U,121.57
74.721890,R,89.63
74.763048,L,65.15
74.806804,U,113.91
74.848652,R,92.15
74.889800,L,65.15
74.933363,U,108.93
74.975376,R,92.15
75.016566,L,67.67
75.059898,U,101.14
75.102157,R,92.22
75.143284,L,65.15
75.186499,U,96.09
75.228908,R,92.12
75.270036,L,65.20
75.313065,U,88.54
75.355684,R,92.14
75.396863,L,67.70
75.439564,U,80.78
75.482300,R,89.61
75.523590,L,67.69
75.566113,U,73.11
75.609077,R,89.63
75.650311,L,67.69
75.692613,U,68.00
75.735755,R,89.65
75.777006,L,67.69
75.819284,U,65.44
75.862406,R,87.13
75.903803,L,70.21
75.945856,U,60.36
75.989140,R,87.20
76.030588,L,70.24
76.072510,U,55.24
76.115945,R,87.16
76.157378,L,70.19
76.199112,U,50.22
76.242735,R,89.70
76.283969,L,67.82
76.325668,U,45.10
76.369528,R,92.22
76.410616,L,65.16
76.452349,U,45.07
76.496229,R,92.12
76.537371,L,65.16
76.579155,U,47.61
76.623025,R,94.70
76.663960,L,62.62
76.706017,U,52.69
76.749752,R,94.66
76.790710,L,62.52
76.832909,U,57.89
76.876472,R,94.64
76.917507,L,65.18
76.959807,U,62.92
77.003182,R,92.22
77.044388,L,67.70
77.086749,U,68.01
77.129953,R,92.12
77.171112,L,67.69
77.213596,U,73.08
77.256637,R,92.10
77.297841,L,67.70
77.340511,U,78.33
77.383435,R,92.12
77.424726,L,70.24
77.467453,U,83.32
77.509967,R,84.60
77.551468,L,70.19
77.594337,U,88.51
77.636613,R,82.10
77.678173,L,70.26
77.721170,U,93.50
77.763460,R,84.59
77.804964,L,70.26
77.848190,U,101.19
77.890244,R,84.52
77.931689,L,70.31
77.975101,U,108.83
78.016907,R,84.66
78.058387,L,70.30
78.101962,U,113.93
78.143604,R,84.67
78.185041,L,70.30
78.228743,U,119.04
78.270268,R,84.57
78.311734,L,70.28
78.355636,U,124.23
78.396985,R,84.57
78.438481,L,70.24
78.482558,U,129.29
78.523784,R,84.60
78.565299,L,70.26
78.609527,U,136.98
78.650500,R,84.72
78.691938,L,70.24
78.736239,U,139.54
78.777194,R,84.59
78.818715,L,72.85
78.863128,U,144.55
78.903866,R,82.12
78.945509,L,72.85
78.989948,U,147.14
79.030561,R,82.05
79.072151,L,72.75
79.116672,U,147.07
79.157281,R,82.05
79.198946,L,72.73
79.243442,U,147.09
79.284052,R,82.13
79.325641,L,70.26
79.370035,U,142.13
79.410837,R,84.55
79.452220,L,67.70
79.496569,U,136.89
79.537594,R,87.09
79.578889,L,67.81
79.623045,U,131.76
79.664289,R,87.09
79.705579,L,65.15
79.749583,U,124.14
79.791044,R,87.11
79.832265,L,65.15
79.876047,U,116.57
79.917675,R,87.13
79.959116,L,70.21
80.002547,U,108.81
80.044456,R,87.13
80.086072,L,77.90
80.129116,U,101.24
80.171173,R,87.09
80.212855,L,80.39
80.255588,U,93.54
80.297865,R,87.11
80.339341,L,72.78
80.382150,U,88.46
80.424616,R,87.14
80.466063,L,70.21
80.508730,U,83.41
80.551302,R,87.13
80.592555,L,65.16
80.635150,U,75.65
80.677994,R,87.09
80.719227,L,65.11
80.761664,U,70.57
80.804662,R,87.09
80.845988,L,67.69
80.888265,U,65.46
80.931443,R,87.23
80.972872,L,70.21
81.014814,U,57.80
81.058201,R,89.63
81.099569,L,70.21
81.141419,U,55.26
81.184987,R,92.12
81.226261,L,70.31
81.268053,U,52.76
81.311713,R,92.22
81.352955,L,70.30
81.394664,U,50.18
81.438372,R,92.12
81.479514,L,67.69
81.521420,U,52.72
81.565060,R,92.21
81.606263,L,67.79
81.648262,U,55.24
81.691876,R,94.66
81.732977,L,67.69
81.774995,U,57.82
81.818597,R,94.75
81.859657,L,65.13
81.901847,U,60.41
81.945318,R,94.76
81.986312,L,65.16
82.028635,U,65.46
82.072006,R,94.66
82.113005,L,65.13
82.155405,U,68.01
82.198696,R,94.63
82.239756,L,65.13
82.282282,U,73.15
82.325414,R,94.63
82.366482,L,65.08
82.409150,U,75.64
82.452141,R,92.15
82.493278,L,65.16
82.535955,U,78.19
82.578861,R,92.21
82.619970,L,65.16
82.662679,U,78.19
82.705706,R,94.73
82.746715,L,65.16
82.789552,U,83.31
82.832359,R,94.68
82.873406,L,65.15
82.916311,U,85.86
82.959077,R,94.73
83.000131,L,65.16
83.043087,U,88.44
83.126734,L,65.23
83.085809,R,97.15
83.169820,U,91.03
83.212533,R,97.11
83.253456,L,65.15
83.296698,U,96.06
83.339154,R,94.63
83.380207,L,65.15
83.465838,R,94.71
83.423532,U,101.26
83.506943,L,67.67
83.550420,U,106.26
83.592537,R,92.14
83.633751,L,67.76
83.677371,U,111.40
83.719294,R,89.67
83.760552,L,67.67
83.804264,U,116.47
83.845901,R,87.11
83.887177,L,65.03
83.931083,U,119.06
83.972642,R,87.20
84.013927,L,65.15
84.057906,U,121.60
84.099432,R,87.09
84.140674,L,65.16
84.184807,U,126.85
84.226173,R,87.07
84.267518,L,67.69
84.311620,U,129.24
84.352946,R,87.11
84.394311,L,70.24
84.438416,U,131.78
84.479638,R,87.13
84.521103,L,72.77
84.565238,U,134.37
84.606351,R,87.13
84.648006,L,77.83
84.692031,U,136.89
84.733127,R,87.20
84.774732,L,77.83
84.818780,U,136.89
84.859838,R,87.11
84.901379,L,75.32
84.945462,U,136.89
84.986524,R,87.07
85.027946,L,70.24
85.072166,U,134.44
85.113320,R,87.09
85.154664,L,67.69
85.198716,U,126.70
85.239992,R,84.64
85.281315,L,65.18
85.325337,U,124.14
85.366710,R,84.62
85.408002,L,65.22
85.451947,U,121.58
