time,gyro x,gyro y,gyro z,accel x,accel y,accel z
16.412450,-23.686981201,3.130424500,-0.038398743,-0.047676880,-0.242944211,0.627995491
16.432922,2.237701416,-1.958381653,-0.679267883,-0.121895626,-0.105370969,0.859318733
16.433548,2.809906006,-1.889717102,-0.831855774,-0.120430782,-0.103906125,0.856877327
16.434175,3.282928467,-1.912605286,-0.671638489,-0.118477657,-0.102563351,0.858098030
16.434800,4.106903076,-2.103340149,-0.976814270,-0.120919064,-0.098412961,0.858586311
16.435427,4.343414307,-1.958381653,-0.923408508,-0.121163204,-0.092675656,0.862492561
16.436053,4.900360107,-2.202522278,-1.159919739,-0.125191525,-0.092431515,0.864567757
16.436678,5.014801025,-2.393257141,-1.228584290,-0.118477657,-0.094140500,0.868474007
16.437305,5.449676514,-2.507698059,-1.228584290,-0.117012814,-0.092187375,0.869572639
16.437930,5.739593506,-2.896797180,-1.396430969,-0.118233517,-0.090356320,0.874333382
16.438556,6.098175049,-3.079902649,-1.343025208,-0.116280392,-0.089745969,0.880070686
16.439181,6.388092041,-3.690254211,-1.472724915,-0.114937618,-0.088525265,0.883488655
16.439807,6.945037842,-3.797065735,-1.579536438,-0.112740353,-0.086694211,0.884587288
16.440432,7.219696045,-4.079353333,-1.472724915,-0.112618282,-0.087304562,0.888249397
16.441058,7.624053955,-4.537117004,-1.747383118,-0.108223751,-0.092553586,0.891423225
16.441684,8.211517334,-4.834663391,-1.823677063,-0.108223751,-0.089623898,0.890934944
16.442309,8.402252197,-5.239021301,-1.938117981,-0.103585079,-0.089013547,0.895695686
16.442936,8.943939209,-5.635749817,-1.892341614,-0.099556759,-0.089257687,0.901555061
16.443561,9.294891357,-6.047737122,-1.793159485,-0.101876095,-0.088769406,0.901188850
16.444188,9.668731689,-6.284248352,-1.884712219,-0.099678829,-0.086450070,0.903264046
16.444813,10.149383545,-6.658088684,-2.105964661,-0.103585079,-0.088647336,0.907902718
16.445438,10.408782959,-6.856452942,-1.945747375,-0.100411251,-0.085961789,0.911198616
16.446065,10.759735107,-7.306587219,-2.197517395,-0.102242306,-0.084985226,0.917180061
16.446691,11.454010010,-7.314216614,-2.098335266,-0.098946407,-0.078271359,0.916203499
16.447317,11.812591553,-7.977973938,-2.105964661,-0.100045040,-0.078149289,0.923283577
