time,deltaX,deltaY
16.431565,184,-279
16.531667,0,0
16.631769,0,0
16.732103,0,0
16.833584,0,0
16.935744,0,0
17.035745,0,0
17.135923,0,0
17.236400,0,0
17.337324,0,0
17.440763,0,0
17.540765,0,0
17.640842,0,0
17.741145,0,0
17.841872,0,0
17.945878,0,0
18.046031,0,0
18.159104,0,0
18.261975,0,0
18.361976,0,0
18.462412,0,0
18.562413,0,0
18.662548,0,0
18.762996,0,0
18.862997,0,0
18.963054,0,0
19.063135,0,0
19.166566,0,0
19.270906,0,0
19.371257,0,0
19.471717,0,0
19.571740,0,0
19.673583,0,0
19.773621,0,0
19.874497,0,0
19.976254,0,0
20.076401,0,0
20.188262,0,0
20.291688,0,0
20.392040,0,0
20.492447,0,0
20.592449,0,0
20.709328,0,0
20.809460,0,0
20.909467,0,0
21.009544,0,0
21.112911,0,0
21.217139,0,0
21.317550,0,0
21.417724,0,0
21.518253,0,0
21.618366,0,0
21.721713,0,0
21.822139,0,0
21.922582,0,0
22.022670,0,0
22.125765,0,0
22.227023,0,0
22.327362,0,0
22.427687,0,0
22.528179,0,0
22.631973,0,0
22.734363,0,0
22.834636,0,0
22.934764,0,0
23.035068,0,0
23.145545,0,0
23.247234,0,0
23.347236,0,0
23.447290,0,0
23.547697,0,0
23.648445,0,0
23.750224,0,0
23.850332,0,0
23.950604,0,0
24.050608,0,0
24.153739,0,0
24.256903,0,0
24.357327,0,0
24.457621,0,0
24.557994,0,0
24.658027,0,0
24.758344,0,0
24.866462,0,0
24.966963,0,0
25.066964,0,0
25.166964,0,0
25.267213,0,0
25.372318,0,0
25.472544,0,0
25.572919,0,0
25.673014,0,0
25.773296,0,0
25.878061,0,0
25.978587,0,0
26.079015,0,0
26.190867,0,0
26.291218,0,0
26.391361,0,0
26.491400,0,0
26.591726,0,0
26.691745,0,0
26.792266,0,0
26.892923,0,0
26.993380,0,0
27.093818,0,0
27.193837,0,0
27.293892,0,0
27.399072,0,0
27.499072,0,0
27.599604,0,0
27.699802,0,0
27.800019,0,0
27.908495,0,0
28.008510,0,0
28.109063,0,0
28.209063,0,0
28.309409,0,0
28.415725,0,0
28.515992,0,0
28.616100,0,0
28.716141,0,0
28.816375,0,0
28.922028,0,0
29.022079,0,0
29.122607,0,0
29.222613,0,0
29.323397,0,0
29.423768,0,0
29.523884,0,0
29.623885,0,0
29.727984,0,0
29.830440,0,0
29.930707,0,0
30.059462,2,0
30.159656,134,23
30.272177,185,0
30.378621,100,-20
30.676977,400,20
30.829176,155,9
30.934598,110,8
31.034905,35,10
31.145615,56,11
31.252618,86,1
31.352883,15,-7
31.452885,0,-6
31.553223,59,4
31.659077,34,0
31.763866,-39,-9
31.864345,1,-2
31.964346,23,10
32.064413,-3,2
32.173994,-6,2
32.279187,6,1
32.379349,1,2
32.479650,0,1
32.579654,8,1
32.718267,2,-2
32.818554,-1,2
32.918915,-3,1
33.018916,-2,3
33.126242,-1,0
33.233180,0,2
33.333267,-1,0
33.433269,-5,0
33.533776,-9,-1
33.640142,2,0
33.746198,1,1
33.846408,1,0
33.946709,2,4
34.046829,-5,0
34.154561,-3,0
34.260091,0,1
34.360371,-1,1
34.467811,0,0
34.567812,6,5
34.668010,-3,0
34.770516,2,0
34.870994,16,-1
34.978451,15,9
35.078523,10,17
35.179386,7,16
35.282449,20,16
35.382566,-6,15
35.490564,0,9
35.598818,48,16
35.698820,23,9
35.799219,25,10
35.899730,20,10
36.007691,15,1
36.117620,26,-15
36.217622,29,-7
36.317949,4,0
36.418495,16,8
36.518587,12,-2
36.619018,-5,-16
36.727964,9,-15
36.830354,-6,-9
36.930689,-8,-2
37.030887,22,4
37.130919,47,9
37.234376,15,5
37.336895,27,-11
37.437176,69,6
37.613445,128,14
37.761176,157,-13
37.864716,112,-7
37.964979,112,-32
38.077127,133,8
38.180127,114,6
38.280233,68,-1
38.380607,47,24
38.480640,1,-12
38.580796,75,-3
38.681283,49,-10
