time,deltaX,deltaY
12.304640,883,-627
12.404642,0,0
12.504885,0,0
12.605096,0,0
12.705606,0,0
12.805984,0,0
12.911156,0,0
13.011231,0,0
13.111646,0,0
13.211848,0,0
13.312167,0,0
13.413089,0,0
13.513167,0,0
13.613699,0,0
13.724435,0,0
13.825714,0,0
13.925822,0,0
14.037355,0,0
14.139182,0,0
14.239441,0,0
14.339617,0,0
14.451103,0,0
14.558579,0,0
14.658755,0,0
14.763440,0,0
14.866139,0,0
14.966182,0,0
15.066561,0,0
15.166578,0,0
15.269219,0,0
15.372359,0,0
15.472458,0,0
15.574126,0,0
15.674228,0,0
15.774386,0,0
15.874775,0,0
15.979349,0,0
16.083183,0,0
16.183246,0,0
16.283247,0,0
16.383400,0,0
16.484997,0,0
16.586717,0,0
16.686865,0,0
16.786865,0,0
16.886865,0,0
16.988231,0,0
17.091141,0,0
17.191149,0,0
17.291798,0,0
17.392275,0,0
17.495027,0,0
17.597416,0,0
17.697616,0,0
17.808518,0,0
17.912245,0,0
18.012398,0,0
18.112906,0,0
18.212907,0,0
18.332954,0,0
18.433181,0,0
18.554803,0,0
18.654879,0,0
18.799050,0,0
18.939962,0,0
19.040245,0,0
19.140711,0,0
19.244127,0,0
19.346567,0,0
19.446753,0,0
19.547297,0,0
19.647784,0,0
19.749976,0,0
19.854762,0,0
19.954762,0,0
20.054925,0,0
20.155472,0,0
20.256315,0,0
20.359361,0,0
20.459490,0,0
20.559797,0,0
20.659824,0,0
20.762328,0,0
20.865049,0,0
20.965349,0,0
21.065561,0,0
21.165562,0,0
21.268352,0,0
21.370147,0,0
21.470431,0,0
21.599347,0,0
21.699777,0,0
21.811370,0,0
21.911447,0,0
22.012950,0,0
22.117408,0,0
22.217515,0,0
22.317542,0,0
22.417737,0,0
22.519259,0,0
22.622371,0,0
22.722617,0,0
22.851606,0,0
22.951927,0,0
23.051983,0,0
23.152466,0,0
23.252844,0,0
23.473430,0,0
23.573537,0,0
23.685787,0,0
23.789484,0,0
23.889797,0,0
23.990313,0,0
24.090454,0,0
24.190719,0,0
24.292514,0,0
24.392660,0,0
24.493195,0,0
24.593429,0,0
24.693574,0,0
24.794042,23,-5
24.900712,45,1
25.003618,46,4
25.103780,64,9
25.261705,95,10
25.443344,77,7
25.546348,48,-11
25.646398,38,0
25.746757,56,2
25.846757,55,0
25.948340,52,0
26.050805,37,1
26.151165,43,-3
26.251324,49,-2
26.351428,61,-7
