time,deltaX,deltaY
32.094586,0,0
32.206615,0,0
32.310479,0,0
32.410603,0,0
32.511025,0,0
32.611527,0,0
32.727877,0,0
32.828018,0,0
32.940175,0,0
33.042656,0,0
33.142872,0,0
33.243250,0,0
33.343267,0,0
33.444580,0,0
33.546912,44,13
33.647216,63,0
33.747968,76,6
33.848187,79,2
33.950203,58,18
34.051943,53,3
34.152017,58,2
34.253019,82,3
34.353103,68,-17
34.464995,58,8
34.567966,69,13
34.668330,55,-1
34.774410,69,0
34.874422,46,-1
34.991779,31,0
35.091844,57,6
35.192094,73,8
35.292095,47,3
35.392573,41,-2
35.493049,27,-2
35.596840,25,0
35.697305,45,3
35.797317,30,6
35.897318,11,-3
35.997685,-1,4
36.104964,5,-4
36.205024,26,5
36.305554,0,1
36.405555,0,1
36.505555,18,1
36.617563,7,-1
36.717876,-1,-3
36.818339,4,-3
36.918802,4,-4
37.019079,0,0
37.127569,-5,5
37.227727,3,2
37.328090,22,1
37.428497,-10,3
37.528968,-12,0
37.629226,9,3
37.736310,-1,5
37.839561,-4,5
37.939561,-14,5
38.039561,0,5
38.139927,-2,0
38.259464,-13,0
38.359662,1,-3
38.459740,4,-1
38.560211,-1,-1
38.668039,-3,-4
38.770805,-4,3
38.871035,0,1
38.971036,0,1
39.071166,-1,0
39.180254,-3,0
39.284497,-2,0
39.384498,0,4
39.484630,-6,0
39.584869,0,1
39.695577,4,1
39.799951,-2,0
39.900110,-2,1
40.000577,6,1
40.100895,0,1
40.206207,-8,0
40.310409,2,6
40.410569,10,5
40.522126,7,7
40.629798,0,1
40.730172,16,5
40.830677,-5,0
40.936650,-16,-4
41.041513,17,4
41.141750,32,12
41.242307,19,10
41.342612,26,14
41.446139,12,0
41.549758,15,-3
41.650013,7,-20
41.750273,9,-12
41.850736,11,-14
41.953522,14,-7
42.058379,14,-4
42.158743,-15,-8
42.270804,-5,-20
42.373931,20,-10
42.474076,-9,-14
42.574601,-19,-16
42.674903,14,4
42.775777,6,14
42.879496,-7,4
42.979574,-7,-1
43.079628,13,6
43.180143,19,2
43.280145,21,5
43.380621,33,26
43.480929,30,11
43.583690,36,5
43.683949,61,4
43.784172,49,-4
43.884598,42,0
43.986387,67,-1
44.086588,90,-5
44.187152,68,-2
44.287630,61,7
44.388049,68,12
44.488049,61,15
44.588424,29,1
44.693359,51,3
44.793647,51,3
44.894026,10,5
44.994028,30,5
45.094381,31,3
45.200455,-2,-3
45.300961,-9,-4
45.401012,7,7
45.501545,30,12
45.602085,12,6
45.710236,-23,1
45.810637,13,-2
45.911053,10,2
46.011578,0,4
46.111975,-15,0
46.219047,-5,5
46.319408,3,8
46.419469,4,4
46.519922,14,3
46.620362,5,0
46.720570,-6,-2
46.846968,-11,1
46.947098,-4,1
47.047342,-2,3
47.155100,1,0
47.255100,0,0
47.355522,-7,-5
47.456017,0,-2
47.562821,2,-2
47.667776,-2,-10
47.767804,5,-4
47.868142,9,-6
47.968225,0,-5
48.077671,3,2
48.182965,-7,2
48.283118,15,3
48.383336,-6,0
48.483338,-3,-2
48.607072,-1,5
48.707689,-3,0
48.807940,5,-4
48.907986,13,2
49.015319,12,6
49.118720,10,18
49.218997,12,15
49.319134,3,9
49.419146,1,0
49.526659,21,-5
49.629074,12,6
49.729366,1,0
49.829515,26,18
49.929734,18,5
50.031177,4,3
50.133826,0,0
50.234331,29,6
50.334622,6,-1
50.434724,13,-7
50.535307,3,-12
50.635716,4,-13
50.737307,26,-3
50.837383,16,-13
50.937817,17,-14
51.037818,38,1
51.138172,24,6
51.244574,33,-1
51.344844,53,9
51.444982,48,20
51.545423,77,15
51.645896,58,-6
51.750430,50,-6
51.850431,52,0
51.950829,71,1
52.050887,12,-4
52.151343,41,1
52.260346,1,0
52.360698,0,0
52.461244,0,0
52.561355,0,0
52.661525,0,0
52.768695,0,0
52.868695,0,0
52.969183,0,0
