time,deltaX,deltaY
18.875741,184,-377
18.885783,0,0
18.896271,1,-1
18.906737,0,0
18.922944,0,-1
18.933001,0,2
18.943483,0,0
18.953950,0,-1
18.971565,0,-1
18.981576,0,1
18.992056,0,0
19.002544,-1,0
19.019177,0,1
19.029177,0,0
19.039178,0,-1
19.049647,1,0
19.065920,1,1
19.075920,1,0
19.086403,0,0
19.096879,-1,-1
19.130073,0,1
19.140145,0,0
19.150615,-2,-2
19.161109,0,1
19.176830,0,0
19.186849,2,0
19.197345,0,1
19.207807,0,0
19.223420,0,0
19.233420,-1,-2
19.243917,0,2
19.254396,1,-1
19.270057,0,0
19.280058,-1,0
19.290541,0,0
19.301027,0,0
19.317285,-1,0
19.327285,0,0
19.337761,0,1
19.348246,0,0
19.381453,2,0
19.391487,-1,-1
19.401967,0,1
19.412440,-2,-2
19.428737,3,1
19.438739,-1,0
19.449215,0,1
19.459689,-1,-2
19.475348,-1,0
19.485364,2,1
19.495834,0,0
19.506329,0,0
19.521946,0,0
19.531948,0,0
19.542419,0,0
19.552419,-1,0
19.569321,0,1
19.579330,1,-1
19.589823,0,0
19.600305,0,0
19.634053,0,0
19.644072,0,0
19.654565,1,0
19.665028,-2,-1
19.680760,0,0
19.690805,1,1
19.701287,0,0
19.711771,0,0
19.728020,-1,1
19.738021,0,-1
19.748499,1,0
19.758974,0,0
19.775261,0,0
19.785261,0,0
19.795720,0,0
19.806208,0,0
19.822780,0,0
19.832782,1,0
19.843256,0,1
19.853726,0,-1
19.887505,0,0
19.897541,0,0
19.908028,0,1
19.918487,0,0
19.934802,0,-1
19.944802,0,0
19.955330,1,0
19.965821,-2,0
19.982093,1,1
19.992104,0,-1
20.002589,0,-1
20.013067,-1,0
20.030054,-1,0
20.040054,0,2
20.050529,0,-1
20.060530,1,1
20.077436,0,-2
20.087442,0,1
20.097909,0,0
20.108393,0,0
20.141508,0,0
20.151517,0,0
20.162026,0,0
20.172498,1,0
20.188241,0,0
20.198280,-2,-1
20.208764,1,0
20.219258,-1,1
20.234883,0,0
20.244884,1,0
20.255374,0,0
20.265871,0,1
20.282155,0,0
20.292174,0,0
20.302656,0,-2
20.313134,0,1
20.328779,0,1
20.338781,0,-1
20.349268,0,0
20.359750,0,0
20.392342,1,0
20.402389,-1,0
20.412861,0,2
20.423340,0,-1
20.439640,-1,0
20.449642,0,0
20.460109,0,1
20.470625,1,-1
20.486908,0,-2
20.496910,0,2
20.507384,0,0
20.517857,0,0
20.534124,0,-1
20.544125,0,0
20.554582,0,0
20.565071,0,0
20.580749,-1,0
20.590771,1,1
20.601257,0,1
20.611736,0,-1
20.644920,-1,0
20.654925,0,0
20.665401,2,0
20.675916,0,-1
20.691664,0,0
20.701668,-2,1
20.711668,1,0
20.722153,0,0
20.738406,0,0
20.748406,0,0
20.758872,-1,-1
20.769361,0,0
20.786386,0,1
20.796388,2,0
20.806844,0,0
20.817332,-1,-1
20.832953,0,0
20.842953,0,0
20.853421,-1,0
20.863903,0,0
20.897116,0,0
20.907200,1,1
20.917683,0,0
20.928154,0,0
20.943836,0,-1
20.953837,0,0
20.964326,0,0
20.974800,0,0
20.990581,0,0
21.000615,0,0
21.011100,1,-1
21.021580,0,-1
21.037210,0,2
21.047210,-1,0
21.057713,1,0
21.068201,2,0
21.083264,-3,1
21.093289,1,-1
21.103761,-1,0
21.114260,1,0
21.147396,0,0
21.157399,1,0
21.167878,-2,-1
21.178372,2,0
21.194084,-2,2
21.204114,1,-3
21.214582,0,1
21.225065,1,1
21.240671,1,0
21.250671,0,-1
21.261131,-1,0
21.271607,2,0
21.286625,0,1
21.296660,-4,-1
21.307128,2,0
21.317581,0,0
21.333203,2,0
21.343203,-1,0
21.353666,0,0
21.364145,0,0
21.397848,0,0
21.407880,1,0
21.418362,2,1
21.428832,-4,-2
21.444527,1,0
21.454528,0,0
21.464996,3,2
21.475478,-2,0
21.490516,0,-2
21.500548,0,0
21.510999,2,0
21.521484,-1,0
21.537738,-1,0
21.547738,1,0
21.558187,1,-1
21.568642,0,1
21.584710,0,-1
21.594753,1,0
21.605230,-2,0
21.615704,2,1
21.649329,-2,0
21.659338,1,0
21.669790,0,0
21.680264,0,-1
21.695362,1,2
21.705419,0,-1
21.715882,0,0
21.726347,-2,-1
21.742586,0,0
21.752586,1,-1
21.763052,0,2
21.773521,-1,-1
21.789182,0,1
21.799244,2,0
21.809718,0,0
21.820198,0,0
21.835818,0,0
21.845818,0,0
21.856274,-1,-1
21.866744,1,0
21.899860,-1,0
21.909937,-1,0
21.920409,1,0
21.930862,1,0
21.946555,13,0
21.956556,-3,0
21.967020,0,-1
21.977474,1,-1
21.993153,-4,0
22.003203,0,0
22.013711,2,0
22.024193,0,1
22.039855,0,1
22.049857,0,-2
22.060332,0,1
22.070832,-1,0
22.086492,0,1
22.096537,1,0
22.107096,-1,0
22.117565,2,-1
22.150634,-1,0
22.160655,1,-1
22.171137,-2,0
22.181613,0,0
22.197323,0,1
22.207353,0,-1
22.217805,1,0
22.228268,0,0
22.244523,0,0
22.255096,-1,0
22.265573,2,1
22.276048,-3,0
22.291075,2,0
22.301075,0,0
22.311543,1,0
22.322020,-1,0
22.337627,0,0
22.347627,-1,-1
22.358100,1,1
22.368559,0,-2
22.401657,0,0
22.411726,1,2
22.422199,-2,-1
22.432700,2,1
22.446648,-1,-1
22.459915,-2,0
22.469916,2,0
22.480388,1,2
22.490838,0,0
22.507117,2,-1
22.517145,-3,0
22.527611,0,0
22.538082,-2,-1
22.554327,0,0
22.564329,0,0
22.574810,1,1
22.585297,0,0
22.600970,0,0
22.610971,1,0
22.621482,-2,-1
22.631960,1,0
22.663765,0,0
22.676623,3,0
22.686623,-2,0
22.697113,0,0
22.707612,-2,1
22.722664,0,0
22.732694,2,0
22.743191,2,-1
22.753678,0,0
22.769919,-7,-1
22.779921,-15,-2
22.790423,-2,0
22.800921,-1,0
22.816581,2,-1
22.826707,0,0
22.837206,-2,1
22.847722,0,0
22.863386,3,0
22.873388,-3,0
22.883873,1,0
22.902979,1,0
22.913516,-1,0
22.929266,1,0
22.939328,-1,-2
22.949824,0,2
22.960310,2,0
22.975951,-1,1
22.985952,2,-1
22.996449,-2,0
23.006953,0,0
23.022017,2,0
23.032168,-2,0
23.042654,1,0
23.053134,-1,0
23.068968,-1,0
23.078970,-1,0
23.089469,1,0
23.099953,0,-1
23.115624,2,0
23.125661,-2,0
23.152998,0,0
23.163519,-23,-20
23.179231,-1,0
23.189285,2,1
23.199780,0,-1
23.210285,-1,0
23.225346,-2,0
23.235393,0,0
23.245880,1,0
23.256378,1,0
23.270754,-1,1
23.280754,1,0
23.291224,0,-2
23.301698,0,0
23.317363,0,-2
23.327363,-1,6
23.337831,1,-2
23.348303,0,0
23.363918,-2,-2
23.373919,1,1
23.384414,2,0
23.403501,-3,0
