time,deltaX,deltaY
19.378611,0,3
19.388642,0,0
19.399108,0,0
19.409594,0,0
19.425220,0,0
19.435220,0,0
19.445695,0,0
19.456169,0,0
19.474424,0,-1
19.484446,0,1
19.494914,0,0
19.505394,0,0
19.521410,0,0
19.531412,0,0
19.541871,0,0
19.552353,0,0
19.567990,0,0
19.577999,0,0
19.588474,0,0
19.598946,0,0
19.631961,0,0
19.641980,0,0
19.652589,0,0
19.663084,0,0
19.678192,0,0
19.688259,0,0
19.698747,0,0
19.709245,0,0
19.724929,0,0
19.734931,0,0
19.745423,0,0
19.755931,0,0
19.771623,0,0
19.781623,0,0
19.792098,0,0
19.802574,0,0
19.818255,0,0
19.828255,0,0
19.838746,0,0
19.849238,0,0
19.864353,0,0
19.883678,0,0
19.894207,0,0
19.904207,0,-1
19.914702,0,0
19.929804,0,0
19.939811,0,1
19.950287,0,0
19.960339,0,0
19.976666,0,0
19.986677,0,0
19.997173,0,0
20.007678,0,0
20.022772,0,0
20.032790,0,0
20.043275,0,0
20.053750,0,0
20.069474,0,0
20.079508,0,0
20.090016,0,0
20.100523,0,0
20.116228,0,0
20.135502,0,0
20.145981,0,0
20.156453,0,0
20.166971,0,0
20.181517,0,0
20.191589,0,0
20.202067,0,0
20.212542,0,0
20.228846,0,0
20.238847,0,0
20.249336,0,0
20.259816,0,0
20.275552,0,0
20.285584,0,0
20.296088,0,0
20.306585,0,0
20.322600,0,0
20.332601,0,0
20.343083,0,0
20.353566,0,0
20.386703,0,0
20.396776,0,0
20.407272,0,0
20.417764,0,0
20.432884,0,0
20.442885,0,0
20.453385,0,-1
20.463874,0,1
20.480237,0,0
20.490265,0,0
20.500748,0,0
20.511233,0,0
20.526917,0,0
20.536919,0,0
20.547394,0,0
20.557868,0,0
20.573594,0,0
20.583627,0,0
20.594115,0,0
20.604610,0,0
20.637752,0,0
20.647797,0,-1
20.658316,0,0
20.668790,0,0
20.683937,0,0
20.694017,0,0
20.704523,0,0
20.715035,0,0
20.730124,0,0
