time,deltaX,deltaY
20.956668,1377,147
20.966699,5,0
20.977179,40,-7
20.987685,56,-23
21.004532,87,-76
21.014533,42,-91
21.025015,46,-47
21.035496,81,95
21.053470,35,84
21.063475,37,45
21.073961,14,-32
21.083963,94,-79
21.101258,79,-80
21.111259,-24,-11
21.121733,-61,25
21.132207,27,8
21.147860,67,-10
21.157873,8,19
21.168371,-39,21
21.178848,-8,26
21.212664,20,4
21.222670,1,3
21.233169,-28,-29
21.243666,-81,-12
21.258154,-112,25
21.268212,-1,47
21.278705,51,-31
21.289259,18,-3
21.305518,29,-22
21.315520,-45,-60
21.326016,-37,19
21.336513,-70,43
21.352210,-31,-3
21.362276,-5,-39
21.372771,6,-18
21.383280,-19,7
21.398308,12,12
21.408314,9,-5
21.418779,5,-2
21.429247,13,-10
21.444274,-13,-9
21.463632,1,4
21.474161,0,-1
21.484646,-12,6
21.507276,-23,12
21.517314,-2,3
21.527806,-4,0
21.538298,-9,2
21.553973,3,0
21.563996,0,1
21.574500,-2,0
21.584993,2,-1
21.599391,-1,0
21.609391,-1,-2
21.619851,1,0
21.630329,0,0
21.646014,0,0
21.656048,-1,-1
21.666553,1,0
21.677048,2,0
21.692641,0,0
21.713748,-1,0
21.724285,0,0
21.734775,0,0
21.757388,0,-1
21.767449,0,0
21.777926,0,1
21.788431,0,0
21.804083,0,-1
21.814085,0,-1
21.824568,0,0
21.835070,-1,0
21.851352,-1,0
21.861384,0,-1
21.871870,0,0
21.882371,0,0
21.898318,0,0
21.908335,0,0
21.918808,0,0
21.929302,1,0
21.944989,0,0
21.964331,-1,0
21.974864,0,0
21.985372,1,0
21.995862,0,0
22.009667,0,0
22.019696,-1,0
22.030192,-1,0
22.040671,0,0
22.055717,3,0
22.065728,0,0
22.076198,-1,-1
22.086667,1,1
22.102306,-2,0
22.112376,0,0
22.122847,0,0
22.133347,-1,0
22.148994,4,1
22.159011,-1,0
22.169502,0,0
22.179982,0,-1
22.195624,0,0
22.214964,0,0
22.225488,0,0
22.235970,1,0
22.246443,-2,0
22.261516,1,0
22.271558,1,1
22.282044,1,0
22.292532,0,0
22.308173,-1,-1
22.318231,-3,-1
22.328710,0,1
22.339195,15,2
22.354863,6,2
22.364884,0,0
22.375372,0,0
22.385842,0,0
22.402121,0,0
22.412196,0,0
22.422671,0,0
22.433142,0,0
22.466228,0,0
22.476256,0,0
22.486721,0,0
22.497196,0,0
22.512855,0,0
22.522868,0,0
22.533346,0,0
22.543819,0,0
22.560113,0,0
22.570137,0,0
22.580611,0,0
22.591073,0,0
22.607929,0,0
22.617959,0,0
22.628426,0,0
22.638902,0,0
22.655185,0,0
22.665198,0,0
22.675667,0,0
22.686137,0,0
22.719169,0,0
22.729171,0,0
22.739640,0,0
22.750130,0,0
22.766475,0,0
22.776525,0,0
22.786994,0,0
22.797469,0,0
22.813084,0,0
22.823085,0,0
22.833568,0,0
22.844061,0,0
22.860358,0,0
22.870374,0,0
22.880855,0,0
22.891325,0,0
22.907563,0,0
22.917563,0,0
22.928062,0,0
22.938536,0,0
22.971645,0,0
22.981682,0,0
22.992158,0,0
23.002618,0,0
23.018927,0,0
23.028993,0,0
23.039490,0,0
23.049967,0,0
23.066265,0,0
23.076272,0,0
23.086744,0,0
23.097210,0,0
23.112836,0,0
23.122837,0,0
23.132837,0,0
23.143322,0,0
23.160227,0,0
23.170228,0,0
23.180702,0,0
23.191179,0,0
23.224827,0,0
23.234827,0,0
23.245289,0,0
23.255765,0,0
23.272128,0,0
23.282176,0,0
23.292646,0,0
23.303131,0,0
23.318726,0,0
23.328728,0,0
23.339261,0,0
23.349734,0,0
23.366926,0,0
23.376927,0,0
23.387404,0,0
23.397872,0,0
23.414151,1,0
23.424151,0,0
23.434622,0,0
23.445139,-1,0
23.479454,0,0
23.489495,0,0
23.499973,0,0
23.510463,0,0
23.526762,0,0
23.536764,0,0
23.547312,0,0
23.557788,0,0
23.574079,0,0
23.584105,0,0
23.594593,0,0
23.605073,0,0
23.621341,0,0
23.631341,0,0
23.641861,0,0
23.652356,0,0
23.668660,0,0
23.678674,0,0
23.689152,1,0
23.699630,0,0
23.733249,-1,0
23.743275,0,0
23.753753,1,0
23.764248,0,0
23.780603,0,0
23.790663,0,0
23.801163,0,0
23.811657,0,0
23.827295,0,0
