time,gyro x,gyro y,gyro z,accel x,accel y,accel z
24.000130,0.003404200,1.631275892,3.553585768,-0.055808324,0.112006471,0.918461680
24.000755,-0.370436132,1.158253431,3.477291822,-0.056784887,0.110175416,0.915043712
24.001381,-0.599317968,1.066700697,3.614620924,-0.058005590,0.111762330,0.920048594
24.002008,-1.232557774,1.081959486,3.767208815,-0.058005590,0.114936158,0.919560313
24.002634,-1.385145664,0.784413159,3.584103346,-0.057029027,0.118842408,0.916996837
24.003261,-1.621656895,0.471607983,3.400997877,-0.056052465,0.115790650,0.916508555
24.003887,-1.942091465,0.349537671,3.553585768,-0.055930395,0.116278931,0.915531993
24.004512,-2.224379063,0.158802807,3.568844557,-0.058860082,0.120063111,0.917118907
24.005137,-2.659254551,0.227467358,3.339962721,-0.059348363,0.120795533,0.915776134
24.005763,-2.926283360,-0.291331470,3.645138502,-0.059104223,0.118354127,0.917118907
24.006389,-3.254347324,-0.550730884,3.187374830,-0.063010469,0.114936158,0.916752696
24.007020,-3.429823399,-0.726206958,3.378109694,-0.060446996,0.115790650,0.918461680
24.008726,-4.230909824,-1.306041002,3.225521803,-0.060324926,0.111274049,0.919316173
24.009351,-4.284315586,-1.481517076,3.286556959,-0.059714574,0.111396119,0.917607188
24.009977,-4.566603184,-1.756175280,3.126339674,-0.061423559,0.107734010,0.919438243
24.010604,-4.558973789,-1.916392565,3.286556959,-0.062888399,0.103827760,0.916996837
24.011229,-5.070143223,-2.175791979,3.149227858,-0.062033910,0.100898072,0.916508555
24.011855,-4.787855625,-2.259715319,3.225521803,-0.061911840,0.096747681,0.920903087
24.012481,-4.780226231,-2.435191393,3.263668776,-0.065085664,0.099067017,0.917485118
24.013190,-4.826002598,-2.915843248,3.217892408,-0.062278051,0.094916627,0.919682384
24.013838,-5.054884434,-3.015025377,3.095822096,-0.061545629,0.094062135,0.919194102
24.014463,-4.696302891,-3.205760241,3.072933912,-0.061667699,0.092109010,0.919560313
24.015088,-4.764967442,-3.320201159,3.095822096,-0.061667699,0.090155885,0.919560313
24.015713,-4.307203770,-3.594859362,2.989010572,-0.062522188,0.083930299,0.917851329
24.016338,-4.108839512,-3.716929674,3.011898756,-0.060569067,0.084052369,0.918827891
24.016964,-3.803663731,-3.900035143,3.011898756,-0.059592504,0.081000611,0.917240977
24.018723,-2.697401524,-4.441721916,3.133969069,-0.062278051,0.072943971,0.918949962
24.019349,-2.285414219,-4.601939201,3.202633619,-0.060446996,0.068671510,0.919072032
24.019974,-1.934462070,-4.815562248,3.027157545,-0.063254610,0.069892213,0.921269298
24.020599,-1.789503574,-5.036814690,2.973751783,-0.063132539,0.065741822,0.920170665
24.021225,-1.041822910,-5.303843498,3.080563307,-0.062888399,0.067084596,0.920781016
24.021851,-0.881605566,-5.547984123,3.164486647,-0.062522188,0.064765260,0.920781016
24.035650,7.793015957,-8.935435295,3.614620924,-0.075583711,0.048774049,0.945927501
24.036348,7.983750820,-8.897288322,4.141049385,-0.077903047,0.043769166,0.947026134
24.036974,8.197374344,-9.110911369,3.797726393,-0.075827852,0.046698853,0.945683360
24.037601,8.296556473,-9.255869865,4.080014229,-0.077170625,0.047187135,0.947392344
24.038228,8.494920731,-9.614451408,4.064755440,-0.076682344,0.048285767,0.951054454
24.038853,8.914537430,-9.278758049,4.118161201,-0.079367891,0.049872681,0.954472423
24.039480,8.937425613,-9.652598381,4.202084541,-0.078635469,0.049750611,0.953129649
24.040107,9.044237137,-9.843333244,4.171566963,-0.076804414,0.053656861,0.955693126
24.040733,9.158678055,-9.805186272,4.331784248,-0.078025118,0.053290650,0.956547618
24.041360,9.105272293,-9.866221428,4.224972725,-0.079489961,0.053168580,0.959721446
24.041986,9.181566238,-9.973032951,4.469113350,-0.073142305,0.055976197,0.956547618
24.042613,9.318895340,-10.217173576,4.537777901,-0.078513399,0.057441041,0.960453868
24.043240,9.120531082,-10.171397209,4.545407295,-0.077292696,0.056464478,0.963261485
24.043865,9.181566238,-10.125620842,4.591183662,-0.077048555,0.058905885,0.967778087
24.045627,8.624620438,-10.491831779,4.820065498,-0.078635469,0.058417603,0.972905040
24.046252,8.357591629,-10.552866936,4.789547920,-0.077658907,0.062445924,0.975956798
24.046877,8.288927078,-10.560496330,4.743771553,-0.079856172,0.065985963,0.976323009
24.047502,7.983750820,-10.568125725,5.041317940,-0.080588594,0.066596314,0.978642344
24.048129,7.724351406,-10.957224846,4.980282784,-0.079734102,0.066840455,0.978520274
24.048754,7.319993496,-10.934336662,5.102353096,-0.078269258,0.071234986,0.981938243
24.049379,7.167405605,-10.735972404,5.331234932,-0.076682344,0.066596314,0.983891368
24.050005,6.930894375,-10.812266350,5.422787666,-0.080100313,0.070014283,0.988774180
24.050734,6.740159512,-10.842783928,5.094723701,-0.079734102,0.070136353,0.986210704
24.051360,6.213731289,-10.873301506,5.422787666,-0.082175508,0.067328736,0.986698985
24.051985,5.992478848,-10.919077873,5.453305244,-0.079245821,0.070258424,0.989994884
24.052668,5.725450039,-10.865672112,5.613522530,-0.079245821,0.073676392,0.995243907
24.053293,5.534715176,-11.018260002,5.407528877,-0.077658907,0.075141236,0.995854259
24.053918,5.023545742,-11.132700920,5.483822823,-0.077780977,0.072577760,0.993656993
24.055633,4.108018398,-11.094553947,5.918698311,-0.078391328,0.073676392,1.001103282
24.056259,3.718919277,-10.873301506,5.941586494,-0.078391328,0.074775025,1.004765391
24.056884,3.367967129,-10.774119377,5.956845284,-0.076438203,0.073554322,1.005497813
24.057510,3.207749844,-10.865672112,5.933957100,-0.078269258,0.077460572,1.007084727
24.058136,3.024644375,-10.850413322,6.010251045,-0.079001680,0.076361939,1.008915782
24.058761,2.421922207,-10.507090569,6.071286201,-0.079245821,0.076606080,1.009648204
24.059387,2.116746426,-10.659678459,6.170468330,-0.077414766,0.079535767,1.010746837
24.060018,1.788682461,-10.583384514,6.323056221,-0.076194063,0.079291627,1.015507579
24.060645,1.674241543,-10.476572990,6.223874092,-0.077170625,0.081610963,1.015751719
24.061271,1.308030605,-10.499461174,6.414608955,-0.078147188,0.079657838,1.018071055
24.061896,1.178330898,-10.446055412,6.468014717,-0.078269258,0.080756471,1.020512462
24.062521,0.575608790,-10.194285393,6.429867744,-0.077536836,0.081977174,1.020878673
24.063146,0.346726954,-10.285838127,6.750302315,-0.077780977,0.083686158,1.022831798
24.063772,-0.042372167,-10.125620842,6.643490791,-0.076071993,0.083442017,1.025151134
24.064398,-0.271254003,-10.049326897,6.651120186,-0.076682344,0.081000611,1.027104259
24.066120,-1.049452305,-9.965403557,6.849484444,-0.075339571,0.083686158,1.029423594
24.066746,-1.537733555,-9.736521721,7.002072334,-0.076438203,0.088813111,1.026493907
24.067372,-1.575880527,-9.728892326,6.895260811,-0.072654024,0.087348267,1.031620860
24.067999,-1.911573887,-9.469492912,7.032589912,-0.075705782,0.085273072,1.028691173
24.068624,-1.987867832,-9.377940178,7.040219307,-0.075339571,0.087836549,1.031742930
24.082496,-4.269056797,-7.318003654,7.711606026,-0.070945039,0.113837525,1.051152110
24.083234,-4.200392246,-7.096751213,7.765011787,-0.068747774,0.119208619,1.050663829
24.083861,-4.108839512,-7.012827873,8.016781807,-0.069846407,0.122870728,1.048588634
24.084488,-4.085951328,-7.134898186,7.795529366,-0.071067110,0.125190064,1.050541759
24.085113,-4.238539219,-6.715281487,7.986264229,-0.071433321,0.127509400,1.049076915
24.085738,-4.421644688,-6.753428459,7.742123604,-0.068259493,0.127997681,1.049321055
24.086365,-4.307203770,-6.791575432,7.635312080,-0.065085664,0.134467408,1.053593516
24.086991,-4.284315586,-6.715281487,7.711606026,-0.065818086,0.136054322,1.052861094
24.087618,-4.414015293,-6.661875725,7.757382393,-0.064231172,0.137641236,1.059208751
24.088244,-4.536085606,-6.638987541,7.658200264,-0.063376680,0.140692994,1.057011485
24.088870,-4.421644688,-6.379588127,7.551388741,-0.062033910,0.140204713,1.060063243
24.089495,-4.581861973,-6.318552971,7.391171455,-0.063742891,0.142401978,1.058964610
24.090122,-4.650526524,-6.272776604,7.368283272,-0.065818086,0.144965455,1.062748790
24.090747,-4.673414707,-5.998118401,7.421689034,-0.064475313,0.146674439,1.064823985
24.092473,-4.810743809,-5.609019279,7.070736885,-0.062766328,0.151801392,1.068730235
24.093100,-4.558973789,-5.532725334,7.200436592,-0.061179418,0.152289674,1.068974376
24.093726,-4.826002598,-5.448801994,6.986813545,-0.059592504,0.152167603,1.073124766
24.094352,-4.742079258,-5.227549553,6.956295967,-0.058127660,0.154120728,1.068730235
24.094978,-4.780226231,-5.166514397,7.147030830,-0.056174535,0.149604127,1.071293712
24.095605,-4.963331699,-5.044444084,6.971554756,-0.053122777,0.152655885,1.072758555
24.096231,-5.039625645,-4.762156487,7.085995674,-0.053000707,0.155951783,1.076542735
24.096856,-4.810743809,-4.487498283,6.902890205,-0.057151098,0.154731080,1.072514415
24.097483,-4.841261387,-4.502757072,6.895260811,-0.059104223,0.158637330,1.074955821
24.098109,-4.963331699,-4.464610100,6.902890205,-0.058249731,0.158026978,1.071293712
24.098735,-4.925184727,-4.060252190,6.574826241,-0.056174535,0.157538697,1.072148204
24.099360,-4.688673496,-4.243357658,6.605343819,-0.054831762,0.157050416,1.071049571
24.099986,-4.650526524,-3.892405748,6.651120186,-0.055442113,0.158271119,1.070683360
24.100611,-4.459791660,-3.716929674,6.498532295,-0.053733129,0.156073853,1.070805430
24.101237,-4.261427402,-3.800853014,6.338315010,-0.056052465,0.157782838,1.074467540
24.102954,-3.651075840,-3.343089342,6.231503487,-0.050193090,0.159858033,1.073857188
24.103581,-3.582411289,-3.175242662,5.979733467,-0.055686254,0.160834596,1.075932384
24.104207,-3.429823399,-3.198130846,5.888180733,-0.054953832,0.159125611,1.074467540
24.104834,-3.529005527,-2.946360826,5.895810127,-0.053244848,0.159247681,1.073246837
24.105460,-3.055983067,-2.580149889,5.697445869,-0.049216527,0.160956666,1.077031016
24.106086,-2.880506992,-2.770884752,5.514340401,-0.049582738,0.161078736,1.076542735
24.106712,-2.659254551,-2.450450182,5.697445869,-0.050925512,0.159247681,1.076542735
24.107338,-2.323561192,-2.274974108,5.529599190,-0.048484106,0.160224244,1.080326915
24.107963,-2.270155430,-2.320750475,5.552487373,-0.048606176,0.160712525,1.075810313
24.108589,-1.858168125,-2.152903795,5.247311592,-0.050437231,0.160956666,1.077397227
24.109215,-1.522474766,-1.916392565,5.323605537,-0.052024145,0.163764283,1.077275157
24.109841,-1.499586582,-1.809581041,5.270199776,-0.047141332,0.161811158,1.076786876
24.110467,-1.232557774,-1.718028307,5.079464912,-0.048606176,0.163276002,1.077519298
24.111092,-0.828199804,-1.359446764,5.018429756,-0.047263402,0.162909791,1.078007579
24.111718,-0.866346776,-1.367076159,4.926877022,-0.046408910,0.166205689,1.079716563
24.113461,-0.187330663,-0.733836353,4.804806709,-0.047507543,0.163642213,1.081547618
24.114207,-0.004225194,-0.710948169,4.774289131,-0.046408910,0.168158814,1.081059337
24.115048,0.133103907,-0.512583911,4.469113350,-0.045554418,0.169745728,1.078495860
24.115827,0.354356349,-0.413401783,4.453854561,-0.047263402,0.164496705,1.081303477
24.116650,0.728196681,0.082508862,4.286007881,-0.046042699,0.168158814,1.082646251
