time,deltaX,deltaY
24.007555,1,0
24.017556,3,0
24.034463,2,0
24.044465,1,0
24.054475,0,0
24.064963,1,0
24.081279,1,0
24.091310,2,0
24.101792,1,0
24.112276,1,-2
24.147082,4,-1
24.157247,2,-1
24.167635,1,0
24.177689,3,0
24.195962,5,0
24.205971,2,0
24.216437,2,-2
24.226900,1,0
24.243193,4,0
24.253193,2,-1
24.263817,3,-1
24.274445,3,0
24.294526,3,0
24.304646,1,0
24.315133,3,0
24.325621,2,0
24.343790,4,-1
24.353791,2,-1
24.364594,1,0
24.374952,2,0
24.397223,3,0
24.411161,3,0
24.421367,3,0
24.431825,1,-1
24.442276,2,0
24.458540,0,-1
24.468906,0,-1
24.479384,1,-1
24.489891,0,0
24.505690,2,-1
24.515692,1,0
24.526169,1,-1
24.536633,1,-1
24.552305,2,-1
24.562525,1,0
24.573036,2,-1
24.583512,1,0
24.598603,2,-2
24.608610,0,-1
24.619093,2,-1
24.629578,1,0
24.674679,7,0
24.688982,2,0
24.698983,2,-1
24.709475,2,0
24.719953,0,0
24.744638,4,0
24.763102,4,0
24.773269,2,1
24.783607,2,0
24.794033,2,1
24.815132,2,0
24.825300,2,0
24.835786,2,0
24.846273,1,0
24.862048,5,1
24.872269,1,0
24.899077,7,1
24.909151,4,0
24.927355,5,2
24.937356,1,0
24.947817,1,1
24.958289,0,0
24.974008,2,0
24.984009,1,0
24.994507,1,1
25.004581,1,0
25.020873,0,1
25.030874,0,0
25.041377,0,0
25.051857,0,0
25.066950,1,0
25.077166,0,0
25.087653,0,0
25.098152,1,1
25.113825,1,0
25.123950,0,0
25.149517,1,1
25.160060,1,0
25.178337,2,1
25.188398,0,0
25.198880,1,0
25.209380,0,0
25.225065,1,1
25.235067,0,0
25.245562,1,1
25.256059,0,0
25.271778,1,1
25.281866,1,0
25.292348,2,0
25.302574,0,1
25.319957,3,0
25.329958,2,1
25.340431,0,0
25.350898,1,1
25.365966,1,1
25.375967,1,1
25.399898,1,0
25.410405,0,2
25.432569,0,1
25.442569,1,1
25.453054,0,1
25.463529,0,0
25.478615,0,0
25.488811,0,0
25.499309,0,3
25.509767,0,5
25.527228,0,5
25.537230,1,1
25.547702,0,1
25.558198,0,1
25.573898,1,1
25.583904,0,0
25.593922,1,1
25.604391,0,0
25.620975,1,1
25.630975,0,0
25.650172,0,0
25.660670,3,-2
25.671161,3,-2
25.686915,6,-3
25.697218,0,0
25.707317,1,2
25.717823,0,1
25.734206,0,0
25.744206,0,0
25.754694,0,0
25.765242,1,0
25.781000,0,0
25.791203,0,1
25.801203,0,1
25.811693,1,-3
25.827402,1,-13
25.837640,0,-2
25.848128,0,-4
25.858613,-2,0
25.876208,-1,0
25.900533,0,2
25.910973,0,1
25.921521,0,0
25.941638,0,0
25.951638,1,-2
25.962128,2,0
25.972619,-2,-2
25.987741,-1,0
25.997968,0,2
26.008467,1,2
26.018950,-5,2
26.034630,-13,2
26.044631,-6,2
26.055054,0,1
26.065548,0,1
26.081935,-1,0
26.091937,0,0
26.101979,0,0
26.112454,0,1
26.128128,-2,0
26.150600,7,9
26.160657,1,1
26.171136,2,2
26.192530,2,2
26.202625,0,1
26.213113,1,2
26.223594,0,3
26.239267,3,4
26.249268,1,2
26.259733,2,1
26.270218,1,0
26.285301,1,1
26.295317,1,1
26.305830,0,3
26.316317,0,2
26.332288,4,5
26.342288,2,2
26.352778,2,1
26.363285,0,1
26.378383,2,2
26.400959,5,3
26.410960,5,2
26.421502,2,1
26.442863,3,2
26.452874,4,1
26.463367,3,1
26.473943,4,0
26.490559,2,1
26.500562,3,1
26.510605,2,2
26.521104,2,0
26.536786,4,0
26.546821,3,1
26.557315,1,0
26.567570,3,0
26.585774,4,2
26.595920,3,1
26.606416,2,1
26.616475,1,0
26.651598,7,3
26.661639,2,0
26.672130,1,1
26.682614,2,2
26.698998,3,1
26.709041,2,1
26.719042,2,0
26.729509,3,1
26.745785,3,3
26.755785,0,1
26.766273,2,1
26.776759,2,0
26.791225,0,1
26.801258,2,0
26.811751,1,1
26.822324,1,0
26.837995,4,0
26.847997,1,0
26.858508,3,1
26.868999,2,0
26.902283,9,4
26.912357,4,2
26.922886,3,2
26.933374,2,0
26.949718,7,2
26.959720,1,1
26.970206,3,2
26.980667,1,1
26.996619,4,2
27.006620,1,1
27.017089,3,1
27.027213,2,2
27.043533,4,2
27.053534,1,1
27.063608,3,2
27.074025,1,0
27.091600,5,1
27.101602,2,1
27.112300,1,0
27.122450,2,1
27.157823,4,3
27.167825,2,0
27.178307,1,0
27.188788,1,0
27.203927,2,0
27.213962,2,-1
27.224482,2,0
27.234576,1,-1
27.250863,3,-1
27.260863,2,-1
27.271357,1,0
27.281833,3,0
27.297612,5,0
27.307617,2,-1
27.318099,4,-1
27.328100,5,0
27.344466,4,0
27.354467,3,1
27.364950,4,0
27.375441,4,0
27.409356,9,0
27.419480,4,0
27.430219,4,-1
27.440725,3,0
27.457163,3,0
27.467165,5,0
27.477643,4,0
27.488113,4,0
27.503872,7,2
27.513874,2,1
27.524242,4,0
27.534769,2,0
27.551873,4,1
27.561873,2,0
27.572387,1,0
27.582882,2,0
27.598076,3,-1
27.608093,2,-1
27.618588,3,0
27.628837,2,-1
27.665651,13,-2
27.675688,5,0
27.685822,6,0
27.696302,6,0
27.712731,6,0
27.722766,7,0
27.733247,3,0
27.743406,6,0
27.760903,5,0
27.770905,6,0
27.781386,4,0
27.791860,2,0
27.807632,4,2
27.817634,1,0
27.828089,3,0
27.838571,2,0
27.853739,5,0
27.863740,2,0
27.874221,3,-1
27.884713,1,0
27.931558,16,0
27.941880,1,0
27.952045,4,0
27.962505,1,1
27.980105,5,3
27.990106,3,0
28.000564,1,0
28.011028,4,0
28.026770,6,1
28.036842,4,0
28.046889,3,1
28.057392,3,0
28.074373,6,1
28.084374,4,0
28.094831,4,0
28.105295,5,0
28.121022,4,1
28.131023,4,2
28.141505,3,2
28.151613,3,0
28.170816,9,0
28.187359,8,0
28.197359,2,0
28.207830,4,0
28.218316,4,1
28.234706,6,2
28.244721,4,0
28.254747,4,0
28.265215,4,-1
28.281541,6,-2
28.291697,5,0
28.302185,4,0
28.312674,2,0
28.329076,6,0
28.339112,5,0
28.349602,5,0
28.359603,4,0
28.376570,6,1
28.386570,4,2
28.397041,5,1
28.428419,13,0
28.438918,3,0
28.456656,6,2
28.467158,4,1
28.477159,4,1
28.487373,2,0
28.505778,6,0
28.515811,3,-1
28.526303,3,0
28.536786,1,0
28.553824,5,0
28.564150,2,0
28.574616,2,0
28.585370,3,0
28.601237,4,0
28.611358,1,0
28.621832,2,0
28.632299,3,0
28.648704,4,0
28.658899,3,1
28.678809,5,2
28.689312,3,2
28.699518,4,1
28.718604,6,1
28.728605,2,1
28.739080,4,2
28.749552,4,2
28.766577,3,1
28.776578,4,2
28.787036,3,2
28.797496,2,0
28.813850,5,2
28.823852,3,1
28.834320,1,0
28.844787,2,1
28.860574,4,3
28.870743,1,0
28.881222,2,2
28.891713,3,1
28.908068,3,0
28.929294,8,2
28.939795,1,0
28.949813,2,2
28.959817,2,2
28.975597,3,2
28.985726,4,1
28.996218,3,0
29.006686,2,0
29.025458,6,2
29.035458,2,1
29.045939,3,2
29.056433,3,1
29.072860,6,1
29.083281,3,0
29.093748,4,1
29.104226,4,0
29.121752,5,1
29.131753,4,1
29.142237,1,0
29.152711,2,1
29.186636,9,0
29.196663,4,0
