time,accel x,accel y,accel z,gyro x,gyro y,gyro z
38.000525,0.031113282,-0.049332641,0.940433502,11.044822693,-1.210868835,-24.096168518
38.001150,0.029770508,-0.049698852,0.943729401,11.166893005,-1.088798523,-24.378456116
38.002888,0.027939454,-0.055069946,0.940067291,11.372886658,-0.814140320,-24.241127014
38.003513,0.027695313,-0.055924438,0.940067291,11.723838806,-0.852287292,-24.126686096
38.017455,-0.001357422,-0.054581665,0.921878815,5.956016541,-1.004875183,-22.127784729
38.018199,0.001938477,-0.055924438,0.921512604,5.414329529,-1.348197937,-21.959938049
38.018826,0.003403320,-0.052872680,0.921024323,4.605613708,-1.111686707,-21.921791077
38.019452,0.005722656,-0.052750610,0.924076080,4.155479431,-1.401603699,-21.616615295
38.020078,0.004624024,-0.052262329,0.919437408,3.575645447,-1.332939148,-21.372474670
38.020704,0.004501953,-0.052872680,0.920413971,2.721153259,-1.226127625,-21.196998596
38.021331,0.007065430,-0.052750610,0.923709869,2.194725037,-1.401603699,-21.326698303
38.021956,0.008408204,-0.051774047,0.919681549,1.668296814,-1.477897644,-21.059669495
38.022581,0.009750977,-0.051407836,0.919559479,0.706993103,-1.462638855,-21.067298889
38.023206,0.009262696,-0.053605102,0.920780182,0.027976990,-1.798332214,-20.830787659
38.023831,0.012558594,-0.051896118,0.918582916,-0.895179749,-1.462638855,-20.640052795
38.024457,0.013779297,-0.052506469,0.921024323,-1.223243713,-1.310050964,-20.289100647
38.025083,0.012070313,-0.052628540,0.918460846,-2.199806213,-1.683891296,-20.098365784
38.025709,0.011948243,-0.049698852,0.919559479,-3.206886292,-1.554191589,-20.090736389
38.027468,0.014511719,-0.051163696,0.918949127,-4.580177307,-1.691520691,-19.709266663
38.028093,0.014755860,-0.053727172,0.920413971,-5.045570374,-1.828849792,-19.457496643
38.028719,0.015976563,-0.052872680,0.919193268,-6.083168030,-1.889884949,-19.327796936
38.029344,0.012924805,-0.054947875,0.921024323,-6.701148987,-1.912773132,-19.274391174
38.029969,0.018906251,-0.058121704,0.923709869,-7.464088440,-2.050102234,-19.266761780
38.030595,0.019394532,-0.060563110,0.923587799,-8.165992737,-2.179801941,-19.083656311
38.031220,0.019516602,-0.061295532,0.927982330,-8.928932190,-1.935661316,-18.786109924
38.031845,0.024155274,-0.061661743,0.923954010,-9.432472229,-2.202690125,-18.686927795
38.032472,0.021591797,-0.066178344,0.924198151,-10.294593811,-2.317131042,-18.442787170
38.033098,0.024765626,-0.070328735,0.927127838,-10.683692932,-2.202690125,-18.343605042
38.033725,0.025864258,-0.074967407,0.928714752,-11.385597229,-2.095878601,-18.053688049
38.034352,0.025864258,-0.075943969,0.928348541,-11.774696350,-2.332389832,-17.901100159
38.034978,0.026718751,-0.077530883,0.930912018,-12.201942444,-2.111137390,-17.763771057
38.035603,0.031113282,-0.081681274,0.934696198,-12.743629456,-1.989067078,-17.763771057
38.036230,0.025253907,-0.084855102,0.933719635,-13.010658264,-2.042472839,-17.336524963
38.037968,0.026962891,-0.096329711,0.936405182,-14.032997131,-1.943290710,-16.855873108
38.038594,0.025864258,-0.099747680,0.936893463,-14.277137756,-1.844108582,-16.726173401
38.039221,0.026718751,-0.099747680,0.937381744,-14.475502014,-1.905143738,-16.642250061
38.039847,0.025620118,-0.102799438,0.937259674,-14.437355042,-1.973808289,-16.268409729
38.040472,0.022446290,-0.106095336,0.936893463,-14.483131409,-1.722038269,-16.146339417
38.041097,0.022080079,-0.111344360,0.938114166,-14.544166565,-1.683891296,-15.833534241
38.041724,0.022690430,-0.111222290,0.935794830,-14.574684143,-2.004325867,-15.627540588
38.042351,0.018051758,-0.117814086,0.937259674,-14.605201721,-1.813591003,-15.444435120
38.042976,0.018906251,-0.118912719,0.934207916,-14.277137756,-1.645744324,-15.291847229
38.043603,0.020371094,-0.122818969,0.936161041,-14.101661682,-1.912773132,-15.223182678
38.044228,0.017807618,-0.121842407,0.933963776,-13.689674377,-1.836479187,-15.024818420
38.044853,0.015488282,-0.123307250,0.931766510,-13.514198303,-1.866996765,-14.879859924
38.045479,0.014145508,-0.130875617,0.932010651,-13.209022522,-1.775444031,-14.574684143
38.046104,0.017563477,-0.129288703,0.933841705,-13.018287659,-2.088249207,-14.414466858
38.046731,0.014145508,-0.127823859,0.931644440,-12.415565491,-1.912773132,-14.307655334
38.048470,0.016098633,-0.127213508,0.934574127,-11.194862366,-2.004325867,-13.506568909
38.049097,0.016098633,-0.130753547,0.930667877,-10.805763245,-2.210319519,-13.476051331
38.049724,0.016342774,-0.127213508,0.932498932,-10.500587463,-2.256095886,-13.483680725
38.063658,0.044174805,-0.076798461,0.923587799,-6.952919006,-4.049003601,-9.409584045
38.064411,0.041367188,-0.076798461,0.926761627,-7.105506897,-4.178703308,-9.348548889
38.065037,0.048813477,-0.070572875,0.923709869,-7.120765686,-4.094779968,-9.157814026
38.065663,0.046127930,-0.070939086,0.926151276,-7.189430237,-4.361808777,-9.028114319
