time,deltaX,deltaY
26.760551,864,1271
26.770561,2,67
26.781027,-1,65
26.791483,43,-4
26.808292,40,6
26.818294,-60,57
26.828736,21,69
26.839204,-5,-13
26.857427,34,-42
26.867427,-50,-13
26.877874,43,-83
26.888330,63,6
26.904928,-30,65
26.915450,16,78
26.925904,-11,-9
26.936361,-80,0
26.951974,-31,13
26.961976,-29,-48
26.972443,-27,-70
26.982887,-97,-92
27.016576,32,-104
27.026601,24,-112
27.037069,-13,-82
27.047541,-1,9
27.064407,128,67
27.074437,36,13
27.084910,-6,4
27.095369,-16,-29
27.111602,-13,-4
27.121602,-4,8
27.132055,21,22
27.142518,-20,-3
27.159384,-57,29
27.169384,-7,-37
27.179857,-14,23
27.190366,33,56
27.205956,79,56
27.215956,0,13
27.226442,58,5
27.236887,16,18
27.270029,65,0
27.280029,17,-17
27.290505,33,49
27.300972,62,-57
27.316624,68,-51
27.326625,23,15
27.337099,-14,-16
27.347561,-32,0
27.363797,-73,31
27.373797,-27,18
27.384264,-1,-7
27.394737,-27,-11
27.410355,-124,-19
27.420355,7,-16
27.430844,39,-11
27.441330,52,51
27.456971,39,72
27.466971,47,56
27.477433,35,30
27.487913,3,15
27.521054,26,12
27.531063,-22,-34
27.541543,-50,-20
27.552027,-20,-9
27.567714,-2,12
27.577744,8,0
27.588210,42,-2
27.598695,20,-12
27.614306,8,-20
27.624307,-6,-38
27.634805,-20,-28
27.645290,-7,-46
27.660924,-38,-21
27.670925,-53,-22
27.681395,-4,20
27.691868,-1,48
27.707795,2,-5
27.717795,-2,43
27.728263,22,38
27.738785,19,12
27.772606,65,85
27.782635,-35,10
27.793116,-18,27
27.803597,-22,-2
27.819260,-22,27
27.829262,-11,16
27.839725,-1,-24
27.850198,-41,-81
27.865852,-37,-45
27.875889,-29,-66
27.886393,-6,-18
27.896866,-19,-21
27.912501,9,0
27.922501,-18,37
27.932961,8,-7
27.943479,40,39
27.959134,114,84
27.969136,27,28
27.979592,-17,25
27.990051,-15,0
28.024467,-38,-139
28.034518,-10,-9
28.045040,14,-81
28.055510,47,-63
28.071827,4,10
28.081844,-34,1
28.092319,10,31
28.102792,-31,7
28.119021,44,-1
28.129540,47,0
28.139999,14,-13
28.150459,3,-13
28.166081,2,-26
28.176081,5,-27
28.186550,-9,-15
28.197040,36,-16
28.213909,7,21
28.223909,64,-9
28.234362,48,-51
28.244854,-1,-107
28.278733,60,-98
28.288764,37,19
28.299237,92,18
28.309695,90,0
28.325974,-30,-7
28.335974,-25,21
28.346456,12,13
28.356929,11,-6
28.373865,-16,-24
28.383873,31,3
28.394361,41,1
28.404828,8,17
28.420432,-59,48
28.430433,-29,-3
28.440909,-31,-2
28.451377,-38,-13
28.467712,-52,6
28.477712,-1,-18
28.488177,23,7
28.498618,57,95
28.532263,6,-26
28.542298,35,-32
28.552760,69,-42
28.563260,88,-6
28.579593,80,-62
28.589595,-49,22
28.600047,-29,16
28.610525,-17,-19
28.626781,31,-25
28.636782,40,-49
28.647266,31,-52
28.657743,38,2
28.674024,21,45
28.684025,8,13
28.694501,5,16
28.704975,-7,19
