time,deltaX,deltaY
166.035710,2278,-1247
166.045746,0,0
166.056242,0,0
166.066700,0,0
166.082928,0,0
166.092930,0,0
166.103389,0,0
166.113863,0,0
166.131547,0,0
166.141553,0,0
166.152044,0,0
166.162502,0,0
166.179186,0,0
166.189186,0,0
166.199665,0,0
166.210119,0,0
166.225828,0,0
166.235836,0,0
166.246305,0,0
166.256793,0,0
166.290649,0,0
166.300649,0,0
166.311404,0,0
166.321913,0,0
166.338343,0,0
166.348386,0,0
166.358844,0,0
166.369345,0,0
166.384995,0,0
166.395054,0,0
166.405519,0,0
166.415741,0,0
166.432703,0,0
166.442704,0,0
166.453168,0,0
166.463649,0,0
166.479313,0,0
166.489313,0,0
166.499791,0,0
166.510260,0,0
166.544119,0,0
166.554164,0,0
166.564624,0,0
166.575087,0,0
166.590805,0,0
166.600813,0,0
166.611284,0,0
166.621759,0,0
166.638091,0,0
166.648128,0,0
166.658591,0,0
166.669063,0,0
166.684718,0,0
166.694719,1,0
166.705207,0,0
166.715685,0,0
166.732024,0,0
166.742025,0,0
166.752514,0,0
166.762991,0,0
166.796133,0,0
166.806147,0,0
166.816615,0,0
166.827101,0,0
166.842870,0,0
166.852872,0,0
166.863374,0,0
166.873853,0,0
166.890156,0,0
166.900577,0,0
166.911062,0,0
166.921647,0,0
166.937389,0,0
166.947420,0,0
166.957914,0,0
166.968412,0,0
166.984416,0,0
166.994417,0,0
167.004417,0,0
167.014895,0,0
167.049280,0,0
167.059332,0,0
167.069823,0,0
167.080298,0,0
167.096666,0,0
167.106723,0,0
167.117218,0,0
167.127701,0,0
167.143414,0,0
167.153417,0,0
167.163907,0,0
167.174366,0,0
167.189974,0,0
167.199975,0,0
167.210507,0,0
167.220968,0,0
167.236623,0,0
167.246623,0,0
167.257111,0,0
167.267583,0,0
167.301242,0,0
167.311261,0,0
167.321723,0,0
167.332218,0,0
167.348580,0,0
167.358595,0,0
167.369087,0,0
167.379585,0,0
167.395218,0,0
167.405220,0,0
167.415732,0,0
167.426212,0,0
167.441884,0,0
167.451884,0,0
167.462375,0,0
167.472860,0,0
167.488492,0,0
167.498493,0,0
167.508964,0,0
167.519459,0,0
167.553224,0,0
167.563249,0,0
167.573725,0,0
167.584192,0,0
167.599864,0,0
167.609865,0,0
167.620357,0,0
167.630824,0,0
167.648177,0,0
167.658197,0,0
167.668674,0,0
167.679156,0,0
167.694766,0,0
167.704768,0,0
167.715265,0,0
167.725742,0,0
167.741412,0,0
167.751412,0,0
167.761892,0,0
167.772367,0,0
167.805505,0,0
167.815523,0,0
167.826057,0,0
167.836550,0,0
167.852916,0,0
167.862938,0,0
167.873433,0,0
167.883902,0,0
167.899551,0,0
167.909553,-1,0
167.920026,0,0
167.930499,0,0
167.946770,0,0
167.956780,0,0
167.967271,0,0
167.977744,0,0
167.993342,0,0
168.003343,0,0
168.013825,0,0
168.024053,0,0
168.058582,0,0
168.068583,0,0
168.079076,0,0
168.089548,0,0
168.105277,0,0
168.115287,0,0
168.125791,0,0
168.136336,0,0
168.164209,0,0
168.174210,0,0
168.184688,0,0
168.195164,0,0
168.211002,0,0
168.221004,0,0
168.231526,0,0
168.241997,0,0
168.263354,0,0
168.273355,0,0
168.283842,0,0
168.308691,0,0
168.328163,0,0
168.338201,0,0
168.348670,0,0
168.359139,0,0
168.375184,0,0
168.385185,0,0
168.395669,0,0
168.406132,0,0
168.421873,0,0
168.431875,0,0
168.442358,0,0
168.452830,0,0
168.469104,0,0
168.479104,0,0
168.489581,0,0
168.500084,0,0
168.515713,0,0
168.525713,0,0
168.536218,0,0
168.559193,0,0
168.580587,0,0
168.590598,0,0
168.601102,0,0
168.611567,0,0
168.627183,0,0
168.637183,0,0
168.647679,0,0
