time,deltaX,deltaY
180.030173,1,0
180.040280,1,0
180.050760,4,-3
180.061263,0,0
180.076423,2,-1
180.086425,0,-1
180.096903,0,-1
180.107389,3,0
180.128600,8,-3
180.138623,0,-2
180.149119,0,-1
180.159621,-1,0
180.174466,-1,-1
180.184478,-1,0
180.194975,0,-5
180.205487,-1,-3
180.220956,-1,-4
180.230984,0,-2
180.255913,0,-2
180.266413,1,-2
180.284724,2,-4
180.294762,0,-1
180.305249,0,0
180.315794,-1,-1
180.330815,0,-1
180.340842,1,-2
180.351332,1,-1
180.361836,1,-1
180.376982,2,-1
180.386982,1,0
180.397481,0,0
180.407958,2,0
180.423912,4,-1
180.433912,5,-1
180.444392,3,0
180.454861,2,0
180.470631,2,0
180.480633,2,0
180.506159,0,0
180.516672,0,0
180.534283,1,-2
180.544360,0,0
180.554844,1,0
180.565340,0,0
180.580503,0,0
180.590503,1,0
180.600982,3,1
180.611472,3,0
180.628061,2,0
180.638100,3,0
180.648590,2,0
180.659086,4,0
180.674243,4,0
180.684243,2,1
180.694707,1,0
180.705168,2,0
180.722067,2,1
180.732068,2,1
180.756335,2,1
180.766815,2,0
180.786984,2,0
180.796984,1,0
180.807450,1,1
180.817916,1,2
180.834487,1,2
180.844488,1,2
180.854942,0,1
180.865432,1,2
180.881200,0,1
180.891202,-2,1
180.901676,0,1
180.912167,-3,1
180.928176,-3,0
180.938176,-3,0
180.948177,-1,0
180.958678,-3,0
180.974444,-4,2
180.984444,-2,1
181.006837,0,0
181.017345,0,0
181.039610,1,0
181.049949,1,2
181.060477,1,1
181.070947,2,2
181.086075,2,1
181.096076,2,0
181.106545,2,0
181.117000,1,0
181.134194,2,0
181.144208,0,-1
181.154687,2,0
181.165144,2,0
181.181192,2,-1
181.191194,1,0
181.201659,0,0
181.212119,0,0
181.228395,0,0
181.238410,0,0
181.257578,0,0
181.268077,0,0
181.278572,0,1
181.293150,0,1
181.303164,0,0
181.313644,0,0
181.324128,0,0
181.340090,-1,-2
181.350119,-1,0
181.360609,0,0
181.371091,0,0
181.386847,1,0
181.396848,1,0
181.407323,1,0
181.417782,0,0
181.434349,1,0
181.444349,1,0
181.454810,1,0
181.465261,0,0
181.481623,0,0
181.507726,0,-2
181.518243,0,-2
181.528716,0,0
181.545718,0,0
181.555772,0,0
181.566274,-1,-2
181.576752,0,-1
181.591860,1,-4
181.601861,1,-1
181.612347,0,-2
181.622816,0,0
181.640033,2,-1
181.650108,2,0
181.660539,1,0
181.670988,1,-1
181.686719,2,0
181.696721,1,0
181.707189,1,0
181.717628,1,0
