time,gyro x,gyro y,gyro z,accel x,accel y,accel z
1.286960,0.303818,0.050957,0.073906,0.001894,0.000805,-0.004506
0.015038,0.280930,-0.139778,0.188347,-0.003965,-0.000538,0.002574
0.009984,-0.054764,-0.124519,-0.147346,-0.002378,0.000317,0.000743
0.009008,0.013901,-0.063484,-0.002388,-0.006041,-0.000904,-0.004872
0.008996,0.082565,-0.185555,-0.055794,0.000429,0.002636,0.000255
0.009004,0.219894,-0.139778,0.035759,-0.002378,0.000317,0.002086
0.008996,0.204636,-0.269478,-0.048164,0.000673,0.001049,-0.002919
0.010000,0.082565,-0.040596,-0.032906,0.001284,0.000561,0.004649
0.008013,0.235153,-0.040596,0.058647,0.000551,0.001904,0.001231
0.009987,0.113083,-0.132149,-0.147346,0.001528,-0.000172,0.000011
0.009996,-0.031876,-0.032967,0.043388,-0.002500,-0.004078,0.006114
0.010004,0.013901,0.134880,-0.093941,-0.000547,-0.000416,-0.002187
0.009996,0.021530,0.180656,-0.071053,-0.001158,0.001781,-0.004018
0.010004,0.242783,-0.055855,0.112053,-0.003233,-0.001026,0.003429
0.009996,0.265671,0.005180,0.035759,-0.002500,-0.000050,-0.001210
0.012004,-0.001358,0.089104,0.096794,-0.000303,0.000073,-0.000722
0.009996,0.143600,0.226433,-0.177864,-0.001402,0.000195,0.004283
0.010004,0.044418,-0.032967,-0.017647,0.002016,0.003124,-0.003163
0.009996,0.074936,-0.048225,-0.010017,0.000551,-0.000172,-0.001942
0.010004,-0.085281,-0.155037,-0.223640,0.000185,0.002270,0.004039
0.009996,0.189377,-0.094002,0.127312,-0.002134,-0.001392,-0.001942
0.010004,-0.092911,0.134880,-0.025276,-0.000669,-0.001636,0.001109
0.009996,-0.100540,-0.017708,-0.101570,-0.002378,-0.002491,0.009288
0.012004,0.052048,-0.101631,-0.101570,-0.003233,0.000927,0.002940
0.009996,0.074936,-0.048225,0.142570,-0.004576,-0.004810,0.006847
0.010004,0.151230,-0.193184,-0.101570,-0.003721,0.000317,0.000499
0.009996,-0.230240,0.134880,0.028130,0.000917,-0.000538,-0.001942
0.011004,0.296188,-0.048225,-0.017647,-0.000425,-0.004444,0.003917
