time,gyro x,gyro y,gyro z,accel x,accel y,accel z
1223780,-1.77,0.1831,0.6714,0.0122,-0.0493,1.0039
1234134,-4.3335,-1.5259,1.2207,0.0098,-0.064,1.0098
1244037,-2.6245,-1.3428,1.5259,0.0093,-0.0698,1.0098
1254312,-0.1221,-0.4272,1.5259,0.0083,-0.0664,1.001
1264037,0.6714,0.7324,2.3804,0.0117,-0.0684,1.0098
1274054,0.4883,0.4272,2.1362,-0.0039,-0.0742,1.0264
1284037,0.7324,-1.5259,1.77,0.0024,-0.0737,1.0327
1294054,1.8311,-2.8687,2.2583,0.0103,-0.0757,1.0068
1304042,2.8687,-2.3193,2.4414,0.0161,-0.083,0.9795
1316050,1.5259,-0.5493,2.0142,0.0127,-0.084,0.9702
1326042,0.4272,0.3052,1.8311,0.0166,-0.0742,0.9878
1336050,0.7935,0.1221,2.4414,0.0176,-0.082,0.999
1346042,0.4272,-0.2441,2.1362,0.0122,-0.0933,0.9971
1356121,-0.1221,-0.3662,1.2817,0.0112,-0.1035,0.9907
1366037,-1.0986,-0.1221,0.4883,0.0181,-0.1074,0.9917
1376054,-0.4883,0.6104,-0.4272,0.0176,-0.1108,1.0073
1386042,1.5259,0.6104,-1.3428,0.0117,-0.0991,1.0303
1396050,2.2583,-0.7324,-1.5259,0.0068,-0.082,1.0229
1406037,0.9155,-1.709,-1.2817,0.001,-0.0742,1.019
1418054,1.2207,-2.1973,-0.9155,0.0034,-0.0669,0.999
1428042,1.5869,-1.3428,-0.3052,0.0103,-0.0625,0.9878
1438050,2.3193,-0.4883,-0.5493,0.0107,-0.0688,0.9819
1448042,2.4414,0.5493,-0.7935,0.0098,-0.063,0.9834
1458141,2.3804,0.6104,-0.9766,0.0068,-0.0542,1.0103
1469050,2.3804,-0.6714,-0.061,0.0063,-0.0522,1.0103
1479050,0.9155,-0.6104,0.3662,0.0044,-0.0571,1.002
1489037,-0.1831,-0.7935,0.6104,0.0063,-0.062,1.0049
1499054,-0.1221,-0.9766,1.2207,0.0117,-0.0752,1.0054
1511037,1.0986,-1.4038,1.1597,0.0098,-0.0933,1.0103
1521050,2.2583,-1.9531,0.1831,0.0044,-0.0908,0.9922
1531037,2.0142,-0.7935,0.061,0.0112,-0.0786,0.9692
1541054,1.4038,0.7935,-0.2441,0.0176,-0.0903,0.9863
1551037,1.2817,0.8545,-1.3428,0.0122,-0.082,1.0005
1561098,1.0376,0.5493,-1.4648,0.0122,-0.0684,1.019
1571042,1.5869,-0.2441,-0.7324,0.0015,-0.0601,1.0278
1581050,1.9531,-1.1597,0.6104,-0.0059,-0.0522,1.0146
1591037,0.8545,-1.1597,1.77,0.0029,-0.0688,1.0024
1601050,0.4883,-1.2817,1.5869,0.0059,-0.0884,1.0103
1613042,1.0986,-2.2583,0.2441,0.0132,-0.0986,0.9971
1623054,1.4648,-1.9531,-1.0376,0.02,-0.0981,0.9736
1633037,2.1362,-0.6714,-1.4648,0.02,-0.082,0.9712
1643050,2.6245,0.9155,-1.6479,0.0132,-0.0703,0.979
1653037,2.0752,1.5259,-1.2817,0.0015,-0.0454,0.9878
1663097,0.7324,1.2817,-0.061,0.0054,-0.0488,1.0024
1673037,-0.6104,0.6714,0.6714,0.0054,-0.0732,1.019
1683050,-0.9766,-0.1221,0.061,0.0078,-0.0889,1.0312
1693070,-0.4883,-1.2207,-0.6104,0.0059,-0.0938,1.0332
1703099,1.1597,-2.0752,-1.3428,0.0054,-0.0825,1.019
1715028,2.3804,-2.1973,-1.2817,0.0103,-0.0688,0.9961
1725067,2.6855,-1.5259,-0.4883,0.0151,-0.0718,0.9829
1735027,3.2349,-0.4883,-0.3662,0.0068,-0.0894,0.9824
