time,gyro x,gyro y,gyro z,accel x,accel y,accel z
1223780,-0.0177,0.0018310000000000002,0.006714,0.0122,-0.0493,1.0039
1234134,-0.043335,-0.015259,0.012206999999999999,0.0098,-0.064,1.0098
1244037,-0.026244999999999997,-0.013428,0.015259,0.0093,-0.0698,1.0098
1254312,-0.001221,-0.004272000000000001,0.015259,0.0083,-0.0664,1.001
1264037,0.006714,0.007324000000000001,0.023804,0.0117,-0.0684,1.0098
1274054,0.004883,0.004272000000000001,0.021362000000000003,-0.0039,-0.0742,1.0264
1284037,0.007324000000000001,-0.015259,0.0177,0.0024,-0.0737,1.0327
1294054,0.018311,-0.028687,0.022583000000000002,0.0103,-0.0757,1.0068
1304042,0.028687,-0.023193000000000002,0.024413999999999998,0.0161,-0.083,0.9795
1316050,0.015259,-0.0054930000000000005,0.020142000000000004,0.0127,-0.084,0.9702
1326042,0.004272000000000001,0.0030520000000000005,0.018311,0.0166,-0.0742,0.9878
1336050,0.007935,0.001221,0.024413999999999998,0.0176,-0.082,0.999
1346042,0.004272000000000001,-0.002441,0.021362000000000003,0.0122,-0.0933,0.9971
1356121,-0.001221,-0.0036620000000000003,0.012817,0.0112,-0.1035,0.9907
1366037,-0.010986000000000001,-0.001221,0.004883,0.0181,-0.1074,0.9917
1376054,-0.004883,0.006104000000000001,-0.004272000000000001,0.0176,-0.1108,1.0073
1386042,0.015259,0.006104000000000001,-0.013428,0.0117,-0.0991,1.0303
1396050,0.022583000000000002,-0.007324000000000001,-0.015259,0.0068,-0.082,1.0229
1406037,0.009155,-0.01709,-0.012817,0.001,-0.0742,1.019
1418054,0.012206999999999999,-0.021973,-0.009155,0.0034,-0.0669,0.999
1428042,0.015869,-0.013428,-0.0030520000000000005,0.0103,-0.0625,0.9878
1438050,0.023193000000000002,-0.004883,-0.0054930000000000005,0.0107,-0.0688,0.9819
1448042,0.024413999999999998,0.0054930000000000005,-0.007935,0.0098,-0.063,0.9834
1458141,0.023804,0.006104000000000001,-0.009766,0.0068,-0.0542,1.0103
1469050,0.023804,-0.006714,-0.00061,0.0063,-0.0522,1.0103
1479050,0.009155,-0.006104000000000001,0.0036620000000000003,0.0044,-0.0571,1.002
1489037,-0.0018310000000000002,-0.007935,0.006104000000000001,0.0063,-0.062,1.0049
1499054,-0.001221,-0.009766,0.012206999999999999,0.0117,-0.0752,1.0054
1511037,0.010986000000000001,-0.014038,0.011597,0.0098,-0.0933,1.0103
1521050,0.022583000000000002,-0.019531,0.0018310000000000002,0.0044,-0.0908,0.9922
1531037,0.020142000000000004,-0.007935,0.00061,0.0112,-0.0786,0.9692
1541054,0.014038,0.007935,-0.002441,0.0176,-0.0903,0.9863
1551037,0.012817,0.008545,-0.013428,0.0122,-0.082,1.0005
1561098,0.010376000000000002,0.0054930000000000005,-0.014648000000000001,0.0122,-0.0684,1.019
1571042,0.015869,-0.002441,-0.007324000000000001,0.0015,-0.0601,1.0278
1581050,0.019531,-0.011597,0.006104000000000001,-0.0059,-0.0522,1.0146
1591037,0.008545,-0.011597,0.0177,0.0029,-0.0688,1.0024
1601050,0.004883,-0.012817,0.015869,0.0059,-0.0884,1.0103
1613042,0.010986000000000001,-0.022583000000000002,0.002441,0.0132,-0.0986,0.9971
1623054,0.014648000000000001,-0.019531,-0.010376000000000002,0.02,-0.0981,0.9736
1633037,0.021362000000000003,-0.006714,-0.014648000000000001,0.02,-0.082,0.9712
1643050,0.026244999999999997,0.009155,-0.016479,0.0132,-0.0703,0.979
1653037,0.020752000000000003,0.015259,-0.012817,0.0015,-0.0454,0.9878
1663097,0.007324000000000001,0.012817,-0.00061,0.0054,-0.0488,1.0024
1673037,-0.006104000000000001,0.006714,0.006714,0.0054,-0.0732,1.019
1683050,-0.009766,-0.001221,0.00061,0.0078,-0.0889,1.0312
1693070,-0.004883,-0.012206999999999999,-0.006104000000000001,0.0059,-0.0938,1.0332
1703099,0.011597,-0.020752000000000003,-0.013428,0.0054,-0.0825,1.019
1715028,0.023804,-0.021973,-0.012817,0.0103,-0.0688,0.9961
1725067,0.026855000000000004,-0.015259,-0.004883,0.0151,-0.0718,0.9829
1735027,0.032349,-0.004883,-0.0036620000000000003,0.0068,-0.0894,0.9824
1745067,0.024413999999999998,0.006714,-0.012817,0.002,-0.0728,0.9893
1755023,0.007935,0.002441,-0.009766,0.0068,-0.0659,0.9966
