time,gyro x,gyro y,gyro z,accel x,accel y,accel z
2510893,0.7935,-0.6714,-0.061,-0.0122,0.0049,1.0088
2754113,0.7935,-0.7324,-0.061,-0.0117,0.0078,1.0088
3036016,0.9155,-0.6714,-0.2441,-0.0137,0.0088,1.0044
3176038,0.7935,-0.6714,-0.3662,-0.0186,0.0073,1.0098
3186020,0.8545,-0.6714,-0.1221,-0.0112,0.0083,1.0073
3196043,0.7935,-0.7324,-0.061,-0.0137,0.0073,1.0063
3206016,0.7324,-0.5493,-0.2441,-0.0098,0.0068,1.0078
3216051,0.8545,-0.6714,-0.2441,-0.0117,0.0049,1.0083
3226016,0.6714,-0.7324,-0.1221,-0.0151,0.0054,1.0073
3238038,0.6714,-0.7324,-0.1221,-0.0137,0.0054,1.0039
3248016,0.8545,-0.6714,-0.1221,-0.0161,0.0078,1.0059
3258043,0.8545,-0.6714,-0.1221,-0.0137,0.0049,1.0063
3268020,0.6104,-0.6714,-0.3052,-0.0166,0.0044,1.0098
3278038,0.6104,-0.5493,-0.1831,-0.0132,0.0054,1.0039
3288016,0.6714,-0.8545,-0.061,-0.0122,0.0049,1.0073
3298038,0.7324,-0.7324,0.061,-0.0156,0.0039,1.0083
3308020,0.7324,-0.8545,-0.1831,-0.0117,0.0044,1.0068
3318038,0.7324,-0.7935,-0.1831,-0.0112,0.0068,1.0054
3330016,0.7935,-0.8545,-0.1831,-0.0137,0.0049,1.0063
3340043,0.7935,-0.8545,-0.2441,-0.0142,0.0088,1.0059
3350035,0.7324,-0.9155,-0.2441,-0.0132,0.0044,1.0093
3360038,0.7324,-0.9155,-0.2441,-0.0132,0.0054,1.0078
3370016,0.8545,-0.6104,-0.1831,-0.0117,0.0063,1.0054
3380043,0.9155,-0.9766,-0.3052,-0.0142,0.0073,1.0088
3390020,0.6714,-0.9155,0.061,-0.0146,0.0059,1.0093
3400038,0.7324,-0.9155,-0.2441,-0.0127,0.0088,1.0049
3410016,0.7935,-0.6714,-0.1831,-0.0146,0.0054,1.0054
3420038,0.6714,-0.7324,-0.1221,-0.0151,0.0059,1.0063
3432016,0.6714,-0.7935,-0.1221,-0.0161,0.0029,1.0068
3442038,0.6714,-0.6714,-0.061,-0.0112,0.0049,1.0078
3452020,1.0376,-0.8545,-0.1831,-0.0132,0.0029,1.0083
3462043,0.7935,-0.8545,-0.3052,-0.0122,0.0054,1.0088
3473016,0.7935,-0.8545,-0.2441,-0.0156,0.0088,1.0039
3483038,0.6104,-0.6104,-0.061,-0.0146,0.0044,1.0049
3493016,0.7324,-0.7324,0,-0.0151,0.0083,1.0093
3503043,0.7935,-0.7935,-0.2441,-0.0142,0.001,1.0098
3513016,0.8545,-0.6714,-0.061,-0.0112,0.0093,1.0063
3523038,0.9155,-0.9155,-0.2441,-0.0132,0.0063,1.0063
3535020,0.6714,-0.6104,-0.1221,-0.0146,0.0049,1.0073
3545043,0.8545,-0.7324,0,-0.0137,0.0034,1.0059
3555016,0.6714,-0.6104,-0.2441,-0.0146,0.0063,1.0059
3565038,0.7324,-0.5493,-0.1221,-0.0132,0.0039,1.0073
3575020,0.6714,-0.7935,-0.1221,-0.0103,0.0049,1.0083
3585043,0.7935,-0.8545,-0.061,-0.0137,0.0054,1.0044
3595016,0.6714,-0.4883,-0.1831,-0.0137,0.0059,1.0068
3605038,0.7324,-0.6714,-0.1831,-0.0137,0.0063,1.0068
