time (s),wx (rad/s),wy (rad/s)
15.224580,0.000000,0.000000
15.344048,0.000000,0.000000
15.461064,0.000000,0.000000
15.580719,0.000000,0.000000
15.698617,0.000000,0.000000
15.810543,0.000000,0.000000
15.935838,0.000000,0.000000
16.050299,0.000000,0.000000
16.170114,0.000000,0.000000
16.283426,0.000000,0.000000
16.407140,0.178479,0.010199
16.519199,-0.049640,-0.059568
16.644988,0.347058,-0.014461
16.757527,0.258421,0.018794
16.881508,0.255999,-0.050286
16.997903,0.129286,0.062414
17.120790,-0.008689,-0.017378
17.234534,0.305594,0.025466
17.358600,0.372624,0.041403
17.471668,0.174139,0.024298
17.595537,0.304536,0.019775
17.707211,0.077467,0.011620
17.831512,0.000000,0.000000
17.945369,0.000000,0.000000
18.069150,0.000000,0.000000
18.181894,0.000000,0.000000
18.297189,0.000000,0.000000
18.415958,0.000000,0.000000
