time,r00,r01,r02,r10,r11,r12,r20,r21,r22
4.800536346435546875e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.803131103515625000e+01,9.997125267982482910e-01,-6.047923670848831534e-05,2.397617697715759277e-02,1.818989403545856476e-10,9.999968409538269043e-01,2.522456692531704903e-03,-2.397625148296356201e-02,-2.521731657907366753e-03,9.997093677520751953e-01
4.804549407958984375e+01,9.994822740554809570e-01,-2.761677606031298637e-04,3.216877579689025879e-02,1.455191522836685181e-11,9.999630451202392578e-01,8.584645576775074005e-03,-3.216996043920516968e-02,-8.580203168094158173e-03,9.994454383850097656e-01
4.808381652832031250e+01,9.990058541297912598e-01,-4.058192716911435127e-04,4.457620158791542053e-02,2.910383045673370361e-11,9.999585151672363281e-01,9.103567339479923248e-03,-4.457804933190345764e-02,-9.094516746699810028e-03,9.989644289016723633e-01
4.812223052978515625e+01,9.983717799186706543e-01,-3.681501839309930801e-04,5.704322829842567444e-02,1.746229827404022217e-10,9.999793171882629395e-01,6.453743204474449158e-03,-5.704441294074058533e-02,-6.443234160542488098e-03,9.983509778976440430e-01
4.813634872436523438e+01,9.981791377067565918e-01,-7.018828182481229305e-04,6.031454727053642273e-02,0.000000000000000000e+00,9.999322295188903809e-01,1.163625158369541168e-02,-6.031863018870353699e-02,-1.161506399512290955e-02,9.981115460395812988e-01
4.815175247192382812e+01,9.979940652847290039e-01,-1.175241079181432724e-03,6.329531967639923096e-02,-5.820766091346740723e-11,9.998276233673095703e-01,1.856438443064689636e-02,-6.330622732639312744e-02,-1.852714642882347107e-02,9.978221058845520020e-01
4.819009017944335938e+01,9.972691535949707031e-01,-1.038223039358854294e-03,7.384564727544784546e-02,5.820766091346740723e-11,9.999011754989624023e-01,1.405797712504863739e-02,-7.385294884443283081e-02,-1.401958614587783813e-02,9.971705675125122070e-01
4.822838211059570312e+01,9.964889287948608398e-01,-1.581024378538131714e-03,8.370906114578247070e-02,-2.328306436538696289e-10,9.998216629028320312e-01,1.888377219438552856e-02,-8.372399210929870605e-02,-1.881746947765350342e-02,9.963112473487854004e-01
4.824252700805664062e+01,9.962959885597229004e-01,-1.632258063182234764e-03,8.597440272569656372e-02,-2.910383045673370361e-10,9.998198151588439941e-01,1.898197643458843231e-02,-8.598989993333816528e-02,-1.891166903078556061e-02,9.961165189743041992e-01
4.825794219970703125e+01,9.961751103401184082e-01,-1.578044379130005836e-03,8.736969530582427979e-02,5.820766091346740723e-11,9.998373389244079590e-01,1.805874891579151154e-02,-8.738394081592559814e-02,-1.798966713249683380e-02,9.960126280784606934e-01
4.829626846313476562e+01,9.962889552116394043e-01,-2.481162548065185547e-03,8.603728562593460083e-02,5.820766091346740723e-10,9.995845556259155273e-01,2.882623672485351562e-02,-8.607304841279983521e-02,-2.871925756335258484e-02,9.958749413490295410e-01
4.833458709716796875e+01,9.970005154609680176e-01,-2.745663980022072792e-03,7.734687626361846924e-02,4.656612873077392578e-10,9.993705749511718750e-01,3.547570854425430298e-02,-7.739558815956115723e-02,-3.536929935216903687e-02,9.963729381561279297e-01
4.834891128540039062e+01,9.971323013305664062e-01,-2.788054291158914566e-03,7.562325149774551392e-02,-2.328306436538696289e-10,9.993208050727844238e-01,3.684265166521072388e-02,-7.567463070154190063e-02,-3.673700988292694092e-02,9.964553117752075195e-01
4.836415481567382812e+01,9.972045421600341797e-01,-2.862474648281931877e-03,7.466671615839004517e-02,0.000000000000000000e+00,9.992660880088806152e-01,3.830855339765548706e-02,-7.472156733274459839e-02,-3.820145875215530396e-02,9.964725375175476074e-01
4.840255737304687500e+01,9.970438480377197266e-01,-3.792630275711417198e-03,7.674225419759750366e-02,4.656612873077392578e-10,9.987811446189880371e-01,4.936012253165245056e-02,-7.683590799570083618e-02,-4.921420291066169739e-02,9.958285093307495117e-01
4.844087982177734375e+01,9.962060451507568359e-01,-4.226258490234613419e-03,8.692684769630432129e-02,4.656612873077392578e-10,9.988205432891845703e-01,4.856120422482490540e-02,-8.702953159809112549e-02,-4.837695136666297913e-02,9.950307607650756836e-01
4.845515060424804688e+01,9.958609938621520996e-01,-4.550680983811616898e-03,9.077869355678558350e-02,0.000000000000000000e+00,9.987461566925048828e-01,5.006653070449829102e-02,-9.089268743991851807e-02,-4.985929280519485474e-02,9.946120977401733398e-01
4.847053527832031250e+01,9.956014156341552734e-01,-4.746030084788799286e-03,9.357135742902755737e-02,0.000000000000000000e+00,9.987162947654724121e-01,5.065586045384407043e-02,-9.369163960218429565e-02,-5.043303593993186951e-02,9.943231940269470215e-01
4.850886917114257812e+01,9.953288435935974121e-01,-4.297471139580011368e-03,9.644840657711029053e-02,-4.656612873077392578e-10,9.990088939666748047e-01,4.451304301619529724e-02,-9.654410183429718018e-02,-4.430511221289634705e-02,9.943422675132751465e-01
4.850956726074218750e+01,9.953252077102661133e-01,-4.291717428714036942e-03,9.648422151803970337e-02,0.000000000000000000e+00,9.990121126174926758e-01,4.443709179759025574e-02,-9.657961875200271606e-02,-4.422936215996742249e-02,9.943420290946960449e-01
4.854778289794921875e+01,9.956277608871459961e-01,-4.988437052816152573e-03,9.327812492847442627e-02,4.656612873077392578e-10,9.985731840133666992e-01,5.340285971760749817e-02,-9.341141581535339355e-02,-5.316935852169990540e-02,9.942070245742797852e-01
4.856192779541015625e+01,9.957624673843383789e-01,-4.767915233969688416e-03,9.183946251869201660e-02,2.328306436538696289e-10,9.986551403999328613e-01,5.184593051671981812e-02,-9.196314215660095215e-02,-5.162622779607772827e-02,9.944232702255249023e-01
4.857734680175781250e+01,9.960364699363708496e-01,-4.606405273079872131e-03,8.883203566074371338e-02,2.328306436538696289e-10,9.986587166786193848e-01,5.178564786911010742e-02,-8.895139396190643311e-02,-5.158036947250366211e-02,9.947000145912170410e-01
4.857802963256835938e+01,9.960467219352722168e-01,-4.600167740136384964e-03,8.871584385633468628e-02,0.000000000000000000e+00,9.986587166786193848e-01,5.178327858448028564e-02,-8.883502334356307983e-02,-5.157854408025741577e-02,9.947103261947631836e-01
4.857863998413085938e+01,9.960556626319885254e-01,-4.594621714204549789e-03,8.861249685287475586e-02,0.000000000000000000e+00,9.986585378646850586e-01,5.178116261959075928e-02,-8.873152732849121094e-02,-5.157691240310668945e-02,9.947193861007690430e-01
4.857927322387695312e+01,9.960653185844421387e-01,-4.588899202644824982e-03,8.850584924221038818e-02,-2.328306436538696289e-10,9.986588358879089355e-01,5.177899822592735291e-02,-8.862473070621490479e-02,-5.157525464892387390e-02,9.947291612625122070e-01
4.857986450195312500e+01,9.960743188858032227e-01,-4.583559930324554443e-03,8.840630203485488892e-02,2.328306436538696289e-10,9.986590147018432617e-01,5.177699029445648193e-02,-8.852504938840866089e-02,-5.157370865345001221e-02,9.947382211685180664e-01
4.858048248291015625e+01,9.960834980010986328e-01,-4.578061401844024658e-03,8.830378204584121704e-02,2.328306436538696289e-10,9.986591935157775879e-01,5.177492275834083557e-02,-8.842238038778305054e-02,-5.157212540507316589e-02,9.947475194931030273e-01
