time (s),v_x (m/s),v_y (m/s),pos_x (m),pos_y (m),pos_z (m),acc_x (m/s^2),acc_y (m/s^2)
44.073602,-0.000270,-0.000217,0.000000,0.000000,1.347383,0.000000,0.000000
44.111885,-0.498634,-0.311646,-0.009550,-0.005970,1.344338,-13.017873,-8.134915
44.150213,-0.933840,-0.311280,-0.037002,-0.017907,1.341290,-11.354793,0.009537
44.180007,-0.800882,-0.160176,-0.062844,-0.024931,1.341211,4.462572,5.071626
44.218308,-1.059098,-0.062300,-0.098463,-0.029191,1.341297,-6.741739,2.555454
44.256723,-0.807495,-0.062115,-0.134316,-0.031581,1.341384,6.549595,0.004824
44.286571,-0.399716,-0.159887,-0.152332,-0.034894,1.336803,13.661837,-3.275676
44.324813,0.062396,-0.249583,-0.158782,-0.042723,1.330552,12.083909,-2.345491
44.363143,0.560275,-0.373516,-0.146849,-0.054665,1.324287,12.989262,-3.233300
44.392874,0.561806,-0.321032,-0.130169,-0.064990,1.293708,0.051485,1.765289
44.431161,0.124646,-0.373936,-0.117027,-0.078294,1.289733,-11.417971,-1.381772
44.489754,-0.366517,-0.325793,-0.124113,-0.098794,1.283649,-8.382621,0.821652
44.519557,-0.560447,-0.400319,-0.137927,-0.109614,1.278952,-6.507072,-2.500637
44.557930,-0.373098,-0.373098,-0.155838,-0.124453,1.272765,4.882322,0.709382
44.596205,0.000000,-0.436396,-0.162978,-0.139945,1.266595,9.747829,-1.653759
44.625976,0.400751,-0.561050,-0.157013,-0.154792,1.264383,13.461113,-4.187115
44.664261,0.498607,-0.560934,-0.139797,-0.176270,1.261750,2.555991,0.003050
44.702612,0.124438,-0.373311,-0.127850,-0.194184,1.259112,-9.756444,4.892238
44.732913,-0.078748,-0.708733,-0.127157,-0.210578,1.256272,-6.705570,-11.069640
44.785557,-0.271956,-0.770544,-0.136389,-0.249515,1.249771,-3.670087,-1.174139
44.823908,-0.186656,-0.871060,-0.145183,-0.280994,1.245036,2.224184,-2.620960
44.853560,0.000000,-0.804717,-0.147950,-0.305839,1.238923,6.294898,2.237413
44.891812,0.124760,-0.998074,-0.145564,-0.340319,1.230836,3.261527,-5.054843
44.930191,0.124346,-0.932599,-0.140784,-0.377368,1.222722,-0.010781,1.706027
44.959888,0.000000,-0.723148,-0.138937,-0.401953,1.220230,-4.187163,7.052914
44.998214,-0.124519,-0.996148,-0.141324,-0.434900,1.217313,-3.248938,-7.123084
45.036480,0.000000,-1.060066,-0.143706,-0.474242,1.214400,3.254032,-1.670367
45.066187,0.000000,-0.883550,-0.143706,-0.503111,1.216078,0.000000,5.941915
45.104528,0.248940,-0.995758,-0.138934,-0.539138,1.218557,6.492784,-2.926594
45.142848,0.186807,-1.120842,-0.130585,-0.579692,1.221034,-1.621411,-3.264186
