time (s),v_x (m/s),v_y (m/s)
166.141553,267.993509,-146.702329
166.256793,0,0
166.395054,0,0
166.51026,0,0
166.648128,0,0
166.762991,0.133143,0
166.900577,0,0
167.014895,0,0
167.153417,0,0
167.267583,0,0
167.40522,0,0
167.519459,0,0
167.658197,0,0
167.772367,0,0
167.909553,-0.138686,0
168.024053,0,0
168.17421,0,0
168.308691,0,0
168.431875,0,0
168.559193,0,0
168.68378,0,0
168.8091,0,0
168.935461,0,0
169.059544,0.089449,0
172.745025,0,0
172.869327,0,0
173.002807,0,-0.082789
173.123641,0,0
173.256356,-0.081428,-0.244285
173.378488,0,0.192478
173.512071,0.082766,0.082766
173.631792,0,0
173.764444,0,0
173.88646,0,0
174.018585,1.008179,1.558095
174.136962,0.5272,1.976998
174.269569,2.145816,2.279929
174.388592,3.495083,0.183952
174.510906,-2.224367,3.33655
174.627902,7.002897,2.528824
174.751495,7.115868,9.670283
174.878208,5.556956,-0.179257
175.002457,4.580459,0.549656
175.263213,3.528466,-7.140943
175.453345,-8.646261,-1.646907
175.577994,-5.296995,10.215633
175.702539,-6.439583,12.121567
175.837324,2.425227,-0.866152
175.95877,6.035323,-3.699068
176.092834,0.35199,-5.807844
176.213068,2.614483,-2.011141
176.348062,1.161606,-0.995662
176.463647,-0.555,-0.185
176.602806,0.545543,-0.727392
176.717823,0.737834,-1.660126
176.868433,0.922878,-0.922878
176.982713,2.599205,-0.185657
177.110811,0,0
177.22429,0,0
177.362851,0,0
177.476856,0,0
177.613427,0,0
177.728607,0,0
177.866606,0,0
177.980774,0,0
178.117643,0,0
178.231395,0,0
178.367214,0,0
178.480715,0,0
178.617544,0,0
178.731164,0,0
178.867715,0,0
178.979867,0,0
179.114925,0,0
179.22861,0,0
179.365587,0,0
179.479157,0,0
179.626424,0,0
179.765155,0,0
179.879152,0,0
180.04028,0,0
180.159621,0,0
180.294762,0,0
180.407958,0,0
180.54436,3.520414,-0.74114
180.659086,4.059922,0.21368
180.796984,3.61721,0.723442
180.912167,0,2.955766
181.049949,-2.551074,0.911098
181.165144,3.433103,0.643706
181.29315,0.604887,0.201629
181.407323,0.215501,-0.431001
181.545718,0.525383,-0.700512
181.660539,1.289273,-2.363667
181.798355,2.119549,-0.176629
181.911952,0.861886,-0.646414
182.050281,1.564302,-0.347622
182.164718,3.204499,0
182.289976,5.042121,0
182.408462,3.382583,0.211412
182.539892,2.555375,0.730107
182.659555,5.191398,0.865234
182.790269,2.050503,0
182.909955,5.810832,1.721727
183.045615,6.434332,2.323508
183.166136,7.359962,1.022217
183.299637,8.927871,0.728806
183.414546,6.83832,0.641093
183.552392,6.713921,0.544371
183.66807,7.977083,1.469463
183.805664,8.545404,0.909086
183.920387,9.113979,1.483671
184.05006,11.473057,1.944586
184.163752,4.426153,2.107691
184.302476,5.756557,1.185174
184.41828,6.572595,0.821575
184.555029,0,0
184.668383,0,0
184.816006,0,0
184.935054,0,0
185.071361,0,0
185.184549,0,0
185.320923,0,0
185.433534,0,0
185.569064,0,0
185.683764,0,0
185.808308,0,0
185.926603,0,0
186.058985,0,0
186.176941,0,0
186.300639,0,0
186.429289,0,0
186.806673,5.851786,1.146226
186.922618,7.181737,-0.82077
187.061468,8.119324,-0.176507
187.176744,5.596341,1.03636
187.315933,6.425778,0.535482
187.430095,3.33495,0
187.566843,7.47912,1.602669
187.682231,5.724081,-0.408863
187.821279,8.385886,-1.048235
187.935705,6.613244,0.413327
188.074218,7.188521,-1.051979
188.189425,5.887006,-1.624001
188.325778,5.392526,-1.913477
188.440111,6.23159,-1.206114
188.576269,0,0
188.690322,0,0
188.827048,0,0
188.941776,0,0
189.077761,0,0
189.191027,0,0
189.318442,0,0
189.431715,0,0
189.580695,2.71571,3.771819
189.694224,6.162024,3.491814
189.831098,5.135477,3.423652
189.945436,3.950977,0.415892
190.061766,3.485132,0.410015
190.190958,4.573866,1.392046
190.305803,4.194127,1.048531
190.445255,5.354885,2.103705
190.560089,4.122054,-0.206103
190.69854,10.594335,2.230386
190.812207,3.153233,1.261293
190.935152,3.364324,1.471891
191.055796,5.969555,1.235081
191.188097,8.426795,1.23319
191.308449,6.032111,0.832016
191.440219,4.439291,0.201786
191.561114,3.733986,1.037218
191.693912,4.742808,1.383319
191.815113,6.111145,0.632187
191.938211,4.437271,0.211299
192.05957,5.07847,0.585977
192.192561,8.217169,1.202512
192.312112,3.967476,-2.777233
192.44434,0,0
192.562774,0,0
192.695406,0,0
192.814723,0,0
192.958844,0,0
193.094672,0,0
193.208685,0,0
193.344838,0,0
193.461895,0,0
193.595034,0,0
193.716092,0,0
193.845041,0,0
193.966668,3.606592,0
194.095245,4.68712,-0.520791
194.220786,8.292994,0.394905
194.345279,6.825216,1.660188
194.465172,6.476713,2.747696
194.595944,3.982108,1.629044
194.71795,4.47726,1.167981
194.846278,4.914181,2.548094
194.969555,8.879895,1.322537
195.096326,5.061818,0.18078
195.220274,4.675836,-1.683301
195.346449,7.544154,-0.552012
195.460134,5.710837,0
195.596364,3.876176,-0.36916
195.712892,5.362528,0.618754
195.85885,4.171918,-0.834383
195.980657,8.930122,-0.194133
196.119272,6.637663,-0.896981
196.234783,8.475659,2.067233
196.371712,7.206776,0.720678
196.488219,4.352136,1.036223
196.624504,3.297348,-0.183186
196.738854,3.807185,-1.269062
196.864909,4.564937,-1.389329
196.983691,2.697364,-2.489875
197.115381,5.069841,-3.496442
197.236835,2.643882,-0.203376
197.365704,5.395517,4.855965
197.489524,9.12397,3.317807
197.615798,15.45612,-5.08921
197.749799,13.538032,-3.868009
197.877727,9.737423,-10.11194
197.995305,5.487656,-12.39804
198.117849,8.038525,-14.354508
198.231654,9.894411,-5.359472
198.350021,8.564658,-4.69017
198.473686,11.458293,-0.804091
198.594112,11.996888,-1.332987
198.727577,17.24054,-3.722389
198.845923,13.012112,-3.745911
198.977861,12.764907,-4.558896
199.09643,8.925119,-2.862774
199.257807,9.015611,-4.336624
199.38076,5.549905,0.237853
199.498484,0.370785,0.211877
199.621386,4.076824,0.439418
199.740984,0.775183,-0.484489
199.871577,0.643975,0.193193
199.992403,-12.694395,20.130756
200.141458,-15.368346,16.332412
200.256332,2.765499,-3.495283
200.39289,0.27955,-0.166655
200.507332,-1.721707,0.253039
200.643948,-0.89769,-0.125345
200.758609,0,0
200.895193,0,0
201.008967,0,0
201.146901,0,0
201.263077,0,0
201.401639,0,0
201.517548,0,0
201.655732,0,0
201.771565,0,0
201.91048,0,0
202.025499,0,0
202.164201,0,0
202.280621,0,0
202.42149,0,0
202.537614,0,0
202.674909,0,0
202.791505,0,0
202.929745,0,0
203.045633,0,0
203.183831,0,0
203.298996,0,0
203.438062,0,0
203.557397,0,0
203.696922,0,0
203.811943,0,0
203.963791,0,0
204.078765,0,0
204.217116,0,0
204.332091,0,0
204.471956,0,0
204.586984,0,0
204.711975,0,0
204.832017,0,0
204.965915,0,0
205.087562,0,0
205.220827,0,0
205.341687,0,0
205.474168,0,0
205.59578,0,0
205.72953,0,0
205.849726,0,0
205.983879,0,0
206.105948,0,0
206.239514,0,0
206.359375,0,0
206.49231,0,0
206.612847,0,0
206.745412,0,0
206.86684,0,0
207.000417,0,0
207.12427,0,0
207.256466,0,0
207.378252,0,0
207.501348,0,0
207.617106,0,0
207.755718,0,0
207.871276,0,0
208.008661,0,0
208.124155,0,0
