time,gyro x,gyro y,gyro z,accel x,accel y, accel z
22.4990,-0.8606,1.6717,0.1974,-0.0037,0.0065,0.0000
22.5990,-0.4407,1.8625,-2.0698,0.0061,-0.0023,-0.0044
22.6990,0.1394,-2.3359,2.2966,0.0085,-0.0076,-0.0054
22.7990,-0.2117,-1.2367,1.1821,-0.0052,-0.0013,0.0044
22.8990,-0.9216,0.4045,-1.2301,-0.0008,-0.0023,0.0010
22.9990,-2.0438,0.3893,1.4035,-0.0081,0.0095,-0.0005
23.0990,1.2997,-0.5344,1.4493,-0.0052,-0.0042,-0.0005
23.1990,-0.3644,-1.6336,-1.4209,-0.0076,0.0016,-0.0034
23.2990,-0.6316,0.1068,-1.5278,0.0051,0.0021,0.0015
23.3990,-2.3949,2.0000,0.7699,0.0026,0.0080,0.0029
23.4990,-0.0361,-1.0764,-0.0469,0.0066,0.0099,-0.0088
23.5990,0.9028,1.7633,-0.0316,0.0173,0.0002,0.0010
23.6990,3.1318,2.4427,-2.1996,-0.0086,0.0041,-0.0005
23.7990,-1.7384,-1.8397,0.5027,0.0144,0.0060,0.0010
23.8990,0.1700,-1.0611,-0.4286,0.0051,-0.0111,-0.0049
23.9990,-1.0743,-0.8245,0.7928,0.0041,0.0099,0.0137
24.0990,-2.1659,-1.1680,2.0829,-0.0066,0.0075,0.0117
24.1990,-0.2957,-0.5802,0.2661,-0.0100,-0.0028,0.0039
24.2990,0.7501,0.2824,-1.2759,-0.0120,-0.0101,-0.0054
24.3990,2.0555,2.7938,-2.2454,-0.0017,0.0012,0.0025
24.4990,0.1013,-0.6413,1.0218,-0.0140,-0.0037,0.0010
24.5990,0.5440,-1.8016,1.6707,-0.0076,-0.0081,-0.0005
24.6990,-0.3186,0.7557,0.6707,-0.0105,-0.0023,0.0029
24.7990,-1.0285,-0.7710,-0.2377,-0.0022,-0.0106,-0.0034
24.8990,0.8494,-1.0458,-0.9629,-0.0086,0.0036,-0.0098
24.9990,-1.4255,-1.2596,-0.0622,-0.0091,-0.0008,-0.0005
25.0990,1.9562,-0.8321,-0.0011,-0.0057,0.0036,-0.0024
25.1990,-0.5476,-0.2749,-1.5813,0.0026,-0.0018,0.0064
25.2990,-1.5705,1.1908,0.5638,0.0022,-0.0028,-0.0029
25.3990,2.7577,-1.1985,-3.8255,0.0119,-0.0047,0.0049
25.4990,1.8494,2.2671,0.2966,0.0031,-0.0028,0.0068
25.5990,0.3913,1.5801,-0.1385,-0.0027,0.0031,0.0049
25.6990,1.5745,1.1908,-1.9400,0.0080,0.0060,0.0020
25.7990,-0.6545,-0.5573,-0.8179,0.0002,0.0016,0.0088
