index,x,y,z,yaw,distance
0,0,0.00,0.00,0.00,0.00
1,1,0.00,0.00,0.00,0.00
2,2,0.00,0.00,0.00,0.00
3,3,0.00,0.00,0.00,0.00
4,4,0.00,0.00,0.00,0.00
5,5,0.00,0.00,0.00,0.00
6,6,0.00,0.00,0.00,0.00
7,7,0.00,0.00,0.00,17.20
8,8,0.00,0.00,0.00,18.40
9,9,0.00,0.00,0.00,16.88
10,10,0.00,0.00,0.00,17.34
11,11,0.00,0.00,0.00,21.30
12,12,0.00,0.00,0.00,13.34
13,13,0.00,0.00,0.00,22.14
14,14,0.00,0.00,0.00,250.51
15,15,0.00,0.00,0.00,15.74
16,16,0.00,0.00,0.00,15.73
17,17,0.00,0.00,0.00,16.46
18,18,0.00,0.00,0.00,18.33
19,19,0.00,0.00,0.00,19.00
20,20,0.00,0.00,0.00,18.74
21,21,0.00,0.00,0.00,18.44
22,22,0.00,0.00,0.00,17.66
23,23,0.00,0.00,0.00,18.81
24,24,0.00,0.00,0.00,16.98
25,25,0.00,0.00,0.00,17.03
26,26,0.00,0.00,0.00,191.50
27,27,0.00,0.00,0.00,275.96
28,28,0.00,0.00,0.00,239.93
29,29,0.00,0.00,0.00,275.50
30,30,0.00,0.00,0.00,205.94
31,31,0.00,0.00,0.00,205.95
32,32,0.00,0.00,0.00,203.83
33,33,0.00,0.00,0.00,21.61
34,34,0.00,0.00,0.00,18.64
35,35,0.00,0.00,0.00,17.48
36,36,0.00,0.00,0.00,18.25
37,37,0.00,0.00,0.00,19.11
38,38,0.00,0.00,0.00,18.28
39,39,0.00,0.00,0.00,18.71
40,40,0.00,0.00,0.00,19.16
41,41,0.00,0.00,0.00,20.84
42,42,0.00,0.00,0.00,18.69
43,43,0.00,0.00,0.00,20.41
44,44,0.00,0.00,0.00,18.69
45,45,0.00,0.00,0.00,19.95
46,46,0.00,0.00,0.00,21.21
47,47,0.00,0.00,0.00,21.61
48,48,0.00,0.00,0.00,21.66
49,49,0.00,0.00,0.00,87.36
50,50,0.00,0.00,0.00,19.95
51,51,0.00,0.00,0.00,19.95
52,52,0.00,0.00,0.00,19.11
53,53,0.00,0.00,0.00,20.84
54,54,0.00,0.00,0.00,20.43
55,55,0.00,0.00,0.00,22.19
56,56,0.00,0.00,0.00,19.23
57,57,0.00,0.00,0.00,17.56
58,58,0.00,0.00,0.00,17.13
59,59,0.00,0.00,0.00,16.67
60,60,0.00,0.00,0.00,16.67
61,61,0.00,0.00,0.00,16.26
62,62,0.00,0.00,0.00,16.74
63,63,0.00,0.00,0.00,16.33
64,64,0.00,0.00,0.00,15.95
65,65,0.00,0.00,0.00,16.05
66,66,0.00,0.00,0.00,111.29
67,67,0.00,0.00,0.00,18.23
68,68,0.00,0.00,0.00,25.50
69,69,0.00,0.00,0.00,105.80
70,70,0.00,0.00,0.00,121.99
71,71,0.00,0.00,0.00,279.12
72,72,0.00,0.00,0.00,281.05
73,73,0.00,0.00,0.00,282.94
74,74,0.00,0.00,0.00,282.94
75,75,0.00,0.00,0.00,482.57
76,76,0.00,0.00,0.00,2229.35
77,77,0.00,0.00,0.00,493.70
78,78,0.00,0.00,0.00,495.57
79,79,0.00,0.00,0.00,290.71
80,80,0.00,0.00,0.00,196.30
81,81,0.00,0.00,0.00,493.89
82,82,0.00,0.00,0.00,20.00
83,83,0.00,0.00,0.00,16.31
84,84,0.00,0.00,0.00,15.95
85,85,0.00,0.00,0.00,11.42
86,86,0.00,0.00,0.00,9.45
87,87,0.00,0.00,0.00,10.91
88,88,0.00,0.00,0.00,11.88
89,89,0.00,0.00,0.00,17.54
90,90,0.00,0.00,0.00,16.31
91,91,0.00,0.00,0.00,16.77
92,92,0.00,0.00,0.00,18.33
93,93,0.00,0.00,0.00,18.74
94,94,0.00,0.00,0.00,20.56
95,95,0.00,0.00,0.00,19.53
96,96,0.00,0.00,0.00,19.43
97,97,0.00,0.00,0.00,20.31
98,98,0.00,0.00,0.00,21.44
99,99,0.00,0.00,0.00,21.99
100,100,0.00,0.00,0.00,22.14
101,101,0.00,0.00,0.00,22.62
102,102,0.00,0.00,0.00,21.68
103,103,0.00,0.00,0.00,23.44
104,104,0.00,0.00,0.00,23.02
105,105,0.00,0.00,0.00,23.48
106,106,0.00,0.00,0.00,23.07
107,107,0.00,0.00,0.00,23.58
108,108,0.00,0.00,0.00,23.08
109,109,0.00,0.00,0.00,21.52
110,110,0.00,0.00,0.00,21.92
111,111,0.00,0.00,0.00,21.92
112,112,0.00,0.00,0.00,21.97
113,113,0.00,0.00,0.00,22.48
114,114,0.00,0.00,0.00,22.59
115,115,0.00,0.00,0.00,25.04
116,116,0.00,0.00,0.00,24.90
117,117,0.00,0.00,0.00,2221.89
118,118,0.00,0.00,0.00,2221.41
119,119,0.00,0.00,0.00,272.74
120,120,0.00,0.00,0.00,177.86
121,121,0.00,0.00,0.00,179.20
122,122,0.00,0.00,0.00,118.04
123,123,0.00,0.00,0.00,102.06
124,124,0.00,0.00,0.00,78.77
125,125,0.00,0.00,0.00,85.27
126,126,0.00,0.00,0.00,81.55
127,127,0.00,0.00,0.00,87.60
128,128,0.00,0.00,0.00,87.33
129,129,0.00,0.00,0.00,88.25
130,130,0.00,0.00,0.00,91.31
131,131,0.00,0.00,0.00,85.03
132,132,0.00,0.00,0.00,85.82
133,133,0.00,0.00,0.00,88.67
134,134,0.00,0.00,0.00,87.38
135,135,0.00,0.00,0.00,86.50
136,136,0.00,0.00,0.00,185.56
137,137,0.00,0.00,0.00,185.99
