time,gyro x,gyro y,gyro z,accel x,accel y, accel z
10.5240,-0.0000,-0.0014,0.0002,-0.0054,-0.0081,1.0330
10.6240,-0.0014,-0.0011,-0.0006,-0.0317,0.0015,1.0258
10.7240,-0.0011,-0.0009,-0.0011,-0.0245,-0.0009,1.0282
10.8240,-0.0016,-0.0017,-0.0008,0.0018,0.0135,1.0138
10.9240,-0.0000,-0.0006,-0.0008,-0.0221,0.0230,1.0138
11.0240,0.0002,0.0002,-0.0008,0.0018,0.0135,0.9971
11.1240,0.0008,-0.0006,-0.0006,0.0186,0.0254,1.0330
11.2240,-0.0006,-0.0022,-0.0008,0.0186,0.0111,1.0090
11.3240,0.0002,-0.0003,-0.0003,-0.0078,0.0159,0.9875
11.4240,0.0002,-0.0009,-0.0003,-0.0006,0.0063,1.0090
11.5240,-0.0006,-0.0001,0.0005,-0.0006,-0.0081,1.0090
11.6240,-0.0000,-0.0006,0.0005,-0.0078,0.0254,1.0234
11.7240,-0.0006,0.0005,0.0008,-0.0006,-0.0177,1.0114
11.8240,0.0002,0.0007,0.0005,-0.0174,0.0111,1.0162
11.9240,-0.0000,-0.0001,0.0005,-0.0054,-0.0177,1.0138
12.0240,-0.0000,-0.0011,0.0021,-0.0293,-0.0296,1.0234
12.1240,-0.0006,0.0005,-0.0003,-0.0006,-0.0057,1.0066
12.2240,-0.0011,-0.0011,0.0010,-0.0365,-0.0009,1.0066
12.3240,-0.0000,-0.0003,-0.0008,0.0162,0.0159,1.0258
12.4240,0.0013,0.0002,-0.0000,-0.0245,-0.0033,1.0019
12.5240,0.0002,0.0005,-0.0000,0.0138,-0.0129,1.0138
12.6240,-0.0003,-0.0014,-0.0006,-0.0006,0.0015,1.0162
12.7240,0.0002,0.0002,0.0008,-0.0197,0.0135,0.9875
12.8240,0.0008,-0.0011,-0.0011,-0.0245,0.0087,0.9947
12.9240,0.0005,0.0007,-0.0000,0.0090,-0.0033,1.0330
13.0240,-0.0011,-0.0022,-0.0000,-0.0245,-0.0033,1.0450
13.1240,0.0005,-0.0001,0.0008,-0.0126,-0.0201,1.0138
13.2240,0.0013,0.0002,0.0005,-0.0245,0.0015,1.0378
13.3240,0.0002,0.0005,0.0010,-0.0126,-0.0081,1.0545
13.4240,0.0002,-0.0003,0.0002,-0.0006,0.0039,1.0306
13.5240,0.0002,-0.0011,0.0008,-0.0030,-0.0177,1.0234
13.6240,-0.0003,0.0007,0.0005,-0.0365,-0.0081,1.0402
13.7240,0.0002,0.0015,0.0013,0.0066,-0.0201,1.0450
13.8240,0.0021,-0.0003,-0.0008,-0.0197,0.0302,1.0426
13.9240,0.0010,0.0007,0.0002,-0.0341,-0.0081,1.0210
14.0240,-0.0003,-0.0017,0.0005,-0.0365,-0.0201,1.0138
14.1240,-0.0000,-0.0011,0.0002,-0.0030,0.0087,1.0258
14.2240,0.0016,0.0005,0.0002,-0.0006,0.0039,1.0641
14.3240,-0.0000,0.0002,-0.0011,0.0114,0.0159,1.0043
14.4240,-0.0003,-0.0011,-0.0008,-0.0293,0.0063,1.0234
14.5240,-0.0006,-0.0009,0.0005,0.0473,0.0230,1.0066
14.6240,0.0008,-0.0011,0.0016,-0.0150,0.0039,1.0258
14.7240,0.0013,0.0007,-0.0008,0.0042,0.0709,1.0234
14.8240,0.0005,-0.0001,0.0002,0.0425,0.0230,1.0450
14.9240,-0.0022,-0.0038,-0.0000,0.0928,0.0590,1.0426
15.0240,-0.0016,-0.0022,-0.0003,0.0449,0.0518,1.0114
15.1240,0.0010,0.0021,-0.0003,0.0281,0.0302,1.0114
15.2240,0.0010,-0.0001,0.0002,0.0162,0.0757,1.0186
15.3240,-0.0016,-0.0027,-0.0006,0.0545,0.0254,1.0210
15.4240,-0.0011,-0.0033,-0.0008,0.0114,0.0398,1.0066
15.5240,0.0018,0.0010,0.0005,-0.0126,0.0278,1.0162
15.6240,0.0018,0.0002,-0.0000,0.0210,0.0326,1.0258
15.7240,-0.0014,-0.0022,-0.0000,0.0234,0.0087,0.9971
15.8240,-0.0008,-0.0001,0.0002,0.0281,0.0518,1.0426
15.9240,0.0002,-0.0009,-0.0003,0.0234,0.0015,1.0043
16.0240,0.0018,0.0007,-0.0000,0.0138,0.0015,1.0426
16.1240,0.0010,-0.0011,0.0008,-0.0030,0.0015,1.0473
16.2240,-0.0008,-0.0019,-0.0003,-0.0389,-0.0320,1.0426
16.3240,-0.0008,-0.0019,-0.0011,-0.0509,-0.0057,1.0186
16.4240,-0.0006,-0.0009,0.0008,-0.0317,-0.0224,1.0258
16.5240,0.0002,0.0002,-0.0000,-0.0293,-0.0201,1.0043
16.6240,-0.0003,0.0005,-0.0011,-0.0221,-0.0105,1.0426
16.7240,-0.0016,-0.0011,-0.0006,-0.0126,-0.0129,1.0330
16.8240,-0.0000,-0.0006,-0.0008,-0.0365,-0.0129,1.0138
16.9240,-0.0003,-0.0001,0.0002,-0.0150,-0.0057,1.0330
17.0240,-0.0003,0.0005,0.0002,-0.0150,-0.0129,1.0402
17.1240,-0.0003,0.0002,-0.0011,-0.0365,0.0015,1.0330
17.2240,-0.0003,0.0007,0.0013,0.0018,-0.0153,1.0402
17.3240,0.0002,-0.0001,-0.0008,-0.0150,-0.0512,1.0521
17.4240,-0.0000,-0.0001,-0.0006,-0.0389,-0.0105,1.0521
17.5240,0.0002,-0.0011,-0.0003,-0.0389,-0.0296,1.0450
17.6240,0.0005,-0.0011,-0.0003,-0.0078,0.0039,1.0282
17.7240,0.0002,-0.0009,0.0002,-0.0269,-0.0081,1.0473
17.8240,0.0008,0.0002,0.0013,-0.0221,-0.0248,1.0330
17.9240,-0.0008,0.0007,0.0002,0.0042,0.0087,1.0282
18.0240,0.0002,-0.0001,0.0008,0.0186,0.0135,1.0354
18.1240,0.0008,-0.0009,0.0005,0.0090,0.0230,1.0162
18.2240,0.0008,0.0002,0.0002,-0.0102,0.0111,1.0378
18.3240,0.0008,0.0007,0.0008,-0.0054,-0.0057,1.0354
18.4240,0.0013,-0.0009,-0.0003,0.0066,-0.0009,1.0186
18.5240,-0.0006,0.0007,0.0005,-0.0245,0.0278,1.0019
18.6240,-0.0011,-0.0022,-0.0003,0.0018,0.0015,1.0282
18.7240,0.0002,-0.0011,-0.0000,0.0114,0.0111,1.0234
18.8240,0.0010,0.0007,0.0002,0.0186,0.0063,1.0210
18.9240,-0.0000,-0.0003,0.0005,0.0042,0.0015,1.0258
19.0240,-0.0003,-0.0014,0.0008,0.0018,-0.0009,1.0402
19.1240,-0.0000,-0.0017,0.0013,-0.0150,0.0039,1.0234
19.2240,0.0010,0.0015,0.0010,-0.0126,-0.0416,0.9875
19.3240,0.0008,0.0010,0.0002,-0.0628,-0.0105,1.0186
19.4240,-0.0011,-0.0019,0.0002,-0.0533,-0.0488,1.0593
19.5240,-0.0008,-0.0035,-0.0011,-0.0054,-0.0033,1.0378
19.6240,-0.0003,-0.0014,-0.0008,-0.0126,-0.0224,1.0426
19.7240,0.0005,-0.0009,-0.0016,-0.0341,-0.0057,0.9636
19.8240,-0.0006,-0.0030,-0.0016,-0.0102,-0.0584,1.0258
19.9240,-0.0006,-0.0019,-0.0011,-0.0581,0.0326,1.0210
20.0240,-0.0003,-0.0017,-0.0014,-0.0150,-0.0368,1.0019
20.1240,-0.0008,-0.0009,-0.0003,-0.0293,-0.0129,1.0306
20.2240,-0.0003,-0.0014,0.0002,-0.0604,-0.0177,1.0043
20.3240,-0.0003,-0.0006,0.0002,-0.0174,-0.0416,0.9923
20.4240,-0.0011,-0.0017,0.0005,-0.0150,0.0087,1.0234
20.5250,0.0008,-0.0014,0.0010,-0.0197,-0.0105,1.0473
20.6240,-0.0000,-0.0011,0.0005,0.0138,-0.0248,1.0330
20.7240,0.0002,-0.0003,0.0013,-0.0174,0.0183,1.0306
20.8240,0.0016,0.0010,0.0016,0.0066,-0.0248,0.9779
20.9240,0.0016,0.0021,0.0013,-0.0245,-0.0129,1.0019
21.0240,0.0016,0.0021,0.0008,-0.0150,-0.0009,1.0306
21.1240,0.0005,-0.0003,0.0008,-0.0030,-0.0129,1.0162
21.2240,0.0002,-0.0011,0.0013,-0.0006,-0.0057,1.0043
21.3240,0.0005,0.0002,0.0002,-0.0078,0.0063,1.0258
21.4240,0.0010,0.0002,-0.0006,-0.0221,0.0087,1.0234
21.5240,-0.0008,-0.0009,0.0005,-0.0006,-0.0033,1.0210
21.6240,0.0002,-0.0011,0.0005,0.0066,0.0087,1.0306
21.7240,-0.0014,0.0002,0.0008,0.0305,-0.0057,1.0402
21.8240,0.0005,-0.0006,-0.0000,-0.0102,-0.0129,1.0186
21.9240,0.0005,0.0002,0.0005,0.0425,0.0374,1.0186
22.0240,0.0002,0.0005,0.0024,0.0305,0.0015,1.0426
22.1240,0.0010,0.0005,0.0016,0.0281,0.0087,1.0330
22.2240,0.0016,0.0002,0.0010,0.0186,0.0470,1.0497
22.3240,0.0010,0.0007,0.0010,0.0449,0.0230,1.0282
22.4240,-0.0003,-0.0011,-0.0003,0.0066,0.0470,1.0162
22.5240,0.0002,-0.0001,0.0002,-0.0006,0.0230,1.0569
22.6240,0.0008,0.0015,-0.0000,0.0497,0.0302,1.0043
22.7240,0.0005,0.0013,0.0002,0.0090,0.0087,0.9923
22.8240,0.0010,0.0005,-0.0000,-0.0126,0.0087,1.0210
22.9240,0.0002,0.0005,-0.0008,-0.0174,0.0206,1.0234
23.0240,0.0005,0.0010,-0.0003,0.0210,0.0039,1.0258
23.1240,-0.0003,0.0002,0.0002,-0.0054,0.0159,1.0569
23.2240,-0.0006,-0.0003,-0.0000,0.0114,-0.0105,1.0402
23.3240,-0.0003,-0.0003,0.0008,-0.0126,0.0230,1.0162
23.4240,0.0008,-0.0003,0.0008,0.0090,-0.0057,1.0426
23.5240,0.0005,0.0007,0.0005,-0.0221,-0.0009,1.0426
23.6240,0.0005,-0.0006,-0.0000,-0.0317,0.0206,1.0019
23.7240,-0.0008,-0.0001,0.0002,0.0210,0.0159,1.0306
23.8240,-0.0003,-0.0003,0.0013,-0.0054,0.0015,1.0066
23.9240,0.0005,0.0005,-0.0000,-0.0102,0.0111,1.0234
24.0240,0.0002,0.0007,0.0002,0.0186,-0.0009,1.0186
24.1240,-0.0014,-0.0014,-0.0000,-0.0078,0.0111,1.0426
24.2240,-0.0006,-0.0009,-0.0008,-0.0269,0.0015,0.9971
24.3240,0.0010,-0.0003,-0.0000,-0.0269,-0.0153,1.0402
24.4240,0.0008,-0.0001,-0.0006,-0.0293,0.0015,1.0426
24.5240,0.0008,-0.0006,0.0008,-0.0054,-0.0129,1.0378
24.6240,-0.0000,-0.0009,-0.0011,-0.0030,0.0183,1.0234
24.7240,-0.0003,-0.0017,-0.0000,-0.0054,-0.0057,1.0162
24.8240,-0.0000,-0.0003,0.0002,-0.0030,0.0135,1.0354
24.9240,-0.0006,0.0005,0.0013,-0.0030,-0.0320,1.0426
25.0240,0.0008,-0.0011,0.0002,0.0186,0.0542,1.0378
25.1240,-0.0003,0.0005,0.0010,0.0090,-0.0248,1.0162
25.2240,-0.0000,0.0007,0.0002,-0.0389,-0.0129,1.0282
25.3240,0.0010,0.0005,-0.0000,-0.0030,0.0015,1.0330
25.4240,-0.0008,0.0002,0.0013,-0.0245,-0.0248,1.0306
25.5240,-0.0008,-0.0017,0.0013,0.0114,-0.0248,1.0114
25.6240,0.0016,0.0021,0.0016,-0.0509,0.0159,1.0258
25.7240,0.0024,0.0018,-0.0003,0.0138,-0.0224,1.0426
25.8240,-0.0006,-0.0009,-0.0006,-0.0197,-0.0009,1.0114
25.9240,-0.0014,-0.0019,0.0010,0.0018,-0.0081,0.9803
26.0240,0.0002,-0.0011,0.0002,-0.0197,0.0135,1.0617
26.1240,0.0008,0.0005,-0.0000,0.0138,0.0087,1.0306
26.2240,0.0016,0.0023,0.0010,-0.0581,0.0063,1.0066
26.3240,-0.0006,-0.0017,0.0008,0.0066,-0.0320,1.0258
26.4240,-0.0016,-0.0027,0.0016,-0.0150,0.0015,1.0521
26.5240,0.0021,0.0018,-0.0008,-0.0365,0.0230,1.0090
26.6240,0.0010,0.0023,0.0005,0.0042,-0.0033,1.0234
26.7240,-0.0011,-0.0030,-0.0011,-0.0006,0.0422,1.0330
26.8240,-0.0022,-0.0022,-0.0006,0.0138,-0.0057,1.0162
26.9240,0.0005,-0.0003,-0.0014,-0.0126,0.0159,1.0354
27.0240,0.0010,0.0018,-0.0014,0.0162,0.0159,1.0282
27.1240,-0.0011,0.0013,-0.0000,-0.0102,0.0230,1.0402
27.2240,-0.0016,-0.0025,-0.0003,0.0593,-0.0129,1.0019
27.3240,-0.0006,-0.0001,0.0005,0.0234,0.0494,1.0210
27.4240,0.0002,0.0005,-0.0000,0.0425,0.0087,1.0186
27.5240,-0.0000,0.0005,-0.0000,0.0210,0.0350,1.0306
27.6240,-0.0003,-0.0003,0.0016,0.0712,0.0494,1.0162
27.7240,-0.0003,-0.0006,0.0024,0.0521,0.0374,1.0138
27.8240,0.0013,0.0015,0.0008,-0.0197,0.0518,1.0426
27.9240,0.0013,0.0013,0.0002,0.0066,0.0398,1.0210
28.0240,-0.0011,-0.0017,0.0010,0.0329,0.0039,1.0234
28.1240,-0.0008,-0.0006,0.0005,-0.0461,0.0230,1.0114
28.2240,0.0013,0.0007,0.0002,0.0138,-0.0248,1.0138
28.3250,-0.0003,-0.0003,0.0010,-0.0126,-0.0248,1.0306
28.4240,0.0005,-0.0001,-0.0008,0.0353,-0.0033,1.0306
28.5240,0.0008,0.0005,0.0008,-0.0006,0.0087,1.0473
28.6240,0.0008,0.0002,-0.0011,-0.0269,0.0398,1.0521
28.7240,0.0005,0.0015,0.0002,0.0018,-0.0392,1.0258
28.8240,0.0005,-0.0001,0.0002,0.0018,0.0135,1.0282
28.9240,0.0008,0.0007,0.0016,-0.0006,-0.0033,1.0066
29.0240,0.0005,0.0010,-0.0000,-0.0006,0.0135,1.0066
