time,gyro x,gyro y,gyro z,accel x,accel y, accel z
12.5180,0.0015,0.0027,0.0005,-0.0091,-0.0061,1.0385
12.6180,0.0002,0.0003,0.0002,-0.0043,0.0011,1.0145
12.7180,0.0002,0.0009,-0.0003,0.0053,0.0011,1.0217
12.8180,0.0002,0.0006,0.0008,-0.0234,0.0011,1.0289
12.9180,-0.0014,-0.0010,-0.0000,-0.0067,-0.0204,1.0481
13.0180,-0.0003,-0.0013,-0.0000,0.0101,-0.0037,1.0313
13.1180,0.0010,0.0003,-0.0006,0.0029,0.0131,1.0145
13.2180,0.0013,0.0030,0.0002,-0.0115,-0.0204,1.0050
13.3180,-0.0003,-0.0002,-0.0008,0.0149,-0.0324,1.0121
13.4180,0.0021,0.0025,-0.0000,-0.0067,-0.0085,1.0145
13.5180,0.0021,0.0009,-0.0003,-0.0067,-0.0013,1.0433
13.6180,-0.0025,-0.0037,-0.0006,-0.0019,0.0083,1.0169
13.7180,0.0021,0.0035,-0.0003,0.0197,-0.0061,1.0361
13.8180,-0.0003,-0.0002,-0.0003,0.0173,0.0083,1.0265
13.9180,-0.0014,-0.0005,0.0002,-0.0019,0.0011,1.0265
14.0180,0.0002,0.0006,-0.0000,-0.0043,0.0011,0.9954
14.1180,0.0098,0.0097,0.0002,-0.0139,0.0035,1.0672
14.2180,-0.0019,-0.0031,0.0002,-0.0115,-0.0061,1.0002
14.3180,-0.0003,0.0001,-0.0000,-0.0091,-0.0013,1.0026
14.4180,0.0013,0.0019,-0.0003,0.0101,0.0203,1.0026
14.5180,0.0023,0.0033,0.0005,-0.0067,-0.0013,0.9978
14.6180,-0.0003,0.0001,-0.0006,0.0077,-0.0180,0.9834
14.7180,-0.0027,-0.0061,-0.0008,-0.0186,-0.0037,0.9906
14.8180,0.0037,0.0065,-0.0000,-0.0067,-0.0132,1.0337
14.9180,0.0013,0.0025,-0.0006,-0.0067,0.0059,1.0385
15.0180,-0.0014,-0.0010,0.0005,-0.0019,-0.0228,1.0026
15.1180,-0.0006,-0.0013,-0.0006,-0.0067,0.0059,1.0528
15.2180,-0.0011,-0.0013,-0.0000,-0.0019,-0.0180,1.0361
15.3180,-0.0006,-0.0005,0.0002,0.0101,0.0155,1.0289
15.4180,0.0013,0.0027,0.0010,0.0221,-0.0180,1.0169
15.5180,-0.0014,-0.0018,0.0010,0.0125,0.0011,1.0481
15.6180,-0.0009,-0.0005,0.0005,0.0173,-0.0061,1.0504
15.7180,-0.0003,-0.0002,-0.0000,0.0125,-0.0132,0.9834
15.8180,0.0055,0.0062,-0.0000,0.0077,0.0011,1.0265
15.9180,-0.0011,-0.0007,-0.0003,0.0053,-0.0085,1.0026
16.0180,-0.0006,-0.0010,-0.0003,0.0149,0.0083,0.9858
16.1180,-0.0003,0.0014,-0.0003,-0.0091,0.0035,1.0097
16.2180,0.0007,0.0019,-0.0008,0.0077,0.0011,1.0337
16.3180,-0.0003,-0.0002,-0.0008,0.0101,0.0155,1.0337
16.4180,-0.0017,-0.0013,-0.0006,-0.0019,-0.0037,1.0097
16.5180,-0.0011,0.0003,-0.0003,-0.0091,-0.0132,0.9954
16.6180,0.0018,0.0017,-0.0000,0.0029,-0.0085,1.0193
16.7180,0.0007,0.0014,0.0002,0.0005,-0.0085,1.0313
16.8180,-0.0003,-0.0005,-0.0000,-0.0019,-0.0109,1.0193
16.9180,0.0021,0.0041,0.0013,-0.0067,-0.0276,1.0289
17.0180,-0.0086,-0.0045,0.0002,0.0436,-0.0109,1.0313
17.1180,0.0039,0.0051,0.0002,0.0436,0.0131,1.0193
17.2180,0.0034,0.0049,0.0002,0.0125,-0.0013,1.0720
17.3180,0.0002,-0.0005,-0.0014,0.0101,-0.0037,1.0050
17.4180,-0.0006,-0.0005,-0.0008,-0.0043,-0.0085,1.0002
17.5180,0.0015,0.0030,-0.0003,0.0101,0.0083,0.9930
17.6180,0.0010,0.0033,-0.0003,-0.0139,-0.0156,1.0097
17.7180,0.0018,0.0003,-0.0006,0.0101,0.0107,1.0145
17.8180,-0.0017,-0.0010,-0.0000,0.0053,-0.0132,1.0241
17.9180,0.0002,0.0001,-0.0008,0.0029,-0.0013,1.0193
18.0180,0.0007,0.0009,-0.0006,0.0292,-0.0204,1.0217
18.1180,-0.0001,0.0001,-0.0000,-0.0043,-0.0061,1.0145
18.2180,0.0005,0.0009,0.0005,-0.0115,-0.0156,1.0145
18.3180,-0.0003,-0.0002,-0.0003,-0.0067,0.0035,0.9978
18.4180,0.0013,0.0011,-0.0000,0.0101,0.0011,0.9954
18.5180,0.0015,0.0019,-0.0000,0.0125,-0.0037,1.0528
18.6180,0.0005,0.0001,0.0002,-0.0019,-0.0037,1.0193
18.7180,0.0007,0.0003,-0.0000,-0.0019,0.0299,1.0552
18.8180,-0.0001,0.0006,-0.0006,0.0221,0.0131,1.0193
18.9180,0.0007,0.0011,-0.0006,-0.0019,-0.0204,1.0026
19.0180,-0.0003,0.0011,-0.0006,0.0197,0.0155,1.0026
19.1180,-0.0001,0.0011,-0.0008,0.0149,-0.0180,1.0289
19.2180,0.0013,0.0014,0.0002,0.0005,-0.0085,1.0169
19.3180,-0.0003,-0.0007,0.0005,-0.0043,-0.0180,1.0385
19.4180,0.0005,0.0001,-0.0000,0.0197,0.0059,1.0145
19.5180,-0.0006,-0.0002,-0.0003,0.0005,0.0107,1.0361
19.6180,0.0002,0.0003,0.0002,0.0101,0.0155,1.0457
19.7180,0.0002,0.0017,0.0005,0.0077,-0.0109,1.0145
19.8180,0.0002,-0.0002,0.0005,-0.0091,-0.0085,1.0457
19.9180,0.0007,0.0011,0.0005,0.0101,-0.0156,1.0241
20.0180,0.0007,0.0006,0.0002,-0.0139,-0.0156,1.0193
20.1180,0.0007,0.0001,-0.0000,0.0244,-0.0252,1.0265
20.2180,-0.0001,0.0006,-0.0006,-0.0258,0.0131,1.0145
20.3180,-0.0006,0.0011,0.0008,-0.0043,-0.0013,0.9810
20.4180,0.0055,0.0070,-0.0003,-0.0019,-0.0132,1.0193
20.5180,0.0010,0.0027,0.0005,0.0005,-0.0037,1.0504
20.6180,0.0029,0.0057,-0.0000,-0.0115,-0.0061,1.0073
20.7180,0.0095,0.0134,-0.0000,0.0077,-0.0109,0.9762
20.8180,0.0018,0.0022,0.0002,-0.0306,0.0107,0.9858
20.9180,0.0005,0.0009,0.0002,-0.0115,0.0035,1.0385
21.0180,0.0005,0.0003,-0.0000,-0.0067,-0.0156,1.0217
21.1180,-0.0003,0.0011,0.0005,-0.0258,0.0346,1.0026
21.2180,0.0010,0.0019,0.0002,-0.0067,-0.0300,1.0313
21.3180,-0.0019,-0.0018,0.0016,-0.0546,0.0275,0.9236
21.4180,-0.0001,0.0011,0.0005,-0.0689,-0.0180,1.0145
21.5180,0.0029,0.0046,-0.0006,-0.0402,0.0275,1.0145
21.6180,0.0018,0.0043,0.0005,-0.0737,-0.1761,1.0911
21.7180,-0.0001,-0.0021,-0.0022,-0.0593,-0.0228,1.0169
21.8180,-0.0027,-0.0034,-0.0016,-0.0737,-0.0803,1.0217
21.9180,0.0002,0.0011,-0.0016,-0.0641,0.0107,1.0265
22.0180,-0.0003,0.0014,-0.0022,-0.0402,-0.0372,1.0073
22.1180,-0.0003,0.0003,0.0005,-0.0593,-0.0156,1.0313
22.2180,-0.0009,0.0001,-0.0008,-0.0570,-0.0348,1.0050
22.3180,-0.0001,0.0006,0.0008,-0.0282,0.0059,1.0121
22.4180,0.0005,0.0014,-0.0000,-0.0378,-0.0276,1.0073
22.5180,0.0002,0.0009,0.0005,-0.0330,0.0011,1.0337
22.6180,-0.0011,-0.0007,0.0002,-0.0210,-0.0013,1.0481
22.7180,0.0010,0.0001,-0.0003,-0.0306,0.0179,1.0313
22.8180,0.0013,0.0011,-0.0003,0.0173,0.0179,1.0145
22.9180,-0.0001,0.0001,-0.0000,-0.0115,-0.0204,1.0050
