Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
8.365,-0.0000,0.0001,0.0000,0.0110,0.0027,1.0304
8.368,-0.0000,-0.0002,-0.0002,0.0134,0.0147,1.0184
8.371,0.0005,-0.0007,-0.0008,0.0158,0.0099,1.0041
8.374,-0.0003,-0.0005,-0.0005,0.0158,0.0099,1.0017
8.377,-0.0006,0.0001,-0.0008,0.0253,0.0075,1.0160
8.381,-0.0006,0.0006,-0.0008,0.0277,0.0051,1.0089
8.384,-0.0006,0.0003,0.0000,0.0134,-0.0020,1.0232
8.387,-0.0008,-0.0002,0.0003,0.0158,-0.0044,1.0304
8.390,-0.0008,0.0003,0.0006,0.0062,-0.0044,1.0520
8.393,-0.0008,0.0001,0.0000,0.0062,-0.0092,1.0496
8.396,-0.0003,0.0001,0.0003,-0.0010,-0.0092,1.0304
8.399,-0.0000,-0.0002,-0.0002,0.0014,-0.0092,1.0304
8.402,-0.0000,0.0006,-0.0002,0.0062,-0.0116,1.0328
8.406,0.0005,-0.0002,0.0000,0.0038,0.0099,1.0184
8.409,0.0005,0.0001,0.0003,-0.0010,0.0051,1.0137
8.412,0.0005,-0.0002,0.0003,0.0014,-0.0044,1.0304
8.415,-0.0000,-0.0005,0.0006,-0.0010,-0.0068,1.0280
8.418,0.0002,0.0001,0.0003,-0.0178,-0.0092,1.0256
8.421,0.0005,-0.0002,0.0003,-0.0201,0.0027,1.0328
8.424,-0.0003,0.0003,0.0003,-0.0058,0.0075,1.0232
8.427,-0.0000,-0.0002,0.0000,-0.0058,0.0075,1.0184
8.431,-0.0003,-0.0002,0.0003,0.0062,0.0147,1.0208
8.434,-0.0003,0.0001,-0.0002,0.0038,0.0003,1.0160
8.437,0.0002,0.0001,0.0000,-0.0010,-0.0116,1.0065
8.440,-0.0000,0.0003,0.0006,0.0062,-0.0044,1.0137
8.443,-0.0003,0.0006,-0.0002,-0.0106,-0.0044,1.0137
8.446,-0.0000,0.0003,0.0000,-0.0058,-0.0116,1.0304
8.449,0.0002,0.0003,0.0003,-0.0106,-0.0140,1.0400
8.452,0.0010,0.0003,0.0006,-0.0010,-0.0020,1.0304
8.456,0.0002,0.0003,0.0008,0.0086,0.0027,1.0424
8.459,-0.0006,-0.0002,0.0000,-0.0010,0.0003,1.0352
