Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
10.415,-0.0002,0.0001,0.0001,-0.0114,0.006,1.0037
10.423,-0.0002,0.0007,0.0007,0.0029,-0.0132,1.0253
10.431,-0.0004,0.0004,0.0004,-0.0282,0.006,1.0133
10.439,-0.0007,0.0009,0.0001,-0.0019,0.006,1.0277
10.447,-0.0007,0.0001,-0.0001,0.0005,-0.0036,1.0133
10.455,-0.0004,0.0004,-0.0004,0.0029,0.0036,1.0253
10.463,-0.0002,0.0007,0.0004,-0.0043,-0.0012,1.0444
10.471,-0.001,0.0004,-0.0001,0.0005,-0.0012,1.0492
10.479,0.0001,0.0007,0.0001,0.0053,0.0036,1.042
10.487,-0.0002,-0.0004,-0.0001,0.0077,-0.006,1.0396
10.495,0.0001,0.0001,-0.0007,0.0101,-0.006,1.0061
10.503,0.0001,0.0007,-0.0004,0.0005,-0.0084,1.0133
10.511,0.0001,-0.0004,0.0007,0.0053,0.0084,1.0133
10.519,0.0001,0.0004,0.0001,0.0077,0.0156,1.0181
10.527,-0.0004,0.0004,-0.0009,-0.009,0.006,1.0253
10.535,0.0004,0.0001,-0.0004,-0.0043,-0.0012,1.0061
10.543,-0.0004,-0.0004,-0.0001,-0.0043,0.0012,1.0133
10.551,-0.0004,0.0001,0.0009,-0.0186,0.0012,1.0109
10.559,0.0001,-0.0001,0.0004,0.0005,-0.0012,1.0157
10.567,-0.0002,-0.0007,0.0004,-0.0043,0.0036,1.0061
10.575,-0.0002,-0.0007,0.0007,0.0005,-0.0084,1.0037
10.583,-0.0007,-0.0009,0.0007,0.0053,0.006,1.0205
10.591,-0.0007,-0.0007,0.0001,0.0005,-0.0012,1.0181
10.599,0.0006,-0.0007,0.0001,0.0101,0.0036,1.0492
10.607,-0.0007,0.0004,-0.0001,0.0149,-0.0132,1.0253
10.615,0.0001,-0.0001,-0.0007,0.0053,-0.018,1.0324
10.623,-0.0007,0.0004,-0.0001,-0.0114,-0.0203,1.0229
10.631,-0.0004,0.0009,-0.0007,-0.0162,-0.0156,1.0157
10.639,-0.0004,0.0007,-0.0007,0.0077,0.0036,1.0205
10.647,-0.0002,0.0007,-0.0009,0.0029,0.0108,1.0205
10.655,-0.0002,0.0001,-0.0004,0.0125,0.018,1.0133
10.663,-0.0007,-0.0004,-0.0007,0.0221,0.0084,1.0277
10.671,-0.0002,0.0001,-0.0001,0.0197,0.0036,1.0396
10.679,-0.0002,0.0001,-0.0004,0.0077,-0.0156,1.0324
10.687,-0.0004,0.0007,-0.0004,-0.0043,0.0012,1.0181
10.695,0.0001,0.0001,-0.0001,0.0149,-0.0036,1.0324
10.703,-0.0002,0.0001,0.0004,0.0149,0.0084,1.0229
10.711,0.0004,-0.0004,0.0004,0.0029,0.0084,1.0181
10.719,-0.0002,-0.0007,0.0004,-0.009,0.0036,1.0229
10.727,-0.0002,-0.0009,0.0001,-0.0019,-0.018,1.03
10.735,0.0004,-0.0004,0.0007,0.0101,-0.0203,1.0133
10.743,0.0001,0.0007,0.0004,0.0005,0.0036,1.0181
10.751,-0.0004,0.0012,0.0004,0.0197,0.0084,1.0205
10.759,-0.0004,0.0007,0.0004,0.0245,-0.0012,1.0181
10.767,-0.0002,0.0001,-0.0004,0.0029,-0.006,1.0277
10.775,-0.0004,-0.0001,-0.0001,0.0029,0.0036,1.0109
10.783,-0.001,-0.0004,-0.0007,0.0173,0.0012,1.0253
10.791,-0.0002,-0.0001,-0.0004,0.0173,0.006,1.0085
10.799,-0.0007,0.0007,-0.0004,0.0053,0.0036,1.0205
10.807,0.0001,0.0004,-0.0007,-0.0043,0.0132,1.0277
10.815,0.0001,-0.0001,-0.0001,0.0245,0.0036,1.0253
10.823,-0.0002,-0.0001,-0.0001,0.0245,-0.0108,1.03
10.831,-0.0004,0.0007,-0.0001,0.0125,-0.0156,1.0133
10.839,-0.0004,0.0001,-0.0001,0.0101,-0.0084,1.0085
10.847,-0.0002,0.0001,-0.0004,0.0053,-0.0084,1.0444
10.855,-0.0004,0.0004,-0.0007,0.0125,-0.0084,1.042
10.863,0.0004,0.0001,0.0004,0.0125,-0.006,1.0157
10.871,0.0009,0.0001,0.0012,0.0317,-0.006,1.0181
10.879,0.0001,0.0007,-0.0001,0.0125,-0.0036,1.0133
10.887,-0.0002,0.0004,-0.0001,0.0125,0.006,1.0372
10.895,0.0004,0.0007,0.0001,0.0005,0.0108,1.0277
10.903,-0.0007,0.0009,0.0004,0.0173,0.0036,1.0205
10.911,-0.0004,0.0012,-0.0001,-0.009,-0.0012,1.0396
10.919,-0.0004,0.0007,-0.0001,0.0053,0.0108,1.03
10.927,0.0006,0.0001,-0.0001,0.0029,-0.0012,1.0133
10.935,0.0001,0.0001,-0.0012,0.0053,-0.0036,1.0181
10.943,0.0001,0.0007,-0.0009,-0.0043,-0.0084,0.9893
10.951,-0.0004,0.0007,-0.0009,0.0125,-0.0108,1.0133
10.959,-0.0004,0.0009,-0.0009,0.0245,-0.0156,1.0229
10.967,-0.0004,0.0001,-0.0004,0.0269,-0.0227,1.0253
10.975,0.0004,-0.0001,0.0001,0.0293,-0.0156,1.0348
10.983,0.0006,0.0004,0.0004,0.0029,0.018,1.0229
10.991,0.0004,0.0004,0.0007,-0.0114,0.0156,1.0013
10.999,0.0006,-0.0004,0.0004,-0.0114,0.0012,1.0253
11.007,0.0001,-0.0001,-0.0001,0.0005,0.006,1.0229
11.015,0.0004,-0.0004,-0.0001,0.0101,-0.0036,1.0324
11.023,0.0009,0.0001,-0.0001,0.0053,0.006,1.0229
11.031,0.0004,0.0007,0.0001,0.0077,-0.0108,1.0277
11.039,0.0012,0.0004,-0.0001,0.0077,-0.0203,1.0157
11.047,0.0009,0.0004,-0.0004,0.0125,-0.006,1.0348
11.055,0.0012,-0.0001,-0.0001,0.0029,-0.0036,1.0157
11.063,0.0017,-0.0009,-0.0004,0.0149,0.006,0.9917
11.071,0.0009,-0.0009,-0.0001,0.0053,0.0156,1.0205
11.079,0.0012,0.0001,0.0007,0.0053,0.0251,1.0157
11.087,0.0004,0.0001,0.0007,0.0197,0.0251,1.0229
11.095,0.0012,0.0001,0.0009,0.0029,0.0299,1.0181
11.103,0.0017,-0.0001,0.0007,0.0149,0.006,1.042
11.111,0.0017,0.0001,0.0004,0.0101,-0.006,1.0157
11.119,0.0012,-0.0007,0.0004,-0.0162,0.0036,1.0109
11.127,0.0009,-0.0007,0.0004,0.0005,-0.018,1.0061
11.135,0.0009,-0.0004,0.0004,0.0077,-0.0251,1.0133
11.143,0.0017,-0.0001,0.0001,0.0005,0.0036,1.0013
11.151,0.0012,0.0007,-0.0001,0.0005,-0.0012,1.0324
11.159,0.0009,0.0001,-0.0007,0.0029,0.018,1.0468
11.167,0.0009,-0.0007,-0.0004,0.0029,0.0347,1.0372
11.175,0.0006,-0.0007,0.0015,-0.0066,0.0251,1.0396
11.183,0.0012,0.0001,0.0015,-0.0162,0.0204,1.0061
11.191,0.0012,0.0001,0.0012,-0.0019,0.0323,1.0109
11.199,0.0012,-0.0007,0.0012,-0.0019,0.0227,1.0157
11.207,0.0009,0.0004,0.0007,-0.0043,-0.0108,1.0037
11.215,0.0004,0.0009,0.0001,0.0101,0.0012,1.0253
11.223,0.0006,-0.0001,-0.0001,0.0101,-0.0084,1.0372
11.231,0.0004,-0.0001,-0.0012,-0.021,-0.006,1.0468
11.239,0.0012,0.0004,-0.0009,0.0005,-0.006,1.03
11.247,0.0001,0.0004,-0.0004,0.0149,-0.0012,1.0492
11.255,0.0001,0.0001,-0.0009,0.0077,-0.006,1.0229
11.263,0.0006,0.0001,-0.0015,-0.0138,0.0227,1.0181
11.271,0.0006,0.0007,-0.0007,-0.0019,0.018,1.0109
11.279,0.0006,0.0001,-0.0012,-0.0162,0.0275,1.0324
11.287,0.0004,0.0007,-0.0004,-0.0186,0.0036,1.03
11.295,0.0006,0.0007,-0.0001,-0.0234,0.0108,1.0205
11.303,0.0004,0.0001,0.0009,-0.0114,0.0108,1.0253
11.311,0.0009,-0.0001,0.0007,0.0029,0.0084,1.0372
11.319,0.0004,-0.0001,0.0004,0.0053,0.0132,1.0324
11.327,0.0001,0.0001,0.0001,-0.0066,-0.018,1.0037
11.335,0.0001,-0.0001,0.0007,-0.0162,-0.0251,0.9965
11.343,0.0001,0.0004,-0.0001,0.0149,0.0012,0.9822
